#2022-04-22
#17:01:08
#Balayage par: iq-qfl
#Description Keyword: 
#
#Instrument: Triax320@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 3; Line Density(Grv/mm): 600; Blaze: 500nm; Input Slit(mm): 0.400; Output Slit(mm): 0.000;
#Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 1; X Start: 1; X End: 1024; Y Start: 100; Y End: 160; Integration Time(ms): 30000; ADC1:  20 kHz Tab 1; Gain  2.0(x); Ccd Temp(degC): -125.139; Shutter Enable: True; Accumulation: 1; Noise Mode: One For Every Acq; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;

#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1(Cnt)      	SympCCD.Noise Y Pix Row 1(Cnt)	SympCCD.Corr Y Pix Row 1(Cnt) 
41E+0	551.9597E+0	1.716E+3	1.168E+3	548E+0
42E+0	552.0823E+0	1.745E+3	1.17E+3	575E+0
43E+0	552.205E+0	1.77E+3	1.164E+3	606E+0
44E+0	552.3276E+0	1.823E+3	1.168E+3	655E+0
45E+0	552.4502E+0	1.836E+3	1.164E+3	672E+0
46E+0	552.5728E+0	1.869E+3	1.166E+3	703E+0
47E+0	552.6954E+0	1.917E+3	1.166E+3	751E+0
48E+0	552.818E+0	1.97E+3	1.173E+3	797E+0
49E+0	552.9407E+0	2.014E+3	1.164E+3	850E+0
50E+0	553.0633E+0	2.059E+3	1.168E+3	891E+0
51E+0	553.1859E+0	2.084E+3	1.168E+3	916E+0
52E+0	553.3085E+0	2.157E+3	1.171E+3	986E+0
53E+0	553.4312E+0	2.2E+3	1.165E+3	1.035E+3
54E+0	553.5538E+0	2.247E+3	1.168E+3	1.079E+3
55E+0	553.6764E+0	2.275E+3	1.17E+3	1.105E+3
56E+0	553.799E+0	2.333E+3	1.171E+3	1.162E+3
57E+0	553.9217E+0	2.354E+3	1.171E+3	1.183E+3
58E+0	554.0443E+0	2.423E+3	1.173E+3	1.25E+3
59E+0	554.1669E+0	2.432E+3	1.176E+3	1.256E+3
60E+0	554.2896E+0	2.472E+3	1.172E+3	1.3E+3
61E+0	554.4122E+0	2.514E+3	1.168E+3	1.346E+3
62E+0	554.5349E+0	2.535E+3	1.172E+3	1.363E+3
63E+0	554.6575E+0	2.551E+3	1.172E+3	1.379E+3
64E+0	554.7802E+0	2.585E+3	1.173E+3	1.412E+3
65E+0	554.9028E+0	2.578E+3	1.17E+3	1.408E+3
66E+0	555.0255E+0	2.621E+3	1.177E+3	1.444E+3
67E+0	555.1481E+0	2.616E+3	1.172E+3	1.444E+3
68E+0	555.2708E+0	2.645E+3	1.176E+3	1.469E+3
69E+0	555.3934E+0	2.654E+3	1.179E+3	1.475E+3
70E+0	555.5161E+0	2.671E+3	1.173E+3	1.498E+3
71E+0	555.6387E+0	2.688E+3	1.174E+3	1.514E+3
72E+0	555.7614E+0	2.686E+3	1.174E+3	1.512E+3
73E+0	555.884E+0	2.717E+3	1.175E+3	1.542E+3
74E+0	556.0067E+0	2.73E+3	1.181E+3	1.549E+3
75E+0	556.1294E+0	2.729E+3	1.177E+3	1.552E+3
76E+0	556.252E+0	2.744E+3	1.178E+3	1.566E+3
77E+0	556.3747E+0	2.743E+3	1.177E+3	1.566E+3
78E+0	556.4974E+0	2.754E+3	1.176E+3	1.578E+3
79E+0	556.62E+0	2.799E+3	1.179E+3	1.62E+3
80E+0	556.7427E+0	2.781E+3	1.179E+3	1.602E+3
81E+0	556.8654E+0	2.799E+3	1.176E+3	1.623E+3
82E+0	556.988E+0	2.801E+3	1.183E+3	1.618E+3
83E+0	557.1107E+0	2.814E+3	1.174E+3	1.64E+3
84E+0	557.2334E+0	2.815E+3	1.179E+3	1.636E+3
85E+0	557.3561E+0	2.802E+3	1.181E+3	1.621E+3
86E+0	557.4787E+0	2.828E+3	1.185E+3	1.643E+3
87E+0	557.6014E+0	2.834E+3	1.185E+3	1.649E+3
88E+0	557.7241E+0	2.828E+3	1.177E+3	1.651E+3
89E+0	557.8468E+0	2.828E+3	1.178E+3	1.65E+3
90E+0	557.9695E+0	2.835E+3	1.182E+3	1.653E+3
91E+0	558.0922E+0	2.828E+3	1.187E+3	1.641E+3
92E+0	558.2149E+0	2.828E+3	1.184E+3	1.644E+3
93E+0	558.3375E+0	2.831E+3	1.187E+3	1.644E+3
94E+0	558.4602E+0	2.844E+3	1.189E+3	1.655E+3
95E+0	558.5829E+0	2.839E+3	1.181E+3	1.658E+3
96E+0	558.7056E+0	2.856E+3	1.186E+3	1.67E+3
97E+0	558.8283E+0	2.855E+3	1.185E+3	1.67E+3
98E+0	558.951E+0	2.871E+3	1.179E+3	1.692E+3
99E+0	559.0737E+0	2.879E+3	1.186E+3	1.693E+3
100E+0	559.1964E+0	2.872E+3	1.191E+3	1.681E+3
101E+0	559.3191E+0	2.898E+3	1.187E+3	1.711E+3
102E+0	559.4418E+0	2.912E+3	1.189E+3	1.723E+3
103E+0	559.5645E+0	2.927E+3	1.188E+3	1.739E+3
104E+0	559.6872E+0	2.916E+3	1.187E+3	1.729E+3
105E+0	559.8099E+0	2.936E+3	1.188E+3	1.748E+3
106E+0	559.9327E+0	2.931E+3	1.187E+3	1.744E+3
107E+0	560.0554E+0	2.967E+3	1.194E+3	1.773E+3
108E+0	560.1781E+0	2.942E+3	1.189E+3	1.753E+3
109E+0	560.3008E+0	2.976E+3	1.19E+3	1.786E+3
110E+0	560.4235E+0	2.974E+3	1.191E+3	1.783E+3
111E+0	560.5462E+0	3.01E+3	1.196E+3	1.814E+3
112E+0	560.6689E+0	3.034E+3	1.193E+3	1.841E+3
113E+0	560.7917E+0	3.025E+3	1.189E+3	1.836E+3
114E+0	560.9144E+0	3.044E+3	1.195E+3	1.849E+3
115E+0	561.0371E+0	3.049E+3	1.191E+3	1.858E+3
116E+0	561.1598E+0	3.076E+3	1.194E+3	1.882E+3
117E+0	561.2826E+0	3.102E+3	1.198E+3	1.904E+3
118E+0	561.4053E+0	3.108E+3	1.187E+3	1.921E+3
119E+0	561.528E+0	3.103E+3	1.192E+3	1.911E+3
120E+0	561.6508E+0	3.132E+3	1.194E+3	1.938E+3
121E+0	561.7735E+0	3.152E+3	1.196E+3	1.956E+3
122E+0	561.8962E+0	3.142E+3	1.198E+3	1.944E+3
123E+0	562.019E+0	3.169E+3	1.2E+3	1.969E+3
124E+0	562.1417E+0	3.189E+3	1.188E+3	2.001E+3
125E+0	562.2644E+0	3.203E+3	1.191E+3	2.012E+3
126E+0	562.3872E+0	3.208E+3	1.195E+3	2.013E+3
127E+0	562.5099E+0	3.232E+3	1.195E+3	2.037E+3
128E+0	562.6327E+0	3.245E+3	1.196E+3	2.049E+3
129E+0	562.7554E+0	3.256E+3	1.192E+3	2.064E+3
130E+0	562.8781E+0	3.289E+3	1.197E+3	2.092E+3
131E+0	563.0009E+0	3.278E+3	1.202E+3	2.076E+3
132E+0	563.1236E+0	3.3E+3	1.195E+3	2.105E+3
133E+0	563.2464E+0	3.305E+3	1.202E+3	2.103E+3
134E+0	563.3691E+0	3.312E+3	1.2E+3	2.112E+3
135E+0	563.4919E+0	3.351E+3	1.203E+3	2.148E+3
136E+0	563.6146E+0	3.345E+3	1.202E+3	2.143E+3
137E+0	563.7374E+0	3.365E+3	1.193E+3	2.172E+3
138E+0	563.8602E+0	3.408E+3	1.201E+3	2.207E+3
139E+0	563.9829E+0	3.384E+3	1.204E+3	2.18E+3
140E+0	564.1057E+0	3.39E+3	1.196E+3	2.194E+3
141E+0	564.2284E+0	3.405E+3	1.201E+3	2.204E+3
142E+0	564.3512E+0	3.419E+3	1.204E+3	2.215E+3
143E+0	564.474E+0	3.434E+3	1.199E+3	2.235E+3
144E+0	564.5967E+0	3.468E+3	1.198E+3	2.27E+3
145E+0	564.7195E+0	3.463E+3	1.204E+3	2.259E+3
146E+0	564.8423E+0	3.464E+3	1.202E+3	2.262E+3
147E+0	564.965E+0	3.457E+3	1.2E+3	2.257E+3
148E+0	565.0878E+0	3.469E+3	1.207E+3	2.262E+3
149E+0	565.2106E+0	3.462E+3	1.2E+3	2.262E+3
150E+0	565.3334E+0	3.491E+3	1.204E+3	2.287E+3
151E+0	565.4561E+0	3.479E+3	1.204E+3	2.275E+3
152E+0	565.5789E+0	3.488E+3	1.212E+3	2.276E+3
153E+0	565.7017E+0	3.526E+3	1.208E+3	2.318E+3
154E+0	565.8245E+0	3.525E+3	1.204E+3	2.321E+3
155E+0	565.9472E+0	3.542E+3	1.208E+3	2.334E+3
156E+0	566.07E+0	3.546E+3	1.212E+3	2.334E+3
157E+0	566.1928E+0	3.575E+3	1.205E+3	2.37E+3
158E+0	566.3156E+0	3.594E+3	1.207E+3	2.387E+3
159E+0	566.4384E+0	3.56E+3	1.204E+3	2.356E+3
160E+0	566.5612E+0	3.559E+3	1.208E+3	2.351E+3
161E+0	566.684E+0	3.565E+3	1.212E+3	2.353E+3
162E+0	566.8067E+0	3.575E+3	1.209E+3	2.366E+3
163E+0	566.9295E+0	3.585E+3	1.207E+3	2.378E+3
164E+0	567.0523E+0	3.589E+3	1.214E+3	2.375E+3
165E+0	567.1751E+0	3.584E+3	1.207E+3	2.377E+3
166E+0	567.2979E+0	3.611E+3	1.212E+3	2.399E+3
167E+0	567.4207E+0	3.597E+3	1.211E+3	2.386E+3
168E+0	567.5435E+0	3.574E+3	1.208E+3	2.366E+3
169E+0	567.6663E+0	3.628E+3	1.213E+3	2.415E+3
170E+0	567.7891E+0	3.632E+3	1.219E+3	2.413E+3
171E+0	567.9119E+0	3.639E+3	1.209E+3	2.43E+3
172E+0	568.0347E+0	3.645E+3	1.211E+3	2.434E+3
173E+0	568.1575E+0	3.641E+3	1.213E+3	2.428E+3
174E+0	568.2803E+0	3.646E+3	1.209E+3	2.437E+3
175E+0	568.4032E+0	3.624E+3	1.22E+3	2.404E+3
176E+0	568.526E+0	3.659E+3	1.217E+3	2.442E+3
177E+0	568.6488E+0	3.66E+3	1.218E+3	2.442E+3
178E+0	568.7716E+0	3.654E+3	1.219E+3	2.435E+3
179E+0	568.8944E+0	3.655E+3	1.22E+3	2.435E+3
180E+0	569.0172E+0	3.637E+3	1.22E+3	2.417E+3
181E+0	569.14E+0	3.654E+3	1.222E+3	2.432E+3
182E+0	569.2628E+0	3.637E+3	1.216E+3	2.421E+3
183E+0	569.3857E+0	3.667E+3	1.217E+3	2.45E+3
184E+0	569.5085E+0	3.657E+3	1.212E+3	2.445E+3
185E+0	569.6313E+0	3.646E+3	1.219E+3	2.427E+3
186E+0	569.7541E+0	3.636E+3	1.215E+3	2.421E+3
187E+0	569.877E+0	3.661E+3	1.222E+3	2.439E+3
188E+0	569.9998E+0	3.633E+3	1.224E+3	2.409E+3
189E+0	570.1226E+0	3.66E+3	1.218E+3	2.442E+3
190E+0	570.2454E+0	3.638E+3	1.222E+3	2.416E+3
191E+0	570.3683E+0	3.645E+3	1.217E+3	2.428E+3
192E+0	570.4911E+0	3.659E+3	1.216E+3	2.443E+3
193E+0	570.6139E+0	3.613E+3	1.217E+3	2.396E+3
194E+0	570.7368E+0	3.654E+3	1.225E+3	2.429E+3
195E+0	570.8596E+0	3.653E+3	1.22E+3	2.433E+3
196E+0	570.9824E+0	3.649E+3	1.218E+3	2.431E+3
197E+0	571.1053E+0	3.658E+3	1.221E+3	2.437E+3
198E+0	571.2281E+0	3.626E+3	1.223E+3	2.403E+3
199E+0	571.3509E+0	3.639E+3	1.225E+3	2.414E+3
200E+0	571.4738E+0	3.655E+3	1.23E+3	2.425E+3
201E+0	571.5966E+0	3.642E+3	1.223E+3	2.419E+3
202E+0	571.7195E+0	3.662E+3	1.225E+3	2.437E+3
203E+0	571.8423E+0	3.632E+3	1.224E+3	2.408E+3
204E+0	571.9652E+0	3.633E+3	1.23E+3	2.403E+3
205E+0	572.088E+0	3.639E+3	1.23E+3	2.409E+3
206E+0	572.2109E+0	3.652E+3	1.224E+3	2.428E+3
207E+0	572.3337E+0	3.63E+3	1.227E+3	2.403E+3
208E+0	572.4566E+0	3.643E+3	1.224E+3	2.419E+3
209E+0	572.5794E+0	3.645E+3	1.234E+3	2.411E+3
210E+0	572.7023E+0	3.633E+3	1.227E+3	2.406E+3
211E+0	572.8251E+0	3.63E+3	1.23E+3	2.4E+3
212E+0	572.948E+0	3.649E+3	1.238E+3	2.411E+3
213E+0	573.0708E+0	3.633E+3	1.234E+3	2.399E+3
214E+0	573.1937E+0	3.637E+3	1.229E+3	2.408E+3
215E+0	573.3166E+0	3.633E+3	1.233E+3	2.4E+3
216E+0	573.4394E+0	3.639E+3	1.227E+3	2.412E+3
217E+0	573.5623E+0	3.585E+3	1.234E+3	2.351E+3
218E+0	573.6851E+0	3.551E+3	1.232E+3	2.319E+3
219E+0	573.808E+0	3.524E+3	1.237E+3	2.287E+3
220E+0	573.9309E+0	3.486E+3	1.241E+3	2.245E+3
221E+0	574.0537E+0	3.46E+3	1.232E+3	2.228E+3
222E+0	574.1766E+0	3.474E+3	1.236E+3	2.238E+3
223E+0	574.2995E+0	3.455E+3	1.23E+3	2.225E+3
224E+0	574.4223E+0	3.419E+3	1.24E+3	2.179E+3
225E+0	574.5452E+0	3.411E+3	1.239E+3	2.172E+3
226E+0	574.6681E+0	3.448E+3	1.244E+3	2.204E+3
227E+0	574.791E+0	3.503E+3	1.236E+3	2.267E+3
228E+0	574.9138E+0	3.595E+3	1.241E+3	2.354E+3
229E+0	575.0367E+0	3.64E+3	1.236E+3	2.404E+3
230E+0	575.1596E+0	3.624E+3	1.235E+3	2.389E+3
231E+0	575.2825E+0	3.605E+3	1.237E+3	2.368E+3
232E+0	575.4054E+0	3.614E+3	1.243E+3	2.371E+3
233E+0	575.5282E+0	3.613E+3	1.245E+3	2.368E+3
234E+0	575.6511E+0	3.625E+3	1.244E+3	2.381E+3
235E+0	575.774E+0	3.622E+3	1.247E+3	2.375E+3
236E+0	575.8969E+0	3.596E+3	1.252E+3	2.344E+3
237E+0	576.0198E+0	3.606E+3	1.246E+3	2.36E+3
238E+0	576.1427E+0	3.598E+3	1.244E+3	2.354E+3
239E+0	576.2656E+0	3.602E+3	1.241E+3	2.361E+3
240E+0	576.3884E+0	3.594E+3	1.247E+3	2.347E+3
241E+0	576.5113E+0	3.592E+3	1.241E+3	2.351E+3
242E+0	576.6342E+0	3.607E+3	1.251E+3	2.356E+3
243E+0	576.7571E+0	3.611E+3	1.251E+3	2.36E+3
244E+0	576.88E+0	3.585E+3	1.249E+3	2.336E+3
245E+0	577.0029E+0	3.585E+3	1.246E+3	2.339E+3
246E+0	577.1258E+0	3.589E+3	1.254E+3	2.335E+3
247E+0	577.2487E+0	3.602E+3	1.253E+3	2.349E+3
248E+0	577.3716E+0	3.586E+3	1.25E+3	2.336E+3
249E+0	577.4945E+0	3.573E+3	1.25E+3	2.323E+3
250E+0	577.6174E+0	3.56E+3	1.248E+3	2.312E+3
251E+0	577.7403E+0	3.563E+3	1.258E+3	2.305E+3
252E+0	577.8632E+0	3.539E+3	1.251E+3	2.288E+3
253E+0	577.9861E+0	3.549E+3	1.251E+3	2.298E+3
254E+0	578.109E+0	3.55E+3	1.254E+3	2.296E+3
255E+0	578.2319E+0	3.525E+3	1.254E+3	2.271E+3
256E+0	578.3548E+0	3.546E+3	1.257E+3	2.289E+3
257E+0	578.4778E+0	3.515E+3	1.258E+3	2.257E+3
258E+0	578.6007E+0	3.51E+3	1.256E+3	2.254E+3
259E+0	578.7236E+0	3.501E+3	1.264E+3	2.237E+3
260E+0	578.8465E+0	3.511E+3	1.258E+3	2.253E+3
261E+0	578.9694E+0	3.512E+3	1.263E+3	2.249E+3
262E+0	579.0923E+0	3.51E+3	1.26E+3	2.25E+3
263E+0	579.2152E+0	3.508E+3	1.26E+3	2.248E+3
264E+0	579.3382E+0	3.517E+3	1.258E+3	2.259E+3
265E+0	579.4611E+0	3.494E+3	1.265E+3	2.229E+3
266E+0	579.584E+0	3.531E+3	1.263E+3	2.268E+3
267E+0	579.7069E+0	3.48E+3	1.255E+3	2.225E+3
268E+0	579.8298E+0	3.499E+3	1.263E+3	2.236E+3
269E+0	579.9528E+0	3.47E+3	1.263E+3	2.207E+3
270E+0	580.0757E+0	3.508E+3	1.258E+3	2.25E+3
271E+0	580.1986E+0	3.472E+3	1.267E+3	2.205E+3
272E+0	580.3215E+0	3.455E+3	1.266E+3	2.189E+3
273E+0	580.4445E+0	3.482E+3	1.264E+3	2.218E+3
274E+0	580.5674E+0	3.472E+3	1.268E+3	2.204E+3
275E+0	580.6903E+0	3.477E+3	1.264E+3	2.213E+3
276E+0	580.8133E+0	3.454E+3	1.268E+3	2.186E+3
277E+0	580.9362E+0	3.464E+3	1.267E+3	2.197E+3
278E+0	581.0591E+0	3.446E+3	1.262E+3	2.184E+3
279E+0	581.1821E+0	3.405E+3	1.262E+3	2.143E+3
280E+0	581.305E+0	3.43E+3	1.272E+3	2.158E+3
281E+0	581.4279E+0	3.414E+3	1.273E+3	2.141E+3
282E+0	581.5509E+0	3.41E+3	1.268E+3	2.142E+3
283E+0	581.6738E+0	3.418E+3	1.267E+3	2.151E+3
284E+0	581.7968E+0	3.422E+3	1.274E+3	2.148E+3
285E+0	581.9197E+0	3.429E+3	1.273E+3	2.156E+3
286E+0	582.0426E+0	3.418E+3	1.274E+3	2.144E+3
287E+0	582.1656E+0	3.383E+3	1.266E+3	2.117E+3
288E+0	582.2885E+0	3.379E+3	1.272E+3	2.107E+3
289E+0	582.4115E+0	3.401E+3	1.27E+3	2.131E+3
290E+0	582.5344E+0	3.406E+3	1.266E+3	2.14E+3
291E+0	582.6574E+0	3.398E+3	1.271E+3	2.127E+3
292E+0	582.7803E+0	3.407E+3	1.27E+3	2.137E+3
293E+0	582.9033E+0	3.381E+3	1.267E+3	2.114E+3
294E+0	583.0262E+0	3.412E+3	1.276E+3	2.136E+3
295E+0	583.1492E+0	3.398E+3	1.281E+3	2.117E+3
296E+0	583.2721E+0	3.386E+3	1.275E+3	2.111E+3
297E+0	583.3951E+0	3.362E+3	1.278E+3	2.084E+3
298E+0	583.518E+0	3.378E+3	1.275E+3	2.103E+3
299E+0	583.641E+0	3.374E+3	1.272E+3	2.102E+3
300E+0	583.7639E+0	3.37E+3	1.275E+3	2.095E+3
301E+0	583.8869E+0	3.382E+3	1.269E+3	2.113E+3
302E+0	584.0099E+0	3.38E+3	1.274E+3	2.106E+3
303E+0	584.1328E+0	3.392E+3	1.276E+3	2.116E+3
304E+0	584.2558E+0	3.403E+3	1.276E+3	2.127E+3
305E+0	584.3787E+0	3.374E+3	1.274E+3	2.1E+3
306E+0	584.5017E+0	3.369E+3	1.281E+3	2.088E+3
307E+0	584.6247E+0	3.397E+3	1.273E+3	2.124E+3
308E+0	584.7476E+0	3.384E+3	1.277E+3	2.107E+3
309E+0	584.8706E+0	3.393E+3	1.281E+3	2.112E+3
310E+0	584.9936E+0	3.305E+3	1.281E+3	2.024E+3
311E+0	585.1165E+0	3.329E+3	1.273E+3	2.056E+3
312E+0	585.2395E+0	3.283E+3	1.284E+3	1.999E+3
313E+0	585.3625E+0	3.305E+3	1.28E+3	2.025E+3
314E+0	585.4854E+0	3.284E+3	1.28E+3	2.004E+3
315E+0	585.6084E+0	3.283E+3	1.284E+3	1.999E+3
316E+0	585.7314E+0	3.263E+3	1.28E+3	1.983E+3
317E+0	585.8544E+0	3.283E+3	1.29E+3	1.993E+3
318E+0	585.9773E+0	3.313E+3	1.272E+3	2.041E+3
319E+0	586.1003E+0	3.331E+3	1.275E+3	2.056E+3
320E+0	586.2233E+0	3.339E+3	1.275E+3	2.064E+3
321E+0	586.3463E+0	3.297E+3	1.282E+3	2.015E+3
322E+0	586.4692E+0	3.3E+3	1.274E+3	2.026E+3
323E+0	586.5922E+0	3.324E+3	1.281E+3	2.043E+3
324E+0	586.7152E+0	3.293E+3	1.285E+3	2.008E+3
325E+0	586.8382E+0	3.325E+3	1.275E+3	2.05E+3
326E+0	586.9612E+0	3.332E+3	1.282E+3	2.05E+3
327E+0	587.0842E+0	3.312E+3	1.282E+3	2.03E+3
328E+0	587.2071E+0	3.3E+3	1.276E+3	2.024E+3
329E+0	587.3301E+0	3.305E+3	1.284E+3	2.021E+3
330E+0	587.4531E+0	3.315E+3	1.282E+3	2.033E+3
331E+0	587.5761E+0	3.303E+3	1.284E+3	2.019E+3
332E+0	587.6991E+0	3.294E+3	1.283E+3	2.011E+3
333E+0	587.8221E+0	3.322E+3	1.282E+3	2.04E+3
334E+0	587.9451E+0	3.274E+3	1.283E+3	1.991E+3
335E+0	588.0681E+0	3.284E+3	1.28E+3	2.004E+3
336E+0	588.1911E+0	3.255E+3	1.285E+3	1.97E+3
337E+0	588.3141E+0	3.243E+3	1.28E+3	1.963E+3
338E+0	588.437E+0	3.235E+3	1.288E+3	1.947E+3
339E+0	588.56E+0	3.224E+3	1.284E+3	1.94E+3
340E+0	588.683E+0	3.199E+3	1.284E+3	1.915E+3
341E+0	588.806E+0	3.186E+3	1.285E+3	1.901E+3
342E+0	588.929E+0	3.192E+3	1.283E+3	1.909E+3
343E+0	589.052E+0	3.216E+3	1.286E+3	1.93E+3
344E+0	589.175E+0	3.201E+3	1.283E+3	1.918E+3
345E+0	589.298E+0	3.208E+3	1.29E+3	1.918E+3
346E+0	589.421E+0	3.22E+3	1.28E+3	1.94E+3
347E+0	589.544E+0	3.228E+3	1.292E+3	1.936E+3
348E+0	589.667E+0	3.201E+3	1.285E+3	1.916E+3
349E+0	589.7901E+0	3.203E+3	1.287E+3	1.916E+3
350E+0	589.9131E+0	3.194E+3	1.289E+3	1.905E+3
351E+0	590.0361E+0	3.203E+3	1.294E+3	1.909E+3
352E+0	590.1591E+0	3.194E+3	1.286E+3	1.908E+3
353E+0	590.2821E+0	3.207E+3	1.288E+3	1.919E+3
354E+0	590.4051E+0	3.209E+3	1.294E+3	1.915E+3
355E+0	590.5281E+0	3.201E+3	1.294E+3	1.907E+3
356E+0	590.6511E+0	3.185E+3	1.288E+3	1.897E+3
357E+0	590.7741E+0	3.18E+3	1.285E+3	1.895E+3
358E+0	590.8971E+0	3.133E+3	1.284E+3	1.849E+3
359E+0	591.0202E+0	3.147E+3	1.286E+3	1.861E+3
360E+0	591.1432E+0	3.164E+3	1.291E+3	1.873E+3
361E+0	591.2662E+0	3.166E+3	1.287E+3	1.879E+3
362E+0	591.3892E+0	3.162E+3	1.277E+3	1.885E+3
363E+0	591.5122E+0	3.154E+3	1.285E+3	1.869E+3
364E+0	591.6352E+0	3.139E+3	1.287E+3	1.852E+3
365E+0	591.7583E+0	3.154E+3	1.283E+3	1.871E+3
366E+0	591.8813E+0	3.162E+3	1.292E+3	1.87E+3
367E+0	592.0043E+0	3.158E+3	1.288E+3	1.87E+3
368E+0	592.1273E+0	3.166E+3	1.286E+3	1.88E+3
369E+0	592.2503E+0	3.168E+3	1.288E+3	1.88E+3
370E+0	592.3734E+0	3.139E+3	1.288E+3	1.851E+3
371E+0	592.4964E+0	3.142E+3	1.283E+3	1.859E+3
372E+0	592.6194E+0	3.141E+3	1.286E+3	1.855E+3
373E+0	592.7424E+0	3.139E+3	1.292E+3	1.847E+3
374E+0	592.8655E+0	3.118E+3	1.29E+3	1.828E+3
375E+0	592.9885E+0	3.13E+3	1.285E+3	1.845E+3
376E+0	593.1115E+0	3.124E+3	1.288E+3	1.836E+3
377E+0	593.2346E+0	3.121E+3	1.288E+3	1.833E+3
