#2022-04-11
#10:41:34
#Balayage par: iq-qfl
#Description Keyword: 
##Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 5; X Start: 1; X End: 1024; Y Start: 1; Y End: 256; Integration Time(ms): 100; ADC1:  20 kHz Tab 1; Gain  2.0(x); Ccd Temp(degC): 23.408; Shutter Enable: True; Accumulation: 1; Noise Mode: Off; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;
#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1(Cnt)      	SympCCD.Y Pix Row 2(Cnt)      	SympCCD.Y Pix Row 3(Cnt)      	SympCCD.Y Pix Row 4(Cnt)      	SympCCD.Y Pix Row 5(Cnt)      
23E+0	NaN	1.184E+3	1.237E+3	1.293E+3	1.343E+3	1.373E+3
24E+0	NaN	1.201E+3	1.252E+3	1.283E+3	1.341E+3	1.398E+3
25E+0	NaN	1.193E+3	1.237E+3	1.279E+3	1.325E+3	1.372E+3
26E+0	NaN	1.186E+3	1.245E+3	1.29E+3	1.336E+3	1.385E+3
27E+0	NaN	1.184E+3	1.238E+3	1.284E+3	1.323E+3	1.368E+3
28E+0	NaN	1.191E+3	1.23E+3	1.282E+3	1.331E+3	1.388E+3
29E+0	NaN	1.194E+3	1.234E+3	1.286E+3	1.355E+3	1.384E+3
30E+0	NaN	1.18E+3	1.237E+3	1.287E+3	1.327E+3	1.372E+3
31E+0	NaN	1.193E+3	1.239E+3	1.29E+3	1.334E+3	1.383E+3
32E+0	NaN	1.176E+3	1.225E+3	1.278E+3	1.33E+3	1.376E+3
33E+0	NaN	1.18E+3	1.257E+3	1.283E+3	1.348E+3	1.378E+3
34E+0	NaN	1.177E+3	1.231E+3	1.284E+3	1.328E+3	1.373E+3
35E+0	NaN	1.178E+3	1.231E+3	1.279E+3	1.325E+3	1.37E+3
36E+0	NaN	1.189E+3	1.244E+3	1.294E+3	1.338E+3	1.382E+3
37E+0	NaN	1.184E+3	1.24E+3	1.293E+3	1.33E+3	1.382E+3
38E+0	NaN	1.189E+3	1.248E+3	1.299E+3	1.337E+3	1.382E+3
39E+0	NaN	1.191E+3	1.245E+3	1.289E+3	1.34E+3	1.388E+3
40E+0	NaN	1.179E+3	1.233E+3	1.282E+3	1.333E+3	1.371E+3
41E+0	NaN	1.193E+3	1.235E+3	1.285E+3	1.338E+3	1.387E+3
42E+0	NaN	1.18E+3	1.227E+3	1.282E+3	1.318E+3	1.38E+3
43E+0	NaN	1.179E+3	1.242E+3	1.287E+3	1.339E+3	1.388E+3
44E+0	NaN	1.198E+3	1.234E+3	1.288E+3	1.336E+3	1.382E+3
45E+0	NaN	1.175E+3	1.234E+3	1.278E+3	1.328E+3	1.365E+3
46E+0	NaN	1.186E+3	1.26E+3	1.32E+3	1.356E+3	1.405E+3
47E+0	NaN	1.188E+3	1.237E+3	1.281E+3	1.337E+3	1.382E+3
48E+0	NaN	1.18E+3	1.232E+3	1.29E+3	1.338E+3	1.382E+3
49E+0	NaN	1.183E+3	1.23E+3	1.27E+3	1.327E+3	1.378E+3
50E+0	NaN	1.196E+3	1.262E+3	1.294E+3	1.345E+3	1.388E+3
51E+0	NaN	1.209E+3	1.249E+3	1.293E+3	1.34E+3	1.383E+3
52E+0	NaN	1.174E+3	1.233E+3	1.283E+3	1.316E+3	1.37E+3
53E+0	NaN	1.179E+3	1.246E+3	1.399E+3	1.386E+3	1.446E+3
54E+0	NaN	1.18E+3	1.246E+3	1.288E+3	1.336E+3	1.379E+3
55E+0	NaN	1.187E+3	1.237E+3	1.281E+3	1.337E+3	1.385E+3
56E+0	NaN	1.185E+3	1.235E+3	1.282E+3	1.327E+3	1.372E+3
57E+0	NaN	1.184E+3	1.237E+3	1.298E+3	1.342E+3	1.383E+3
58E+0	NaN	1.181E+3	1.244E+3	1.288E+3	1.343E+3	1.384E+3
59E+0	NaN	1.188E+3	1.241E+3	1.289E+3	1.416E+3	1.415E+3
60E+0	NaN	1.181E+3	1.233E+3	1.282E+3	1.339E+3	1.38E+3
61E+0	NaN	1.185E+3	1.233E+3	1.283E+3	1.324E+3	1.372E+3
62E+0	NaN	1.178E+3	1.248E+3	1.284E+3	1.33E+3	1.379E+3
63E+0	NaN	1.19E+3	1.245E+3	1.286E+3	1.369E+3	1.393E+3
64E+0	NaN	1.179E+3	1.237E+3	1.286E+3	1.332E+3	1.363E+3
65E+0	NaN	1.186E+3	1.232E+3	1.281E+3	1.328E+3	1.368E+3
66E+0	NaN	1.19E+3	1.245E+3	1.288E+3	1.337E+3	1.38E+3
67E+0	NaN	1.179E+3	1.232E+3	1.279E+3	1.327E+3	1.377E+3
68E+0	NaN	1.182E+3	1.23E+3	1.315E+3	1.358E+3	1.397E+3
69E+0	NaN	1.179E+3	1.235E+3	1.286E+3	1.354E+3	1.385E+3
70E+0	NaN	1.183E+3	1.229E+3	1.28E+3	1.333E+3	1.369E+3
71E+0	NaN	1.185E+3	1.235E+3	1.282E+3	1.34E+3	1.37E+3
72E+0	NaN	1.188E+3	1.23E+3	1.297E+3	1.33E+3	1.386E+3
73E+0	NaN	1.183E+3	1.23E+3	1.277E+3	1.332E+3	1.373E+3
74E+0	NaN	1.174E+3	1.226E+3	1.278E+3	1.325E+3	1.368E+3
75E+0	NaN	1.185E+3	1.236E+3	1.285E+3	1.34E+3	1.364E+3
76E+0	NaN	1.179E+3	1.232E+3	1.281E+3	1.331E+3	1.381E+3
77E+0	NaN	1.181E+3	1.235E+3	1.286E+3	1.328E+3	1.376E+3
78E+0	NaN	1.186E+3	1.234E+3	1.29E+3	1.326E+3	1.37E+3
79E+0	NaN	1.178E+3	1.232E+3	1.282E+3	1.337E+3	1.373E+3
80E+0	NaN	1.183E+3	1.235E+3	1.288E+3	1.344E+3	1.383E+3
81E+0	NaN	1.185E+3	1.231E+3	1.282E+3	1.325E+3	1.372E+3
82E+0	NaN	1.184E+3	1.238E+3	1.302E+3	1.344E+3	1.412E+3
83E+0	NaN	1.181E+3	1.223E+3	1.296E+3	1.323E+3	1.379E+3
84E+0	NaN	1.177E+3	1.228E+3	1.284E+3	1.34E+3	1.374E+3
85E+0	NaN	1.181E+3	1.23E+3	1.276E+3	1.325E+3	1.377E+3
86E+0	NaN	1.184E+3	1.24E+3	1.291E+3	1.336E+3	1.366E+3
87E+0	NaN	1.183E+3	1.232E+3	1.29E+3	1.334E+3	1.38E+3
88E+0	NaN	1.184E+3	1.236E+3	1.283E+3	1.329E+3	1.377E+3
89E+0	NaN	1.185E+3	1.231E+3	1.287E+3	1.328E+3	1.376E+3
90E+0	NaN	1.18E+3	1.241E+3	1.281E+3	1.313E+3	1.373E+3
91E+0	NaN	1.183E+3	1.232E+3	1.278E+3	1.337E+3	1.382E+3
92E+0	NaN	1.174E+3	1.231E+3	1.274E+3	1.326E+3	1.376E+3
93E+0	NaN	1.181E+3	1.239E+3	1.308E+3	1.332E+3	1.376E+3
94E+0	NaN	1.182E+3	1.228E+3	1.271E+3	1.335E+3	1.373E+3
95E+0	NaN	1.184E+3	1.23E+3	1.281E+3	1.325E+3	1.382E+3
96E+0	NaN	1.183E+3	1.239E+3	1.303E+3	1.328E+3	1.395E+3
97E+0	NaN	1.184E+3	1.24E+3	1.284E+3	1.331E+3	1.377E+3
98E+0	NaN	1.182E+3	1.242E+3	1.287E+3	1.322E+3	1.379E+3
99E+0	NaN	1.189E+3	1.233E+3	1.279E+3	1.339E+3	1.369E+3
100E+0	NaN	1.186E+3	1.24E+3	1.299E+3	1.331E+3	1.394E+3
101E+0	NaN	1.176E+3	1.245E+3	1.292E+3	1.337E+3	1.383E+3
102E+0	NaN	1.187E+3	1.231E+3	1.282E+3	1.336E+3	1.384E+3
103E+0	NaN	1.182E+3	1.239E+3	1.285E+3	1.339E+3	1.383E+3
104E+0	NaN	1.186E+3	1.247E+3	1.284E+3	1.349E+3	1.389E+3
105E+0	NaN	1.184E+3	1.236E+3	1.284E+3	1.338E+3	1.387E+3
106E+0	NaN	1.174E+3	1.225E+3	1.272E+3	1.331E+3	1.38E+3
107E+0	NaN	1.18E+3	1.241E+3	1.286E+3	1.34E+3	1.384E+3
108E+0	NaN	1.192E+3	1.245E+3	1.281E+3	1.328E+3	1.381E+3
109E+0	NaN	1.184E+3	1.233E+3	1.285E+3	1.334E+3	1.379E+3
110E+0	NaN	1.187E+3	1.237E+3	1.282E+3	1.322E+3	1.37E+3
111E+0	NaN	1.188E+3	1.237E+3	1.285E+3	1.347E+3	1.385E+3
112E+0	NaN	1.18E+3	1.24E+3	1.279E+3	1.339E+3	1.372E+3
113E+0	NaN	1.19E+3	1.237E+3	1.289E+3	1.34E+3	1.383E+3
114E+0	NaN	1.181E+3	1.233E+3	1.279E+3	1.327E+3	1.38E+3
115E+0	NaN	1.185E+3	1.233E+3	1.286E+3	1.364E+3	1.397E+3
116E+0	NaN	1.182E+3	1.234E+3	1.292E+3	1.336E+3	1.37E+3
117E+0	NaN	1.188E+3	1.234E+3	1.287E+3	1.341E+3	1.381E+3
118E+0	NaN	1.184E+3	1.24E+3	1.288E+3	1.342E+3	1.389E+3
119E+0	NaN	1.193E+3	1.241E+3	1.286E+3	1.335E+3	1.388E+3
120E+0	NaN	1.18E+3	1.23E+3	1.284E+3	1.324E+3	1.369E+3
121E+0	NaN	1.178E+3	1.232E+3	1.29E+3	1.332E+3	1.366E+3
122E+0	NaN	1.185E+3	1.233E+3	1.281E+3	1.325E+3	1.379E+3
123E+0	NaN	1.183E+3	1.229E+3	1.286E+3	1.336E+3	1.383E+3
124E+0	NaN	1.188E+3	1.249E+3	1.3E+3	1.354E+3	1.385E+3
125E+0	NaN	1.192E+3	1.235E+3	1.282E+3	1.336E+3	1.38E+3
126E+0	NaN	1.182E+3	1.262E+3	1.304E+3	1.35E+3	1.386E+3
127E+0	NaN	1.188E+3	1.239E+3	1.278E+3	1.331E+3	1.366E+3
128E+0	NaN	1.188E+3	1.236E+3	1.29E+3	1.335E+3	1.386E+3
129E+0	NaN	1.193E+3	1.246E+3	1.292E+3	1.334E+3	1.392E+3
130E+0	NaN	1.188E+3	1.241E+3	1.287E+3	1.344E+3	1.393E+3
131E+0	NaN	1.179E+3	1.233E+3	1.282E+3	1.327E+3	1.373E+3
132E+0	NaN	1.187E+3	1.235E+3	1.28E+3	1.339E+3	1.398E+3
133E+0	NaN	1.178E+3	1.226E+3	1.284E+3	1.326E+3	1.377E+3
134E+0	NaN	1.191E+3	1.243E+3	1.292E+3	1.339E+3	1.388E+3
135E+0	NaN	1.188E+3	1.238E+3	1.282E+3	1.348E+3	1.379E+3
136E+0	NaN	1.183E+3	1.237E+3	1.281E+3	1.33E+3	1.381E+3
137E+0	NaN	1.188E+3	1.239E+3	1.285E+3	1.333E+3	1.376E+3
138E+0	NaN	1.187E+3	1.251E+3	1.289E+3	1.347E+3	1.383E+3
139E+0	NaN	1.186E+3	1.239E+3	1.284E+3	1.331E+3	1.384E+3
140E+0	NaN	1.176E+3	1.232E+3	1.29E+3	1.345E+3	1.388E+3
141E+0	NaN	1.183E+3	1.234E+3	1.283E+3	1.341E+3	1.383E+3
142E+0	NaN	1.182E+3	1.235E+3	1.274E+3	1.337E+3	1.384E+3
143E+0	NaN	1.201E+3	1.241E+3	1.303E+3	1.344E+3	1.382E+3
144E+0	NaN	1.196E+3	1.241E+3	1.287E+3	1.347E+3	1.384E+3
145E+0	NaN	1.184E+3	1.234E+3	1.296E+3	1.337E+3	1.382E+3
146E+0	NaN	1.186E+3	1.23E+3	1.28E+3	1.338E+3	1.379E+3
147E+0	NaN	1.18E+3	1.232E+3	1.277E+3	1.332E+3	1.358E+3
148E+0	NaN	1.181E+3	1.239E+3	1.294E+3	1.342E+3	1.407E+3
149E+0	NaN	1.18E+3	1.24E+3	1.296E+3	1.326E+3	1.373E+3
150E+0	NaN	1.188E+3	1.235E+3	1.288E+3	1.348E+3	1.396E+3
151E+0	NaN	1.182E+3	1.234E+3	1.292E+3	1.339E+3	1.38E+3
152E+0	NaN	1.186E+3	1.238E+3	1.292E+3	1.328E+3	1.39E+3
153E+0	NaN	1.181E+3	1.229E+3	1.283E+3	1.339E+3	1.373E+3
154E+0	NaN	1.189E+3	1.234E+3	1.297E+3	1.342E+3	1.39E+3
155E+0	NaN	1.189E+3	1.234E+3	1.278E+3	1.327E+3	1.377E+3
156E+0	NaN	1.189E+3	1.244E+3	1.292E+3	1.346E+3	1.387E+3
157E+0	NaN	1.187E+3	1.238E+3	1.288E+3	1.341E+3	1.387E+3
158E+0	NaN	1.183E+3	1.238E+3	1.295E+3	1.34E+3	1.38E+3
159E+0	NaN	1.18E+3	1.23E+3	1.277E+3	1.33E+3	1.379E+3
160E+0	NaN	1.174E+3	1.234E+3	1.283E+3	1.336E+3	1.382E+3
161E+0	NaN	1.188E+3	1.233E+3	1.281E+3	1.348E+3	1.382E+3
162E+0	NaN	1.183E+3	1.24E+3	1.285E+3	1.33E+3	1.383E+3
163E+0	NaN	1.187E+3	1.238E+3	1.298E+3	1.338E+3	1.391E+3
164E+0	NaN	1.18E+3	1.231E+3	1.279E+3	1.329E+3	1.369E+3
165E+0	NaN	1.178E+3	1.228E+3	1.271E+3	1.319E+3	1.364E+3
166E+0	NaN	1.187E+3	1.229E+3	1.286E+3	1.335E+3	1.381E+3
167E+0	NaN	1.18E+3	1.23E+3	1.277E+3	1.342E+3	1.381E+3
168E+0	NaN	1.188E+3	1.233E+3	1.282E+3	1.346E+3	1.376E+3
169E+0	NaN	1.187E+3	1.226E+3	1.284E+3	1.33E+3	1.38E+3
170E+0	NaN	1.201E+3	1.272E+3	1.311E+3	1.363E+3	1.407E+3
171E+0	NaN	1.181E+3	1.272E+3	1.288E+3	1.34E+3	1.397E+3
172E+0	NaN	1.194E+3	1.234E+3	1.282E+3	1.339E+3	1.39E+3
173E+0	NaN	1.181E+3	1.232E+3	1.28E+3	1.333E+3	1.388E+3
174E+0	NaN	1.187E+3	1.236E+3	1.293E+3	1.352E+3	1.395E+3
175E+0	NaN	1.181E+3	1.24E+3	1.29E+3	1.338E+3	1.384E+3
176E+0	NaN	1.188E+3	1.234E+3	1.279E+3	1.342E+3	1.389E+3
177E+0	NaN	1.187E+3	1.271E+3	1.305E+3	1.344E+3	1.392E+3
178E+0	NaN	1.192E+3	1.237E+3	1.292E+3	1.337E+3	1.388E+3
179E+0	NaN	1.183E+3	1.235E+3	1.29E+3	1.329E+3	1.388E+3
180E+0	NaN	1.184E+3	1.23E+3	1.274E+3	1.329E+3	1.377E+3
181E+0	NaN	1.187E+3	1.233E+3	1.29E+3	1.337E+3	1.393E+3
182E+0	NaN	1.178E+3	1.233E+3	1.286E+3	1.328E+3	1.384E+3
183E+0	NaN	1.183E+3	1.242E+3	1.29E+3	1.335E+3	1.392E+3
184E+0	NaN	1.18E+3	1.229E+3	1.278E+3	1.332E+3	1.379E+3
185E+0	NaN	1.192E+3	1.244E+3	1.289E+3	1.336E+3	1.385E+3
186E+0	NaN	1.191E+3	1.233E+3	1.281E+3	1.336E+3	1.38E+3
187E+0	NaN	1.184E+3	1.234E+3	1.286E+3	1.324E+3	1.376E+3
188E+0	NaN	1.182E+3	1.239E+3	1.297E+3	1.336E+3	1.397E+3
189E+0	NaN	1.208E+3	1.243E+3	1.297E+3	1.349E+3	1.395E+3
190E+0	NaN	1.183E+3	1.241E+3	1.286E+3	1.337E+3	1.382E+3
191E+0	NaN	1.187E+3	1.238E+3	1.295E+3	1.339E+3	1.388E+3
192E+0	NaN	1.185E+3	1.24E+3	1.287E+3	1.324E+3	1.377E+3
193E+0	NaN	1.186E+3	1.241E+3	1.297E+3	1.328E+3	1.38E+3
194E+0	NaN	1.178E+3	1.234E+3	1.274E+3	1.334E+3	1.377E+3
195E+0	NaN	1.179E+3	1.231E+3	1.281E+3	1.343E+3	1.379E+3
196E+0	NaN	1.187E+3	1.239E+3	1.293E+3	1.335E+3	1.376E+3
197E+0	NaN	1.185E+3	1.242E+3	1.293E+3	1.333E+3	1.392E+3
198E+0	NaN	1.216E+3	1.262E+3	1.302E+3	1.345E+3	1.394E+3
199E+0	NaN	1.194E+3	1.24E+3	1.309E+3	1.337E+3	1.376E+3
200E+0	NaN	1.186E+3	1.246E+3	1.293E+3	1.342E+3	1.377E+3
201E+0	NaN	1.185E+3	1.228E+3	1.28E+3	1.325E+3	1.374E+3
202E+0	NaN	1.183E+3	1.232E+3	1.289E+3	1.333E+3	1.385E+3
203E+0	NaN	1.189E+3	1.226E+3	1.287E+3	1.335E+3	1.39E+3
204E+0	NaN	1.222E+3	1.261E+3	1.314E+3	1.357E+3	1.41E+3
205E+0	NaN	1.187E+3	1.249E+3	1.297E+3	1.353E+3	1.387E+3
206E+0	NaN	1.196E+3	1.243E+3	1.305E+3	1.345E+3	1.384E+3
207E+0	NaN	1.186E+3	1.235E+3	1.295E+3	1.338E+3	1.384E+3
208E+0	NaN	1.184E+3	1.238E+3	1.288E+3	1.341E+3	1.394E+3
209E+0	NaN	1.185E+3	1.233E+3	1.283E+3	1.333E+3	1.384E+3
210E+0	NaN	1.189E+3	1.251E+3	1.31E+3	1.352E+3	1.387E+3
211E+0	NaN	1.188E+3	1.234E+3	1.286E+3	1.337E+3	1.378E+3
212E+0	NaN	1.197E+3	1.242E+3	1.301E+3	1.343E+3	1.394E+3
213E+0	NaN	1.18E+3	1.23E+3	1.292E+3	1.334E+3	1.386E+3
214E+0	NaN	1.193E+3	1.243E+3	1.295E+3	1.337E+3	1.387E+3
215E+0	NaN	1.186E+3	1.228E+3	1.285E+3	1.339E+3	1.388E+3
216E+0	NaN	1.203E+3	1.243E+3	1.296E+3	1.35E+3	1.396E+3
217E+0	NaN	1.184E+3	1.243E+3	1.289E+3	1.337E+3	1.378E+3
218E+0	NaN	1.18E+3	1.242E+3	1.278E+3	1.336E+3	1.377E+3
219E+0	NaN	1.183E+3	1.238E+3	1.286E+3	1.349E+3	1.387E+3
220E+0	NaN	1.187E+3	1.242E+3	1.294E+3	1.333E+3	1.381E+3
221E+0	NaN	1.186E+3	1.234E+3	1.274E+3	1.327E+3	1.373E+3
222E+0	NaN	1.192E+3	1.238E+3	1.296E+3	1.346E+3	1.401E+3
223E+0	NaN	1.189E+3	1.243E+3	1.28E+3	1.334E+3	1.389E+3
224E+0	NaN	1.193E+3	1.25E+3	1.297E+3	1.339E+3	1.378E+3
225E+0	NaN	1.176E+3	1.236E+3	1.285E+3	1.33E+3	1.366E+3
226E+0	NaN	1.185E+3	1.244E+3	1.295E+3	1.344E+3	1.385E+3
227E+0	NaN	1.194E+3	1.235E+3	1.285E+3	1.326E+3	1.381E+3
228E+0	NaN	1.191E+3	1.254E+3	1.293E+3	1.339E+3	1.388E+3
229E+0	NaN	1.174E+3	1.241E+3	1.286E+3	1.343E+3	1.375E+3
230E+0	NaN	1.191E+3	1.236E+3	1.288E+3	1.347E+3	1.393E+3
231E+0	NaN	1.193E+3	1.235E+3	1.289E+3	1.332E+3	1.378E+3
232E+0	NaN	1.188E+3	1.24E+3	1.288E+3	1.332E+3	1.39E+3
233E+0	NaN	1.192E+3	1.255E+3	1.288E+3	1.35E+3	1.401E+3
234E+0	NaN	1.181E+3	1.233E+3	1.279E+3	1.318E+3	1.379E+3
235E+0	NaN	1.184E+3	1.241E+3	1.29E+3	1.341E+3	1.382E+3
236E+0	NaN	1.182E+3	1.241E+3	1.301E+3	1.338E+3	1.373E+3
237E+0	NaN	1.191E+3	1.24E+3	1.286E+3	1.341E+3	1.392E+3
238E+0	NaN	1.183E+3	1.238E+3	1.28E+3	1.325E+3	1.385E+3
239E+0	NaN	1.184E+3	1.256E+3	1.289E+3	1.341E+3	1.376E+3
240E+0	NaN	1.188E+3	1.241E+3	1.302E+3	1.353E+3	1.387E+3
241E+0	NaN	1.179E+3	1.239E+3	1.285E+3	1.337E+3	1.372E+3
242E+0	NaN	1.179E+3	1.225E+3	1.278E+3	1.328E+3	1.368E+3
243E+0	NaN	1.189E+3	1.3E+3	1.321E+3	1.373E+3	1.409E+3
244E+0	NaN	1.187E+3	1.245E+3	1.289E+3	1.344E+3	1.383E+3
245E+0	NaN	1.193E+3	1.242E+3	1.29E+3	1.343E+3	1.381E+3
246E+0	NaN	1.18E+3	1.237E+3	1.286E+3	1.34E+3	1.377E+3
247E+0	NaN	1.189E+3	1.246E+3	1.301E+3	1.334E+3	1.389E+3
248E+0	NaN	1.185E+3	1.228E+3	1.284E+3	1.332E+3	1.376E+3
249E+0	NaN	1.187E+3	1.241E+3	1.318E+3	1.349E+3	1.407E+3
250E+0	NaN	1.189E+3	1.243E+3	1.295E+3	1.34E+3	1.377E+3
251E+0	NaN	1.183E+3	1.239E+3	1.293E+3	1.333E+3	1.388E+3
252E+0	NaN	1.188E+3	1.237E+3	1.288E+3	1.333E+3	1.391E+3
253E+0	NaN	1.181E+3	1.236E+3	1.276E+3	1.342E+3	1.388E+3
254E+0	NaN	1.18E+3	1.226E+3	1.29E+3	1.326E+3	1.377E+3
255E+0	NaN	1.183E+3	1.234E+3	1.284E+3	1.343E+3	1.39E+3
256E+0	NaN	1.188E+3	1.232E+3	1.275E+3	1.336E+3	1.38E+3
257E+0	NaN	1.177E+3	1.231E+3	1.286E+3	1.323E+3	1.369E+3
258E+0	NaN	1.185E+3	1.243E+3	1.288E+3	1.35E+3	1.392E+3
259E+0	NaN	1.187E+3	1.24E+3	1.285E+3	1.348E+3	1.384E+3
260E+0	NaN	1.188E+3	1.241E+3	1.299E+3	1.341E+3	1.385E+3
261E+0	NaN	1.191E+3	1.239E+3	1.295E+3	1.337E+3	1.39E+3
262E+0	NaN	1.181E+3	1.24E+3	1.291E+3	1.353E+3	1.394E+3
263E+0	NaN	1.184E+3	1.241E+3	1.283E+3	1.326E+3	1.38E+3
264E+0	NaN	1.179E+3	1.233E+3	1.282E+3	1.334E+3	1.376E+3
265E+0	NaN	1.192E+3	1.249E+3	1.302E+3	1.335E+3	1.419E+3
266E+0	NaN	1.184E+3	1.238E+3	1.286E+3	1.343E+3	1.384E+3
267E+0	NaN	1.18E+3	1.242E+3	1.281E+3	1.329E+3	1.378E+3
268E+0	NaN	1.185E+3	1.245E+3	1.293E+3	1.349E+3	1.389E+3
269E+0	NaN	1.186E+3	1.245E+3	1.292E+3	1.35E+3	1.386E+3
270E+0	NaN	1.188E+3	1.238E+3	1.295E+3	1.348E+3	1.391E+3
271E+0	NaN	1.184E+3	1.235E+3	1.284E+3	1.32E+3	1.374E+3
272E+0	NaN	1.188E+3	1.252E+3	1.296E+3	1.344E+3	1.39E+3
273E+0	NaN	1.18E+3	1.242E+3	1.289E+3	1.346E+3	1.388E+3
274E+0	NaN	1.201E+3	1.237E+3	1.291E+3	1.342E+3	1.387E+3
275E+0	NaN	1.189E+3	1.248E+3	1.29E+3	1.341E+3	1.382E+3
276E+0	NaN	1.184E+3	1.239E+3	1.278E+3	1.338E+3	1.375E+3
277E+0	NaN	1.186E+3	1.24E+3	1.299E+3	1.345E+3	1.385E+3
278E+0	NaN	1.177E+3	1.235E+3	1.28E+3	1.335E+3	1.385E+3
279E+0	NaN	1.221E+3	1.257E+3	1.307E+3	1.36E+3	1.404E+3
280E+0	NaN	1.182E+3	1.241E+3	1.295E+3	1.337E+3	1.39E+3
281E+0	NaN	1.169E+3	1.232E+3	1.288E+3	1.337E+3	1.378E+3
282E+0	NaN	1.194E+3	1.257E+3	1.294E+3	1.343E+3	1.401E+3
283E+0	NaN	1.182E+3	1.24E+3	1.285E+3	1.331E+3	1.417E+3
284E+0	NaN	1.188E+3	1.232E+3	1.287E+3	1.342E+3	1.378E+3
285E+0	NaN	1.173E+3	1.225E+3	1.285E+3	1.339E+3	1.379E+3
286E+0	NaN	1.183E+3	1.234E+3	1.294E+3	1.34E+3	1.397E+3
287E+0	NaN	1.179E+3	1.242E+3	1.297E+3	1.344E+3	1.402E+3
288E+0	NaN	1.185E+3	1.239E+3	1.282E+3	1.339E+3	1.383E+3
289E+0	NaN	1.185E+3	1.24E+3	1.296E+3	1.335E+3	1.389E+3
290E+0	NaN	1.186E+3	1.232E+3	1.285E+3	1.332E+3	1.376E+3
291E+0	NaN	1.196E+3	1.246E+3	1.295E+3	1.353E+3	1.386E+3
292E+0	NaN	1.175E+3	1.239E+3	1.28E+3	1.336E+3	1.38E+3
293E+0	NaN	1.188E+3	1.239E+3	1.275E+3	1.339E+3	1.38E+3
294E+0	NaN	1.186E+3	1.242E+3	1.294E+3	1.349E+3	1.398E+3
295E+0	NaN	1.177E+3	1.233E+3	1.301E+3	1.337E+3	1.383E+3
