#2022-08-18
#15:12:22
#Balayage par: iq-qfl
#Description Keyword: 
#ScanTask Size: 1001
##Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: Tools@Tools.lvclass; Function:AbsTime (ms); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: ThorPM100A@ThorPM100A.lvclass; Function:Read Power (mW); Parameters: *BeforeWait(ms): 500;*AfterWait(ms): 0; Range: 1.861588E-1 (W); Autorange: Off; Wavelenght 530.80 (nm); Act Power: 15.399E-6 (W); Attenuation 0.00 (dB); Average Cnt: 1;
#
#Tools.Indice de points(Points)	Tools.Time(s)                 	Tools.Temps Abs(ms)           	ThorPM100A.Power(mW)          
52E+0	3.743694769207E+9	3.743694769207E+9	-1.39881206E-6
53E+0	3.74369476971E+9	3.74369476971E+9	-5.59918817E-6
54E+0	3.743694770269E+9	3.743694770269E+9	15.398753E-6
55E+0	3.743694770772E+9	3.743694770772E+9	11.1983763E-6
56E+0	3.743694771275E+9	3.743694771275E+9	6.99997054E-6
57E+0	3.743694771778E+9	3.743694771778E+9	11.1983763E-6
58E+0	3.743694772284E+9	3.743694772284E+9	2.79959409E-6
59E+0	3.743694772788E+9	3.743694772788E+9	15.398753E-6
60E+0	3.743694773291E+9	3.743694773291E+9	-9.79759443E-6
61E+0	3.743694773797E+9	3.743694773797E+9	2.79959409E-6
62E+0	3.743694774301E+9	3.743694774301E+9	6.99997054E-6
63E+0	3.743694774804E+9	3.743694774804E+9	6.99997054E-6
64E+0	3.743694775306E+9	3.743694775307E+9	-9.79759443E-6
65E+0	3.743694775827E+9	3.743694775827E+9	2.79959409E-6
66E+0	3.743694776331E+9	3.743694776331E+9	11.1983763E-6
67E+0	3.743694776835E+9	3.743694776835E+9	11.1983763E-6
68E+0	3.743694777338E+9	3.743694777338E+9	-1.39881206E-6
69E+0	3.74369477784E+9	3.74369477784E+9	-9.79759443E-6
70E+0	3.743694778344E+9	3.743694778344E+9	-5.59918817E-6
71E+0	3.743694778847E+9	3.743694778847E+9	2.79959409E-6
72E+0	3.743694779351E+9	3.743694779351E+9	15.398753E-6
73E+0	3.743694779855E+9	3.743694779855E+9	-1.39881206E-6
74E+0	3.743694780359E+9	3.743694780359E+9	6.99997054E-6
75E+0	3.743694780862E+9	3.743694780862E+9	-1.39881206E-6
76E+0	3.743694781365E+9	3.743694781365E+9	-9.79759443E-6
77E+0	3.743694781868E+9	3.743694781868E+9	-1.39881206E-6
78E+0	3.743694782371E+9	3.743694782371E+9	-9.79759443E-6
79E+0	3.743694782875E+9	3.743694782875E+9	11.1983763E-6
80E+0	3.743694783378E+9	3.743694783378E+9	-1.39881206E-6
81E+0	3.743694783881E+9	3.743694783881E+9	2.79959409E-6
82E+0	3.743694784385E+9	3.743694784385E+9	-5.59918817E-6
83E+0	3.743694784888E+9	3.743694784888E+9	2.79959409E-6
84E+0	3.743694785392E+9	3.743694785392E+9	6.99997054E-6
85E+0	3.743694785895E+9	3.743694785895E+9	-1.39881206E-6
86E+0	3.743694786398E+9	3.743694786398E+9	-5.59918817E-6
87E+0	3.743694786901E+9	3.743694786901E+9	-5.59918817E-6
88E+0	3.743694787405E+9	3.743694787405E+9	2.79959409E-6
89E+0	3.743694787908E+9	3.743694787908E+9	6.99997054E-6
90E+0	3.74369478841E+9	3.74369478841E+9	-1.39881206E-6
91E+0	3.743694788913E+9	3.743694788913E+9	2.79959409E-6
92E+0	3.743694789425E+9	3.743694789425E+9	-1.39881206E-6
93E+0	3.743694789929E+9	3.743694789929E+9	11.1983763E-6
94E+0	3.743694790432E+9	3.743694790432E+9	-1.39881206E-6
95E+0	3.743694790935E+9	3.743694790935E+9	-1.39881206E-6
96E+0	3.743694791438E+9	3.743694791438E+9	-1.39881206E-6
97E+0	3.743694791941E+9	3.743694791941E+9	-5.59918817E-6
98E+0	3.743694792445E+9	3.743694792445E+9	-9.79759443E-6
99E+0	3.743694792948E+9	3.743694792948E+9	2.79959409E-6
100E+0	3.743694793452E+9	3.743694793452E+9	-5.59918817E-6
101E+0	3.743694793955E+9	3.743694793955E+9	-9.79759443E-6
102E+0	3.743694794458E+9	3.743694794458E+9	2.79959409E-6
103E+0	3.743694794962E+9	3.743694794962E+9	15.398753E-6
104E+0	3.743694795465E+9	3.743694795465E+9	2.79959409E-6
105E+0	3.743694795969E+9	3.743694795969E+9	6.99997054E-6
106E+0	3.743694796473E+9	3.743694796473E+9	-1.39881206E-6
107E+0	3.743694796976E+9	3.743694796976E+9	6.99997054E-6
108E+0	3.743694797479E+9	3.743694797479E+9	2.79959409E-6
109E+0	3.743694797982E+9	3.743694797982E+9	-1.39881206E-6
110E+0	3.743694798484E+9	3.743694798484E+9	6.99997054E-6
111E+0	3.743694798987E+9	3.743694798987E+9	2.79959409E-6
112E+0	3.743694799491E+9	3.743694799491E+9	11.1983763E-6
113E+0	3.743694799995E+9	3.743694799995E+9	15.398753E-6
114E+0	3.743694800498E+9	3.743694800498E+9	2.79959409E-6
115E+0	3.743694801E+9	3.743694801E+9	19.5971588E-6
116E+0	3.743694801503E+9	3.743694801503E+9	-5.59918817E-6
117E+0	3.743694802006E+9	3.743694802006E+9	-18.1963769E-6
118E+0	3.74369480251E+9	3.74369480251E+9	11.1983763E-6
119E+0	3.743694803013E+9	3.743694803013E+9	-1.39881206E-6
120E+0	3.743694803516E+9	3.743694803516E+9	6.99997054E-6
121E+0	3.74369480402E+9	3.74369480402E+9	-9.79759443E-6
122E+0	3.743694804523E+9	3.743694804523E+9	6.99997054E-6
123E+0	3.743694805028E+9	3.743694805028E+9	-1.39881206E-6
124E+0	3.743694805531E+9	3.743694805531E+9	2.79959409E-6
125E+0	3.743694806034E+9	3.743694806034E+9	6.99997054E-6
126E+0	3.743694806536E+9	3.743694806536E+9	11.1983763E-6
127E+0	3.743694807039E+9	3.743694807039E+9	-9.79759443E-6
128E+0	3.743694807542E+9	3.743694807542E+9	-13.9979711E-6
129E+0	3.743694808045E+9	3.743694808045E+9	-1.39881206E-6
130E+0	3.743694808549E+9	3.743694808549E+9	23.7975346E-6
131E+0	3.743694809053E+9	3.743694809053E+9	19.5971588E-6
132E+0	3.743694809557E+9	3.743694809557E+9	-5.59918817E-6
133E+0	3.74369481006E+9	3.74369481006E+9	6.99997054E-6
134E+0	3.743694810564E+9	3.743694810564E+9	-1.39881206E-6
135E+0	3.743694811067E+9	3.743694811067E+9	2.79959409E-6
136E+0	3.74369481157E+9	3.74369481157E+9	-1.39881206E-6
137E+0	3.743694812073E+9	3.743694812073E+9	2.79959409E-6
138E+0	3.743694812576E+9	3.743694812576E+9	2.79959409E-6
139E+0	3.743694813079E+9	3.743694813079E+9	2.79959409E-6
140E+0	3.743694813581E+9	3.743694813581E+9	11.1983763E-6
141E+0	3.743694814085E+9	3.743694814085E+9	2.79959409E-6
142E+0	3.743694814589E+9	3.743694814589E+9	11.1983763E-6
143E+0	3.743694815094E+9	3.743694815094E+9	-5.59918817E-6
144E+0	3.743694815596E+9	3.743694815596E+9	-1.39881206E-6
145E+0	3.743694816099E+9	3.743694816099E+9	-26.5951603E-6
146E+0	3.743694816603E+9	3.743694816603E+9	-5.59918817E-6
147E+0	3.743694817107E+9	3.743694817107E+9	-5.59918817E-6
148E+0	3.74369481761E+9	3.74369481761E+9	2.79959409E-6
149E+0	3.743694818113E+9	3.743694818113E+9	11.1983763E-6
150E+0	3.743694818616E+9	3.743694818616E+9	19.5971588E-6
151E+0	3.743694819119E+9	3.743694819119E+9	6.99997054E-6
152E+0	3.743694819622E+9	3.743694819622E+9	-9.79759443E-6
153E+0	3.743694820126E+9	3.743694820126E+9	2.79959409E-6
154E+0	3.743694820629E+9	3.743694820629E+9	6.99997054E-6
155E+0	3.743694821133E+9	3.743694821133E+9	2.79959409E-6
156E+0	3.743694821636E+9	3.743694821636E+9	2.79959409E-6
157E+0	3.74369482214E+9	3.74369482214E+9	2.79959409E-6
158E+0	3.743694822643E+9	3.743694822643E+9	-1.39881206E-6
159E+0	3.743694823147E+9	3.743694823147E+9	2.79959409E-6
160E+0	3.743694823652E+9	3.743694823652E+9	6.99997054E-6
161E+0	3.743694824156E+9	3.743694824156E+9	6.99997054E-6
162E+0	3.743694824658E+9	3.743694824658E+9	2.79959409E-6
163E+0	3.743694825162E+9	3.743694825162E+9	2.79959409E-6
164E+0	3.743694825666E+9	3.743694825666E+9	2.79959409E-6
165E+0	3.74369482617E+9	3.74369482617E+9	6.99997054E-6
166E+0	3.743694826673E+9	3.743694826673E+9	-9.79759443E-6
167E+0	3.743694827176E+9	3.743694827176E+9	-5.59918817E-6
168E+0	3.743694827679E+9	3.743694827679E+9	2.79959409E-6
169E+0	3.743694828183E+9	3.743694828183E+9	11.1983763E-6
170E+0	3.743694828687E+9	3.743694828687E+9	-5.59918817E-6
171E+0	3.743694829191E+9	3.743694829191E+9	15.398753E-6
172E+0	3.743694829715E+9	3.743694829715E+9	-1.39881206E-6
173E+0	3.74369483022E+9	3.74369483022E+9	15.398753E-6
174E+0	3.743694830724E+9	3.743694830724E+9	-9.79759443E-6
175E+0	3.743694831228E+9	3.743694831228E+9	2.79959409E-6
176E+0	3.743694831732E+9	3.743694831732E+9	11.1983763E-6
177E+0	3.743694832236E+9	3.743694832236E+9	15.398753E-6
178E+0	3.743694832741E+9	3.743694832741E+9	23.7975346E-6
179E+0	3.743694833432E+9	3.743694833432E+9	2.79959409E-6
180E+0	3.743694833935E+9	3.743694833935E+9	11.1983763E-6
181E+0	3.743694834438E+9	3.743694834438E+9	-1.39881206E-6
182E+0	3.743694834941E+9	3.743694834941E+9	6.99997054E-6
183E+0	3.743694835445E+9	3.743694835445E+9	2.79959409E-6
184E+0	3.743694835948E+9	3.743694835948E+9	6.99997054E-6
185E+0	3.743694836451E+9	3.743694836451E+9	2.79959409E-6
186E+0	3.743694836955E+9	3.743694836955E+9	-1.39881206E-6
187E+0	3.743694837459E+9	3.743694837459E+9	2.79959409E-6
188E+0	3.743694837963E+9	3.743694837963E+9	11.1983763E-6
189E+0	3.743694838467E+9	3.743694838467E+9	-18.1963769E-6
190E+0	3.743694838971E+9	3.743694838971E+9	-5.59918817E-6
191E+0	3.743694839475E+9	3.743694839475E+9	-9.79759443E-6
192E+0	3.743694839979E+9	3.743694839979E+9	-1.39881206E-6
193E+0	3.743694840482E+9	3.743694840482E+9	2.79959409E-6
194E+0	3.743694840985E+9	3.743694840985E+9	-22.3947827E-6
195E+0	3.743694841488E+9	3.743694841488E+9	2.79959409E-6
196E+0	3.743694841991E+9	3.743694841991E+9	2.79959409E-6
197E+0	3.743694842495E+9	3.743694842495E+9	-1.39881206E-6
198E+0	3.743694842997E+9	3.743694842997E+9	3.18426737E-6
199E+0	3.7436948435E+9	3.7436948435E+9	1.50027518E-6
200E+0	3.743694844004E+9	3.743694844004E+9	2.76339256E-6
201E+0	3.743694844508E+9	3.743694844508E+9	2.34227127E-6
202E+0	3.743694845019E+9	3.743694845019E+9	-604.838419E-9
203E+0	3.743694845539E+9	3.743694845539E+9	1.50027518E-6
204E+0	3.743694846043E+9	3.743694846043E+9	3.18426737E-6
205E+0	3.743694846547E+9	3.743694846547E+9	237.157735E-9
206E+0	3.74369484705E+9	3.74369484705E+9	3.18426737E-6
207E+0	3.743694847553E+9	3.743694847553E+9	2.76339256E-6
208E+0	3.743694848056E+9	3.743694848056E+9	237.157735E-9
209E+0	3.743694848559E+9	3.743694848559E+9	4.02626347E-6
210E+0	3.743694849061E+9	3.743694849061E+9	-604.838419E-9
211E+0	3.743694849579E+9	3.743694849579E+9	1.50027518E-6
212E+0	3.743694850083E+9	3.743694850083E+9	2.76339256E-6
213E+0	3.743694850585E+9	3.743694850585E+9	1.50027518E-6
214E+0	3.743694851088E+9	3.743694851088E+9	1.50027518E-6
215E+0	3.743694851591E+9	3.743694851591E+9	658.278964E-9
216E+0	3.743694852093E+9	3.743694852093E+9	-604.838419E-9
217E+0	3.743694852596E+9	3.743694852596E+9	-4.81506549E-6
218E+0	3.743694853099E+9	3.743694853099E+9	2.76339256E-6
219E+0	3.743694853602E+9	3.743694853602E+9	3.18426737E-6
220E+0	3.743694854104E+9	3.743694854104E+9	1.92114999E-6
221E+0	3.743694854609E+9	3.743694854609E+9	1.50027518E-6
222E+0	3.743694855112E+9	3.743694855112E+9	1.92114999E-6
223E+0	3.743694855615E+9	3.743694855615E+9	658.278964E-9
224E+0	3.743694856118E+9	3.743694856118E+9	1.50027518E-6
225E+0	3.743694856621E+9	3.743694856621E+9	4.44738498E-6
226E+0	3.743694857124E+9	3.743694857124E+9	1.07915389E-6
227E+0	3.743694857628E+9	3.743694857628E+9	658.278964E-9
228E+0	3.743694858131E+9	3.743694858131E+9	-1.0259597E-6
229E+0	3.743694858634E+9	3.743694858634E+9	-604.838419E-9
230E+0	3.743694859136E+9	3.743694859136E+9	1.50027518E-6
231E+0	3.74369485964E+9	3.74369485964E+9	1.92114999E-6
232E+0	3.743694860143E+9	3.743694860143E+9	2.34227127E-6
233E+0	3.743694860645E+9	3.743694860645E+9	1.92114999E-6
234E+0	3.74369486115E+9	3.74369486115E+9	1.07915389E-6
235E+0	3.743694861652E+9	3.743694861652E+9	-604.838419E-9
236E+0	3.743694862154E+9	3.743694862154E+9	1.07915389E-6
237E+0	3.743694862658E+9	3.743694862658E+9	1.92114999E-6
238E+0	3.743694863161E+9	3.743694863161E+9	3.18426737E-6
239E+0	3.743694863665E+9	3.743694863665E+9	1.07915389E-6
240E+0	3.743694864168E+9	3.743694864168E+9	658.278964E-9
241E+0	3.743694864671E+9	3.743694864671E+9	2.76339256E-6
242E+0	3.743694865174E+9	3.743694865174E+9	1.07915389E-6
243E+0	3.743694865681E+9	3.743694865681E+9	2.34227127E-6
244E+0	3.743694866184E+9	3.743694866184E+9	1.92114999E-6
245E+0	3.743694866688E+9	3.743694866688E+9	-183.717205E-9
246E+0	3.74369486719E+9	3.74369486719E+9	1.07915389E-6
247E+0	3.743694867693E+9	3.743694867693E+9	1.92114999E-6
248E+0	3.743694868196E+9	3.743694868196E+9	2.34227127E-6
249E+0	3.7436948687E+9	3.7436948687E+9	1.50027518E-6
250E+0	3.743694869203E+9	3.743694869203E+9	1.92114999E-6
251E+0	3.743694869707E+9	3.743694869707E+9	3.60538866E-6
252E+0	3.743694870209E+9	3.743694870209E+9	658.278964E-9
253E+0	3.743694870712E+9	3.743694870712E+9	1.92114999E-6
254E+0	3.743694871217E+9	3.743694871217E+9	1.92114999E-6
255E+0	3.743694871721E+9	3.743694871721E+9	2.34227127E-6
256E+0	3.743694872224E+9	3.743694872224E+9	1.07915389E-6
257E+0	3.743694872728E+9	3.743694872728E+9	1.07915389E-6
258E+0	3.743694873232E+9	3.743694873232E+9	2.34227127E-6
259E+0	3.743694873735E+9	3.743694873735E+9	-183.717205E-9
260E+0	3.743694874237E+9	3.743694874237E+9	237.157735E-9
261E+0	3.743694874742E+9	3.743694874742E+9	1.50027518E-6
262E+0	3.743694875245E+9	3.743694875245E+9	1.50027518E-6
263E+0	3.743694875749E+9	3.743694875749E+9	-604.838419E-9
264E+0	3.743694876252E+9	3.743694876252E+9	1.92114999E-6
265E+0	3.743694876756E+9	3.743694876756E+9	-604.838419E-9
266E+0	3.743694877259E+9	3.743694877259E+9	1.50027518E-6
267E+0	3.743694877763E+9	3.743694877763E+9	2.76339256E-6
268E+0	3.743694878267E+9	3.743694878267E+9	1.92114999E-6
269E+0	3.74369487877E+9	3.743694878771E+9	1.07915389E-6
270E+0	3.743694879275E+9	3.743694879275E+9	1.07915389E-6
271E+0	3.743694879778E+9	3.743694879778E+9	-1.0259597E-6
272E+0	3.74369488028E+9	3.74369488028E+9	-183.717205E-9
273E+0	3.743694880785E+9	3.743694880785E+9	1.92114999E-6
274E+0	3.743694881287E+9	3.743694881287E+9	3.18426737E-6
275E+0	3.743694881791E+9	3.743694881791E+9	1.50027518E-6
276E+0	3.743694882294E+9	3.743694882294E+9	2.34227127E-6
277E+0	3.743694882798E+9	3.743694882798E+9	658.278964E-9
278E+0	3.743694883302E+9	3.743694883302E+9	-1.44683463E-6
279E+0	3.743694883806E+9	3.743694883806E+9	3.18426737E-6
280E+0	3.743694884309E+9	3.743694884309E+9	1.07915389E-6
281E+0	3.743694884813E+9	3.743694884813E+9	237.157735E-9
282E+0	3.743694885317E+9	3.743694885317E+9	2.34227127E-6
283E+0	3.74369488582E+9	3.74369488582E+9	1.50027518E-6
284E+0	3.743694886324E+9	3.743694886324E+9	1.50027518E-6
285E+0	3.743694886827E+9	3.743694886827E+9	1.07915389E-6
286E+0	3.74369488733E+9	3.74369488733E+9	237.157735E-9
287E+0	3.743694887835E+9	3.743694887835E+9	1.50027518E-6
288E+0	3.743694888338E+9	3.743694888338E+9	1.92114999E-6
289E+0	3.743694888842E+9	3.743694888842E+9	-3.1310733E-6
290E+0	3.743694889346E+9	3.743694889346E+9	-183.717205E-9
291E+0	3.743694889849E+9	3.743694889849E+9	1.50015194E-6
292E+0	3.743694890352E+9	3.743694890352E+9	2.34227127E-6
293E+0	3.743694890856E+9	3.743694890856E+9	658.155841E-9
294E+0	3.74369489136E+9	3.74369489136E+9	658.155841E-9
295E+0	3.743694891863E+9	3.743694891863E+9	658.155841E-9
296E+0	3.743694892366E+9	3.743694892366E+9	-183.840342E-9
297E+0	3.743694892869E+9	3.743694892869E+9	2.13183375E-6
298E+0	3.743694893371E+9	3.743694893371E+9	-815.399062E-9
299E+0	3.743694893876E+9	3.743694893876E+9	447.71835E-9
300E+0	3.743694894379E+9	3.743694894379E+9	1.28971453E-6
301E+0	3.743694894882E+9	3.743694894882E+9	2.76326932E-6
302E+0	3.743694895387E+9	3.743694895387E+9	1.28971453E-6
303E+0	3.743694895891E+9	3.743694895891E+9	237.280872E-9
304E+0	3.743694896395E+9	3.743694896395E+9	2.76326932E-6
305E+0	3.7436948969E+9	3.7436948969E+9	447.71835E-9
306E+0	3.743694897405E+9	3.743694897405E+9	1.07915389E-6
307E+0	3.743694897908E+9	3.743694897908E+9	1.7108357E-6
308E+0	3.743694898412E+9	3.743694898412E+9	1.92127322E-6
309E+0	3.743694898917E+9	3.743694898917E+9	1.92127322E-6
310E+0	3.74369489942E+9	3.74369489942E+9	868.716427E-9
311E+0	3.743694899924E+9	3.743694899924E+9	1.07915389E-6
312E+0	3.743694900429E+9	3.743694900429E+9	1.07927701E-6
313E+0	3.743694900932E+9	3.743694900932E+9	1.50027518E-6
314E+0	3.743694901436E+9	3.743694901436E+9	-183.840342E-9
315E+0	3.74369490194E+9	3.74369490194E+9	1.07915389E-6
316E+0	3.743694902443E+9	3.743694902443E+9	2.34227127E-6
317E+0	3.743694902946E+9	3.743694902946E+9	658.155841E-9
318E+0	3.74369490345E+9	3.74369490345E+9	1.92127322E-6
319E+0	3.743694903955E+9	3.743694903955E+9	237.157735E-9
320E+0	3.743694904459E+9	3.743694904459E+9	2.76326932E-6
321E+0	3.743694904961E+9	3.743694904961E+9	1.50015194E-6
322E+0	3.743694905465E+9	3.743694905465E+9	2.13183375E-6
323E+0	3.74369490597E+9	3.74369490597E+9	1.92127322E-6
324E+0	3.743694906475E+9	3.743694906475E+9	1.50027518E-6
325E+0	3.743694906978E+9	3.743694906978E+9	237.157735E-9
326E+0	3.743694907482E+9	3.743694907483E+9	1.50027518E-6
327E+0	3.743694907986E+9	3.743694907986E+9	-815.275882E-9
328E+0	3.74369490849E+9	3.74369490849E+9	868.716427E-9
329E+0	3.743694908993E+9	3.743694908993E+9	447.71835E-9
330E+0	3.743694909496E+9	3.743694909496E+9	2.55270879E-6
331E+0	3.74369491E+9	3.74369491E+9	2.13183375E-6
332E+0	3.743694910502E+9	3.743694910502E+9	1.71071258E-6
333E+0	3.743694911007E+9	3.743694911007E+9	1.07927701E-6
334E+0	3.74369491151E+9	3.74369491151E+9	447.595227E-9
335E+0	3.743694912014E+9	3.743694912014E+9	1.92127322E-6
336E+0	3.743694912517E+9	3.743694912517E+9	-1.44695775E-6
337E+0	3.743694913021E+9	3.743694913021E+9	1.50027518E-6
338E+0	3.743694913525E+9	3.743694913525E+9	1.07927701E-6
339E+0	3.743694914028E+9	3.743694914028E+9	26.7202651E-9
340E+0	3.743694914532E+9	3.743694914532E+9	2.55270879E-6
341E+0	3.743694915037E+9	3.743694915037E+9	658.278964E-9
342E+0	3.743694915541E+9	3.743694915541E+9	1.50027518E-6
343E+0	3.743694916043E+9	3.743694916044E+9	237.280872E-9
344E+0	3.743694916548E+9	3.743694916548E+9	26.7202651E-9
345E+0	3.743694917052E+9	3.743694917052E+9	1.71071258E-6
346E+0	3.743694917555E+9	3.743694917555E+9	26.5971298E-9
347E+0	3.743694918058E+9	3.743694918058E+9	26.5971298E-9
348E+0	3.743694918561E+9	3.743694918561E+9	2.13171074E-6
349E+0	3.743694919065E+9	3.743694919065E+9	447.71835E-9
350E+0	3.743694919568E+9	3.743694919568E+9	1.28971453E-6
351E+0	3.743694920072E+9	3.743694920072E+9	2.13171074E-6
352E+0	3.743694920576E+9	3.743694920576E+9	26.7202651E-9
353E+0	3.74369492108E+9	3.74369492108E+9	868.716427E-9
354E+0	3.743694921583E+9	3.743694921583E+9	1.28971453E-6
355E+0	3.743694922086E+9	3.743694922086E+9	658.278964E-9
356E+0	3.743694922589E+9	3.743694922589E+9	1.92114999E-6
357E+0	3.743694923092E+9	3.743694923092E+9	1.92127322E-6
358E+0	3.743694923594E+9	3.743694923594E+9	-1.02583647E-6
359E+0	3.743694924098E+9	3.743694924098E+9	1.28971453E-6
360E+0	3.7436949246E+9	3.7436949246E+9	2.76326932E-6
361E+0	3.743694925104E+9	3.743694925104E+9	1.28971453E-6
362E+0	3.743694925607E+9	3.743694925607E+9	237.280872E-9
363E+0	3.74369492611E+9	3.74369492611E+9	1.92127322E-6
364E+0	3.743694926612E+9	3.743694926612E+9	658.278964E-9
365E+0	3.743694927116E+9	3.743694927116E+9	26.7202651E-9
366E+0	3.743694927618E+9	3.743694927618E+9	237.157735E-9
367E+0	3.743694928121E+9	3.743694928121E+9	1.07915389E-6
368E+0	3.743694928625E+9	3.743694928625E+9	-183.840342E-9
369E+0	3.743694929128E+9	3.743694929128E+9	1.07927701E-6
370E+0	3.743694929632E+9	3.743694929632E+9	1.50027518E-6
371E+0	3.743694930135E+9	3.743694930135E+9	-183.840342E-9
372E+0	3.743694930638E+9	3.743694930638E+9	237.280872E-9
373E+0	3.74369493114E+9	3.74369493114E+9	1.07915389E-6
374E+0	3.743694931645E+9	3.743694931645E+9	-1.23627399E-6
375E+0	3.743694932148E+9	3.743694932148E+9	1.50027518E-6
376E+0	3.743694932652E+9	3.743694932652E+9	-394.277833E-9
377E+0	3.743694933155E+9	3.743694933155E+9	237.280872E-9
378E+0	3.743694933659E+9	3.743694933659E+9	658.155841E-9
379E+0	3.743694934164E+9	3.743694934164E+9	447.71835E-9
380E+0	3.743694934669E+9	3.743694934669E+9	1.50015194E-6
381E+0	3.743694935172E+9	3.743694935172E+9	1.50027518E-6
382E+0	3.743694935677E+9	3.743694935677E+9	2.13171074E-6
383E+0	3.743694936181E+9	3.743694936181E+9	1.50015194E-6
384E+0	3.743694936684E+9	3.743694936684E+9	-815.399062E-9
385E+0	3.743694937186E+9	3.743694937186E+9	237.157735E-9
386E+0	3.743694937691E+9	3.743694937691E+9	658.278964E-9
