#2022-08-18
#15:10:53
#Balayage par: iq-qfl
#Description Keyword: 
#ScanTask Size: 1001
##Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: Tools@Tools.lvclass; Function:AbsTime (ms); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#
#Tools.Indice de points(Points)	Tools.Time(s)                 	Tools.Temps Abs(ms)           
116E+0	3.74369465346E+9	3.74369465346E+9
117E+0	3.74369465346E+9	3.74369465346E+9
118E+0	3.74369465346E+9	3.74369465346E+9
119E+0	3.74369465346E+9	3.74369465346E+9
120E+0	3.74369465346E+9	3.74369465346E+9
121E+0	3.74369465346E+9	3.74369465346E+9
122E+0	3.74369465346E+9	3.74369465346E+9
123E+0	3.74369465346E+9	3.74369465346E+9
124E+0	3.74369465346E+9	3.74369465346E+9
125E+0	3.743694653461E+9	3.743694653461E+9
126E+0	3.743694653461E+9	3.743694653461E+9
127E+0	3.743694653461E+9	3.743694653461E+9
128E+0	3.743694653461E+9	3.743694653461E+9
129E+0	3.743694653461E+9	3.743694653461E+9
130E+0	3.743694653461E+9	3.743694653461E+9
131E+0	3.743694653461E+9	3.743694653461E+9
132E+0	3.743694653461E+9	3.743694653461E+9
133E+0	3.743694653461E+9	3.743694653461E+9
134E+0	3.743694653461E+9	3.743694653461E+9
135E+0	3.743694653461E+9	3.743694653461E+9
136E+0	3.743694653462E+9	3.743694653462E+9
137E+0	3.743694653462E+9	3.743694653462E+9
138E+0	3.743694653462E+9	3.743694653462E+9
139E+0	3.743694653462E+9	3.743694653462E+9
140E+0	3.743694653462E+9	3.743694653462E+9
141E+0	3.743694653462E+9	3.743694653462E+9
142E+0	3.743694653462E+9	3.743694653462E+9
143E+0	3.743694653462E+9	3.743694653462E+9
144E+0	3.743694653462E+9	3.743694653462E+9
145E+0	3.743694653462E+9	3.743694653462E+9
146E+0	3.743694653462E+9	3.743694653462E+9
147E+0	3.743694653462E+9	3.743694653462E+9
148E+0	3.743694653462E+9	3.743694653462E+9
149E+0	3.743694653462E+9	3.743694653462E+9
150E+0	3.743694653462E+9	3.743694653462E+9
151E+0	3.743694653462E+9	3.743694653462E+9
152E+0	3.743694653462E+9	3.743694653462E+9
153E+0	3.743694653462E+9	3.743694653462E+9
154E+0	3.743694653462E+9	3.743694653462E+9
155E+0	3.743694653462E+9	3.743694653462E+9
156E+0	3.743694653462E+9	3.743694653462E+9
157E+0	3.743694653463E+9	3.743694653463E+9
158E+0	3.743694653463E+9	3.743694653463E+9
159E+0	3.743694653463E+9	3.743694653463E+9
160E+0	3.743694653463E+9	3.743694653463E+9
161E+0	3.743694653463E+9	3.743694653463E+9
162E+0	3.743694653463E+9	3.743694653463E+9
163E+0	3.743694653463E+9	3.743694653463E+9
164E+0	3.743694653463E+9	3.743694653463E+9
165E+0	3.743694653463E+9	3.743694653463E+9
166E+0	3.743694653463E+9	3.743694653463E+9
167E+0	3.743694653463E+9	3.743694653463E+9
168E+0	3.743694653463E+9	3.743694653463E+9
169E+0	3.743694653463E+9	3.743694653463E+9
170E+0	3.743694653463E+9	3.743694653463E+9
171E+0	3.743694653463E+9	3.743694653463E+9
172E+0	3.743694653463E+9	3.743694653463E+9
173E+0	3.743694653463E+9	3.743694653463E+9
174E+0	3.743694653463E+9	3.743694653463E+9
175E+0	3.743694653463E+9	3.743694653463E+9
176E+0	3.743694653463E+9	3.743694653463E+9
177E+0	3.743694653463E+9	3.743694653463E+9
178E+0	3.743694653463E+9	3.743694653464E+9
179E+0	3.743694653464E+9	3.743694653464E+9
180E+0	3.743694653464E+9	3.743694653464E+9
181E+0	3.743694653464E+9	3.743694653464E+9
182E+0	3.743694653464E+9	3.743694653464E+9
183E+0	3.743694653464E+9	3.743694653464E+9
184E+0	3.743694653464E+9	3.743694653464E+9
185E+0	3.743694653464E+9	3.743694653464E+9
186E+0	3.743694653464E+9	3.743694653464E+9
187E+0	3.743694653464E+9	3.743694653464E+9
188E+0	3.743694653464E+9	3.743694653464E+9
189E+0	3.743694653464E+9	3.743694653464E+9
190E+0	3.743694653464E+9	3.743694653464E+9
191E+0	3.743694653464E+9	3.743694653464E+9
192E+0	3.743694653464E+9	3.743694653464E+9
193E+0	3.743694653464E+9	3.743694653464E+9
194E+0	3.743694653464E+9	3.743694653464E+9
195E+0	3.743694653464E+9	3.743694653464E+9
196E+0	3.743694653464E+9	3.743694653464E+9
197E+0	3.743694653465E+9	3.743694653465E+9
198E+0	3.743694653465E+9	3.743694653465E+9
199E+0	3.743694653465E+9	3.743694653465E+9
200E+0	3.743694653465E+9	3.743694653465E+9
201E+0	3.743694653465E+9	3.743694653465E+9
202E+0	3.743694653465E+9	3.743694653465E+9
203E+0	3.743694653465E+9	3.743694653465E+9
204E+0	3.743694653465E+9	3.743694653465E+9
205E+0	3.743694653465E+9	3.743694653465E+9
206E+0	3.743694653465E+9	3.743694653465E+9
207E+0	3.743694653465E+9	3.743694653465E+9
208E+0	3.743694653465E+9	3.743694653465E+9
209E+0	3.743694653465E+9	3.743694653465E+9
210E+0	3.743694653465E+9	3.743694653465E+9
211E+0	3.743694653465E+9	3.743694653465E+9
212E+0	3.743694653465E+9	3.743694653465E+9
213E+0	3.743694653465E+9	3.743694653465E+9
214E+0	3.743694653465E+9	3.743694653465E+9
215E+0	3.743694653465E+9	3.743694653465E+9
216E+0	3.743694653465E+9	3.743694653465E+9
217E+0	3.743694653465E+9	3.743694653465E+9
218E+0	3.743694653465E+9	3.743694653465E+9
219E+0	3.743694653465E+9	3.743694653465E+9
220E+0	3.743694653465E+9	3.743694653465E+9
221E+0	3.743694653465E+9	3.743694653465E+9
222E+0	3.743694653465E+9	3.743694653465E+9
223E+0	3.743694653465E+9	3.743694653465E+9
224E+0	3.743694653465E+9	3.743694653465E+9
225E+0	3.743694653465E+9	3.743694653465E+9
226E+0	3.743694653465E+9	3.743694653465E+9
227E+0	3.743694653465E+9	3.743694653465E+9
228E+0	3.743694653465E+9	3.743694653465E+9
229E+0	3.743694653465E+9	3.743694653465E+9
230E+0	3.743694653465E+9	3.743694653465E+9
231E+0	3.743694653465E+9	3.743694653465E+9
232E+0	3.743694653465E+9	3.743694653465E+9
233E+0	3.743694653465E+9	3.743694653465E+9
234E+0	3.743694653465E+9	3.743694653465E+9
235E+0	3.743694653465E+9	3.743694653465E+9
236E+0	3.743694653465E+9	3.743694653465E+9
237E+0	3.743694653465E+9	3.743694653465E+9
238E+0	3.743694653465E+9	3.743694653465E+9
239E+0	3.743694653465E+9	3.743694653465E+9
240E+0	3.743694653465E+9	3.743694653465E+9
241E+0	3.743694653466E+9	3.743694653466E+9
242E+0	3.743694653466E+9	3.743694653466E+9
243E+0	3.743694653466E+9	3.743694653466E+9
244E+0	3.743694653466E+9	3.743694653466E+9
245E+0	3.743694653466E+9	3.743694653466E+9
246E+0	3.743694653466E+9	3.743694653466E+9
247E+0	3.743694653466E+9	3.743694653466E+9
248E+0	3.743694653466E+9	3.743694653466E+9
249E+0	3.743694653466E+9	3.743694653466E+9
250E+0	3.743694653466E+9	3.743694653466E+9
251E+0	3.743694653466E+9	3.743694653466E+9
252E+0	3.743694653466E+9	3.743694653466E+9
253E+0	3.743694653466E+9	3.743694653466E+9
254E+0	3.743694653466E+9	3.743694653466E+9
255E+0	3.743694653466E+9	3.743694653466E+9
256E+0	3.743694653466E+9	3.743694653466E+9
257E+0	3.743694653466E+9	3.743694653466E+9
258E+0	3.743694653466E+9	3.743694653466E+9
259E+0	3.743694653466E+9	3.743694653466E+9
260E+0	3.743694653466E+9	3.743694653466E+9
261E+0	3.743694653466E+9	3.743694653466E+9
262E+0	3.743694653467E+9	3.743694653467E+9
263E+0	3.743694653467E+9	3.743694653467E+9
264E+0	3.743694653467E+9	3.743694653467E+9
265E+0	3.743694653467E+9	3.743694653467E+9
266E+0	3.743694653467E+9	3.743694653467E+9
267E+0	3.743694653467E+9	3.743694653467E+9
268E+0	3.743694653467E+9	3.743694653467E+9
269E+0	3.743694653467E+9	3.743694653467E+9
270E+0	3.743694653467E+9	3.743694653467E+9
271E+0	3.743694653467E+9	3.743694653467E+9
272E+0	3.743694653467E+9	3.743694653467E+9
273E+0	3.743694653467E+9	3.743694653467E+9
274E+0	3.743694653467E+9	3.743694653467E+9
275E+0	3.743694653467E+9	3.743694653467E+9
276E+0	3.743694653467E+9	3.743694653467E+9
277E+0	3.743694653467E+9	3.743694653467E+9
278E+0	3.743694653467E+9	3.743694653467E+9
279E+0	3.743694653467E+9	3.743694653467E+9
280E+0	3.743694653467E+9	3.743694653467E+9
281E+0	3.743694653467E+9	3.743694653467E+9
282E+0	3.743694653468E+9	3.743694653468E+9
283E+0	3.743694653468E+9	3.743694653468E+9
284E+0	3.743694653468E+9	3.743694653468E+9
285E+0	3.743694653468E+9	3.743694653468E+9
286E+0	3.743694653468E+9	3.743694653468E+9
287E+0	3.743694653468E+9	3.743694653468E+9
288E+0	3.743694653468E+9	3.743694653468E+9
289E+0	3.743694653468E+9	3.743694653468E+9
290E+0	3.743694653468E+9	3.743694653468E+9
291E+0	3.743694653468E+9	3.743694653468E+9
292E+0	3.743694653468E+9	3.743694653468E+9
293E+0	3.743694653468E+9	3.743694653468E+9
294E+0	3.743694653468E+9	3.743694653468E+9
295E+0	3.743694653468E+9	3.743694653468E+9
296E+0	3.743694653468E+9	3.743694653468E+9
297E+0	3.743694653468E+9	3.743694653468E+9
298E+0	3.743694653468E+9	3.743694653468E+9
299E+0	3.743694653468E+9	3.743694653468E+9
300E+0	3.743694653468E+9	3.743694653468E+9
301E+0	3.743694653468E+9	3.743694653468E+9
302E+0	3.743694653468E+9	3.743694653468E+9
303E+0	3.743694653468E+9	3.743694653468E+9
304E+0	3.743694653469E+9	3.743694653469E+9
305E+0	3.743694653469E+9	3.743694653469E+9
306E+0	3.743694653469E+9	3.743694653469E+9
307E+0	3.743694653469E+9	3.743694653469E+9
308E+0	3.743694653469E+9	3.743694653469E+9
309E+0	3.743694653469E+9	3.743694653469E+9
310E+0	3.743694653469E+9	3.743694653469E+9
311E+0	3.743694653469E+9	3.743694653469E+9
312E+0	3.743694653469E+9	3.743694653469E+9
313E+0	3.743694653469E+9	3.743694653469E+9
314E+0	3.743694653469E+9	3.743694653469E+9
315E+0	3.743694653469E+9	3.743694653469E+9
316E+0	3.743694653469E+9	3.743694653469E+9
317E+0	3.743694653469E+9	3.743694653469E+9
318E+0	3.743694653469E+9	3.743694653469E+9
319E+0	3.743694653469E+9	3.743694653469E+9
320E+0	3.743694653469E+9	3.743694653469E+9
321E+0	3.743694653469E+9	3.743694653469E+9
322E+0	3.743694653469E+9	3.743694653469E+9
323E+0	3.743694653469E+9	3.743694653469E+9
324E+0	3.743694653469E+9	3.743694653469E+9
325E+0	3.743694653469E+9	3.743694653469E+9
326E+0	3.743694653469E+9	3.743694653469E+9
327E+0	3.74369465347E+9	3.74369465347E+9
328E+0	3.74369465347E+9	3.74369465347E+9
329E+0	3.74369465347E+9	3.74369465347E+9
330E+0	3.74369465347E+9	3.74369465347E+9
331E+0	3.74369465347E+9	3.74369465347E+9
332E+0	3.74369465347E+9	3.74369465347E+9
333E+0	3.74369465347E+9	3.74369465347E+9
334E+0	3.74369465347E+9	3.74369465347E+9
335E+0	3.74369465347E+9	3.74369465347E+9
336E+0	3.74369465347E+9	3.74369465347E+9
337E+0	3.74369465347E+9	3.74369465347E+9
338E+0	3.74369465347E+9	3.74369465347E+9
339E+0	3.74369465347E+9	3.74369465347E+9
340E+0	3.74369465347E+9	3.74369465347E+9
341E+0	3.74369465347E+9	3.74369465347E+9
342E+0	3.74369465347E+9	3.74369465347E+9
343E+0	3.74369465347E+9	3.74369465347E+9
344E+0	3.74369465347E+9	3.74369465347E+9
345E+0	3.74369465347E+9	3.74369465347E+9
346E+0	3.74369465347E+9	3.74369465347E+9
347E+0	3.74369465347E+9	3.74369465347E+9
348E+0	3.74369465347E+9	3.74369465347E+9
349E+0	3.743694653471E+9	3.743694653471E+9
350E+0	3.743694653471E+9	3.743694653471E+9
351E+0	3.743694653471E+9	3.743694653471E+9
352E+0	3.743694653471E+9	3.743694653471E+9
353E+0	3.743694653471E+9	3.743694653471E+9
354E+0	3.743694653471E+9	3.743694653471E+9
355E+0	3.743694653471E+9	3.743694653471E+9
356E+0	3.743694653471E+9	3.743694653471E+9
357E+0	3.743694653471E+9	3.743694653471E+9
358E+0	3.743694653471E+9	3.743694653471E+9
359E+0	3.743694653471E+9	3.743694653471E+9
360E+0	3.743694653471E+9	3.743694653471E+9
361E+0	3.743694653471E+9	3.743694653471E+9
362E+0	3.743694653471E+9	3.743694653471E+9
363E+0	3.743694653471E+9	3.743694653471E+9
364E+0	3.743694653471E+9	3.743694653471E+9
365E+0	3.743694653471E+9	3.743694653471E+9
366E+0	3.743694653471E+9	3.743694653471E+9
367E+0	3.743694653471E+9	3.743694653471E+9
368E+0	3.743694653471E+9	3.743694653471E+9
369E+0	3.743694653471E+9	3.743694653471E+9
370E+0	3.743694653472E+9	3.743694653472E+9
371E+0	3.743694653472E+9	3.743694653472E+9
372E+0	3.743694653472E+9	3.743694653472E+9
373E+0	3.743694653472E+9	3.743694653472E+9
374E+0	3.743694653472E+9	3.743694653472E+9
375E+0	3.743694653472E+9	3.743694653472E+9
376E+0	3.743694653472E+9	3.743694653472E+9
377E+0	3.743694653472E+9	3.743694653472E+9
378E+0	3.743694653472E+9	3.743694653472E+9
379E+0	3.743694653472E+9	3.743694653472E+9
380E+0	3.743694653472E+9	3.743694653472E+9
381E+0	3.743694653472E+9	3.743694653472E+9
382E+0	3.743694653472E+9	3.743694653472E+9
383E+0	3.743694653472E+9	3.743694653472E+9
384E+0	3.743694653472E+9	3.743694653472E+9
385E+0	3.743694653472E+9	3.743694653472E+9
386E+0	3.743694653472E+9	3.743694653472E+9
387E+0	3.743694653472E+9	3.743694653472E+9
388E+0	3.743694653472E+9	3.743694653472E+9
389E+0	3.743694653473E+9	3.743694653473E+9
390E+0	3.743694653473E+9	3.743694653473E+9
391E+0	3.743694653473E+9	3.743694653473E+9
392E+0	3.743694653473E+9	3.743694653473E+9
393E+0	3.743694653473E+9	3.743694653473E+9
394E+0	3.743694653473E+9	3.743694653473E+9
395E+0	3.743694653473E+9	3.743694653473E+9
396E+0	3.743694653473E+9	3.743694653473E+9
397E+0	3.743694653473E+9	3.743694653473E+9
398E+0	3.743694653473E+9	3.743694653473E+9
399E+0	3.743694653473E+9	3.743694653473E+9
400E+0	3.743694653473E+9	3.743694653473E+9
401E+0	3.743694653473E+9	3.743694653473E+9
402E+0	3.743694653473E+9	3.743694653473E+9
403E+0	3.743694653473E+9	3.743694653473E+9
404E+0	3.743694653473E+9	3.743694653473E+9
405E+0	3.743694653473E+9	3.743694653473E+9
406E+0	3.743694653473E+9	3.743694653473E+9
407E+0	3.743694653473E+9	3.743694653473E+9
408E+0	3.743694653473E+9	3.743694653473E+9
409E+0	3.743694653473E+9	3.743694653473E+9
410E+0	3.743694653473E+9	3.743694653473E+9
411E+0	3.743694653474E+9	3.743694653474E+9
412E+0	3.743694653474E+9	3.743694653474E+9
413E+0	3.743694653474E+9	3.743694653474E+9
414E+0	3.743694653474E+9	3.743694653474E+9
415E+0	3.743694653474E+9	3.743694653474E+9
416E+0	3.743694653474E+9	3.743694653474E+9
417E+0	3.743694653474E+9	3.743694653474E+9
418E+0	3.743694653474E+9	3.743694653474E+9
419E+0	3.743694653474E+9	3.743694653474E+9
420E+0	3.743694653474E+9	3.743694653474E+9
421E+0	3.743694653474E+9	3.743694653474E+9
422E+0	3.743694653474E+9	3.743694653474E+9
423E+0	3.743694653474E+9	3.743694653474E+9
424E+0	3.743694653474E+9	3.743694653474E+9
425E+0	3.743694653474E+9	3.743694653474E+9
426E+0	3.743694653474E+9	3.743694653474E+9
427E+0	3.743694653474E+9	3.743694653474E+9
428E+0	3.743694653474E+9	3.743694653474E+9
429E+0	3.743694653474E+9	3.743694653474E+9
430E+0	3.743694653474E+9	3.743694653474E+9
431E+0	3.743694653474E+9	3.743694653474E+9
432E+0	3.743694653474E+9	3.743694653474E+9
433E+0	3.743694653475E+9	3.743694653475E+9
434E+0	3.743694653475E+9	3.743694653475E+9
435E+0	3.743694653475E+9	3.743694653475E+9
436E+0	3.743694653475E+9	3.743694653475E+9
437E+0	3.743694653475E+9	3.743694653475E+9
438E+0	3.743694653475E+9	3.743694653475E+9
439E+0	3.743694653475E+9	3.743694653475E+9
440E+0	3.743694653475E+9	3.743694653475E+9
441E+0	3.743694653475E+9	3.743694653475E+9
442E+0	3.743694653475E+9	3.743694653475E+9
443E+0	3.743694653475E+9	3.743694653475E+9
444E+0	3.743694653475E+9	3.743694653475E+9
445E+0	3.743694653475E+9	3.743694653475E+9
446E+0	3.743694653475E+9	3.743694653475E+9
447E+0	3.743694653475E+9	3.743694653475E+9
448E+0	3.743694653475E+9	3.743694653475E+9
449E+0	3.743694653475E+9	3.743694653475E+9
450E+0	3.743694653475E+9	3.743694653475E+9
451E+0	3.743694653475E+9	3.743694653475E+9
452E+0	3.743694653475E+9	3.743694653475E+9
453E+0	3.743694653475E+9	3.743694653475E+9
454E+0	3.743694653475E+9	3.743694653475E+9
455E+0	3.743694653476E+9	3.743694653476E+9
456E+0	3.743694653476E+9	3.743694653476E+9
457E+0	3.743694653476E+9	3.743694653476E+9
458E+0	3.743694653476E+9	3.743694653476E+9
459E+0	3.743694653476E+9	3.743694653476E+9
460E+0	3.743694653476E+9	3.743694653476E+9
461E+0	3.743694653476E+9	3.743694653476E+9
462E+0	3.743694653476E+9	3.743694653476E+9
463E+0	3.743694653476E+9	3.743694653476E+9
464E+0	3.743694653476E+9	3.743694653476E+9
465E+0	3.743694653476E+9	3.743694653476E+9
466E+0	3.743694653476E+9	3.743694653476E+9
467E+0	3.743694653476E+9	3.743694653476E+9
468E+0	3.743694653476E+9	3.743694653476E+9
469E+0	3.743694653476E+9	3.743694653476E+9
470E+0	3.743694653477E+9	3.743694653477E+9
471E+0	3.743694653477E+9	3.743694653477E+9
472E+0	3.743694653477E+9	3.743694653477E+9
473E+0	3.743694653477E+9	3.743694653477E+9
474E+0	3.743694653477E+9	3.743694653477E+9
475E+0	3.743694653477E+9	3.743694653477E+9
476E+0	3.743694653477E+9	3.743694653477E+9
477E+0	3.743694653477E+9	3.743694653477E+9
478E+0	3.743694653477E+9	3.743694653477E+9
479E+0	3.743694653477E+9	3.743694653477E+9
480E+0	3.743694653477E+9	3.743694653477E+9
481E+0	3.743694653477E+9	3.743694653477E+9
482E+0	3.743694653477E+9	3.743694653477E+9
483E+0	3.743694653477E+9	3.743694653477E+9
484E+0	3.743694653477E+9	3.743694653477E+9
485E+0	3.743694653477E+9	3.743694653477E+9
486E+0	3.743694653477E+9	3.743694653477E+9
487E+0	3.743694653477E+9	3.743694653477E+9
488E+0	3.743694653477E+9	3.743694653477E+9
489E+0	3.743694653477E+9	3.743694653477E+9
490E+0	3.743694653477E+9	3.743694653477E+9
491E+0	3.743694653477E+9	3.743694653477E+9
492E+0	3.743694653478E+9	3.743694653478E+9
493E+0	3.743694653478E+9	3.743694653478E+9
494E+0	3.743694653478E+9	3.743694653478E+9
495E+0	3.743694653478E+9	3.743694653478E+9
496E+0	3.743694653478E+9	3.743694653478E+9
497E+0	3.743694653478E+9	3.743694653478E+9
498E+0	3.743694653478E+9	3.743694653478E+9
499E+0	3.743694653478E+9	3.743694653478E+9
500E+0	3.743694653478E+9	3.743694653478E+9
501E+0	3.743694653478E+9	3.743694653478E+9
502E+0	3.743694653478E+9	3.743694653478E+9
503E+0	3.743694653478E+9	3.743694653478E+9
504E+0	3.743694653478E+9	3.743694653478E+9
505E+0	3.743694653478E+9	3.743694653478E+9
506E+0	3.743694653478E+9	3.743694653478E+9
507E+0	3.743694653478E+9	3.743694653478E+9
508E+0	3.743694653478E+9	3.743694653478E+9
509E+0	3.743694653478E+9	3.743694653478E+9
510E+0	3.743694653478E+9	3.743694653478E+9
511E+0	3.743694653478E+9	3.743694653478E+9
512E+0	3.743694653479E+9	3.743694653479E+9
513E+0	3.743694653479E+9	3.743694653479E+9
514E+0	3.743694653479E+9	3.743694653479E+9
515E+0	3.743694653479E+9	3.743694653479E+9
516E+0	3.743694653479E+9	3.743694653479E+9
517E+0	3.743694653479E+9	3.743694653479E+9
518E+0	3.743694653479E+9	3.743694653479E+9
519E+0	3.743694653479E+9	3.743694653479E+9
520E+0	3.743694653479E+9	3.743694653479E+9
521E+0	3.743694653479E+9	3.743694653479E+9
522E+0	3.743694653479E+9	3.743694653479E+9
523E+0	3.743694653479E+9	3.743694653479E+9
524E+0	3.743694653479E+9	3.743694653479E+9
525E+0	3.743694653479E+9	3.743694653479E+9
526E+0	3.743694653479E+9	3.743694653479E+9
527E+0	3.743694653479E+9	3.743694653479E+9
528E+0	3.743694653479E+9	3.743694653479E+9
529E+0	3.74369465348E+9	3.74369465348E+9
530E+0	3.74369465348E+9	3.74369465348E+9
531E+0	3.74369465348E+9	3.74369465348E+9
532E+0	3.74369465348E+9	3.74369465348E+9
533E+0	3.74369465348E+9	3.74369465348E+9
534E+0	3.74369465348E+9	3.74369465348E+9
535E+0	3.74369465348E+9	3.74369465348E+9
536E+0	3.74369465348E+9	3.74369465348E+9
537E+0	3.74369465348E+9	3.74369465348E+9
538E+0	3.74369465348E+9	3.74369465348E+9
539E+0	3.74369465348E+9	3.74369465348E+9
540E+0	3.74369465348E+9	3.74369465348E+9
