#2022-09-01
#15:36:01
#Balayage par: iq-qfl
#Description Keyword: 
#
#Instrument: Triax320@Triax320.lvclass; Function:Position (nm); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; ; Grating#: 3; Line Density(Grv/mm): 600; Blaze: 500nm; Input Slit(mm): 0.400; Output Slit(mm): 0.000;
#Instrument: Tools@Tools.lvclass; Function:Indice de Point (Points); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; 
#Instrument: SympCCD@SymphonyCCD.lvclass; Function:AcqImage (Counts); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0;  Lambda Factor: 0.00000; Lambda Source: Lambda@Triax320; Lambda Offset: 0.00000;Multiplier Source: GrooveRatio@Triax320; Multiplier Value: 0.00000; Y Bins: 1; X Start: 1; X End: 1024; Y Start: 1; Y End: 256; Integration Time(ms): 15000; ADC1:  20 kHz Tab 1; ; Ccd Temp(degC): -120.456; Shutter Enable: True; Accumulation: 1; Noise Mode: Off; Noise Window Enabled: False; Window Width(ds): 1.000; Window Avg Samples: 1;
#Instrument: TaikoLaser@TaikoLaser.lvclass; Function:Power (mW); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; Output Freq(kHz): 60000.00; Output Power(%): 100.00; KeyLock: OFF; OnOffLock: OFF; Laser Mode: CW; CW Power (mW): 23.00; Temp (C): 25.00; SoftLock: OFF; Interlock: OFF; Pulse Shape: Narrow Pulses; Laser Head: LDH-IB-532-T-P; Date: 21-06-22; Class: 3B; Protection: No; Serial: 1043930; Laser Type: TA_SHG; Laser Version: 0.0; Min. Frequ. [Hz]: 1; Max. Frequ. [Hz]: 100000000; Max. CW Power [mW]: 23000.000; Max. Pulse Power [mW]: 5000.000; Wavelength [nm]: 530.8; Max. Case Temp. [°C]: 56.0; Max. Driver Voltage [mV]: 40950; Max. LH Voltage [mV]: 19000; Current Consumption [mA]: 500; Calib. Warranty [h]: 2000; 
#Instrument: ThorPM100A@ThorPM100A.lvclass; Function:Read Power (mW); Parameters: *BeforeWait(ms): 0;*AfterWait(ms): 0; Range: 1.860E-6 (W); Autorange: Off; Wavelenght 530.80 (nm); Act Power: 1.959E-9 (W); Attenuation 0.00 (dB); Average Cnt: 10;

#SympCCD.XPixels               	SympCCD.Wavelenght(nm)        	SympCCD.Y Pix Row 1(Cnt)      
114E+0	580.9033E+0	3.121E+3
115E+0	581.0257E+0	3.231E+3
116E+0	581.1482E+0	3.156E+3
117E+0	581.2707E+0	3.189E+3
118E+0	581.3931E+0	3.108E+3
119E+0	581.5156E+0	3.11E+3
120E+0	581.638E+0	3.107E+3
121E+0	581.7605E+0	3.067E+3
122E+0	581.8829E+0	3.028E+3
123E+0	582.0054E+0	3.065E+3
124E+0	582.1279E+0	3.15E+3
125E+0	582.2503E+0	3.113E+3
126E+0	582.3728E+0	3.109E+3
127E+0	582.4953E+0	3.098E+3
128E+0	582.6177E+0	3.145E+3
129E+0	582.7402E+0	2.995E+3
130E+0	582.8627E+0	3.097E+3
131E+0	582.9852E+0	3E+3
132E+0	583.1076E+0	3.049E+3
133E+0	583.2301E+0	3.021E+3
134E+0	583.3526E+0	3.025E+3
135E+0	583.4751E+0	3.108E+3
136E+0	583.5976E+0	3.035E+3
137E+0	583.72E+0	3.082E+3
138E+0	583.8425E+0	3.079E+3
139E+0	583.965E+0	3.084E+3
140E+0	584.0875E+0	3.025E+3
141E+0	584.21E+0	3.12E+3
142E+0	584.3325E+0	3.055E+3
143E+0	584.455E+0	3.037E+3
144E+0	584.5775E+0	3.029E+3
145E+0	584.6999E+0	3.084E+3
146E+0	584.8224E+0	3.024E+3
147E+0	584.9449E+0	3.04E+3
148E+0	585.0674E+0	3.075E+3
149E+0	585.1899E+0	3.057E+3
150E+0	585.3124E+0	3.019E+3
151E+0	585.4349E+0	3.031E+3
152E+0	585.5574E+0	3.092E+3
153E+0	585.6799E+0	3.066E+3
154E+0	585.8024E+0	3.084E+3
155E+0	585.925E+0	3.112E+3
156E+0	586.0475E+0	3.023E+3
157E+0	586.17E+0	3.066E+3
158E+0	586.2925E+0	2.98E+3
159E+0	586.415E+0	3.079E+3
160E+0	586.5375E+0	2.992E+3
161E+0	586.66E+0	3.006E+3
162E+0	586.7825E+0	3.061E+3
163E+0	586.905E+0	2.99E+3
164E+0	587.0276E+0	3.103E+3
165E+0	587.1501E+0	3.056E+3
166E+0	587.2726E+0	2.974E+3
167E+0	587.3951E+0	2.998E+3
168E+0	587.5177E+0	3.01E+3
169E+0	587.6402E+0	3.156E+3
170E+0	587.7627E+0	3.023E+3
171E+0	587.8852E+0	2.917E+3
172E+0	588.0078E+0	2.99E+3
173E+0	588.1303E+0	3E+3
174E+0	588.2528E+0	3.011E+3
175E+0	588.3754E+0	2.954E+3
176E+0	588.4979E+0	3.071E+3
177E+0	588.6204E+0	2.956E+3
178E+0	588.743E+0	2.956E+3
179E+0	588.8655E+0	2.97E+3
180E+0	588.988E+0	3.008E+3
181E+0	589.1106E+0	2.913E+3
182E+0	589.2331E+0	2.976E+3
183E+0	589.3557E+0	2.968E+3
184E+0	589.4782E+0	2.963E+3
185E+0	589.6007E+0	2.959E+3
186E+0	589.7233E+0	3.04E+3
187E+0	589.8458E+0	2.952E+3
188E+0	589.9684E+0	2.974E+3
189E+0	590.0909E+0	2.902E+3
190E+0	590.2135E+0	2.992E+3
191E+0	590.336E+0	2.967E+3
192E+0	590.4586E+0	2.981E+3
193E+0	590.5811E+0	2.984E+3
194E+0	590.7037E+0	3.006E+3
195E+0	590.8263E+0	3.019E+3
196E+0	590.9488E+0	2.92E+3
197E+0	591.0714E+0	2.949E+3
198E+0	591.1939E+0	2.984E+3
199E+0	591.3165E+0	3.046E+3
200E+0	591.4391E+0	2.898E+3
201E+0	591.5616E+0	3.117E+3
202E+0	591.6842E+0	3.006E+3
203E+0	591.8068E+0	2.999E+3
204E+0	591.9293E+0	2.979E+3
205E+0	592.0519E+0	3E+3
206E+0	592.1745E+0	2.952E+3
207E+0	592.297E+0	2.962E+3
208E+0	592.4196E+0	3.068E+3
209E+0	592.5422E+0	2.973E+3
210E+0	592.6648E+0	2.975E+3
211E+0	592.7873E+0	2.852E+3
212E+0	592.9099E+0	2.939E+3
213E+0	593.0325E+0	2.931E+3
214E+0	593.1551E+0	2.875E+3
215E+0	593.2777E+0	2.927E+3
216E+0	593.4002E+0	2.986E+3
217E+0	593.5228E+0	2.949E+3
218E+0	593.6454E+0	2.99E+3
219E+0	593.768E+0	2.859E+3
220E+0	593.8906E+0	2.93E+3
221E+0	594.0132E+0	2.865E+3
222E+0	594.1358E+0	2.91E+3
223E+0	594.2583E+0	2.975E+3
224E+0	594.3809E+0	3.082E+3
225E+0	594.5035E+0	2.997E+3
226E+0	594.6261E+0	2.918E+3
227E+0	594.7487E+0	2.884E+3
228E+0	594.8713E+0	2.937E+3
229E+0	594.9939E+0	2.899E+3
230E+0	595.1165E+0	2.935E+3
231E+0	595.2391E+0	3.036E+3
232E+0	595.3617E+0	2.88E+3
233E+0	595.4843E+0	2.856E+3
234E+0	595.6069E+0	2.97E+3
235E+0	595.7295E+0	2.86E+3
236E+0	595.8521E+0	2.892E+3
237E+0	595.9747E+0	2.949E+3
238E+0	596.0973E+0	2.908E+3
239E+0	596.22E+0	2.885E+3
240E+0	596.3426E+0	2.855E+3
241E+0	596.4652E+0	2.954E+3
242E+0	596.5878E+0	2.995E+3
243E+0	596.7104E+0	2.841E+3
244E+0	596.833E+0	2.906E+3
245E+0	596.9556E+0	2.889E+3
246E+0	597.0782E+0	2.997E+3
247E+0	597.2009E+0	2.956E+3
248E+0	597.3235E+0	2.957E+3
249E+0	597.4461E+0	2.937E+3
250E+0	597.5687E+0	2.881E+3
251E+0	597.6913E+0	2.956E+3
252E+0	597.814E+0	2.961E+3
253E+0	597.9366E+0	2.864E+3
254E+0	598.0592E+0	2.881E+3
255E+0	598.1818E+0	2.894E+3
256E+0	598.3045E+0	2.81E+3
257E+0	598.4271E+0	2.907E+3
258E+0	598.5497E+0	2.888E+3
259E+0	598.6724E+0	2.948E+3
260E+0	598.795E+0	2.85E+3
261E+0	598.9176E+0	2.934E+3
262E+0	599.0403E+0	2.924E+3
263E+0	599.1629E+0	2.933E+3
264E+0	599.2855E+0	2.877E+3
265E+0	599.4082E+0	2.954E+3
266E+0	599.5308E+0	2.927E+3
267E+0	599.6534E+0	3.029E+3
268E+0	599.7761E+0	2.854E+3
269E+0	599.8987E+0	2.911E+3
270E+0	600.0214E+0	2.977E+3
271E+0	600.144E+0	2.915E+3
272E+0	600.2666E+0	2.989E+3
273E+0	600.3893E+0	2.967E+3
274E+0	600.5119E+0	2.855E+3
275E+0	600.6346E+0	2.883E+3
276E+0	600.7572E+0	2.936E+3
277E+0	600.8799E+0	2.831E+3
278E+0	601.0025E+0	2.908E+3
279E+0	601.1252E+0	2.973E+3
280E+0	601.2478E+0	2.958E+3
281E+0	601.3705E+0	2.985E+3
282E+0	601.4931E+0	2.849E+3
283E+0	601.6158E+0	3.019E+3
284E+0	601.7385E+0	2.89E+3
285E+0	601.8611E+0	2.982E+3
286E+0	601.9838E+0	2.842E+3
287E+0	602.1064E+0	2.911E+3
288E+0	602.2291E+0	2.972E+3
289E+0	602.3518E+0	2.93E+3
290E+0	602.4744E+0	2.868E+3
291E+0	602.5971E+0	2.949E+3
292E+0	602.7197E+0	2.97E+3
293E+0	602.8424E+0	2.874E+3
294E+0	602.9651E+0	2.905E+3
295E+0	603.0877E+0	2.909E+3
296E+0	603.2104E+0	2.974E+3
297E+0	603.3331E+0	2.877E+3
298E+0	603.4557E+0	2.834E+3
299E+0	603.5784E+0	2.928E+3
300E+0	603.7011E+0	2.925E+3
301E+0	603.8238E+0	2.937E+3
302E+0	603.9464E+0	2.868E+3
303E+0	604.0691E+0	2.89E+3
304E+0	604.1918E+0	2.861E+3
305E+0	604.3145E+0	2.938E+3
306E+0	604.4371E+0	2.897E+3
307E+0	604.5598E+0	2.878E+3
308E+0	604.6825E+0	2.881E+3
309E+0	604.8052E+0	2.842E+3
310E+0	604.9279E+0	2.932E+3
311E+0	605.0506E+0	2.994E+3
312E+0	605.1732E+0	2.946E+3
313E+0	605.2959E+0	2.992E+3
314E+0	605.4186E+0	2.939E+3
315E+0	605.5413E+0	2.993E+3
316E+0	605.664E+0	2.945E+3
317E+0	605.7867E+0	2.855E+3
318E+0	605.9094E+0	2.914E+3
319E+0	606.032E+0	2.893E+3
320E+0	606.1547E+0	2.886E+3
321E+0	606.2774E+0	2.92E+3
322E+0	606.4001E+0	2.906E+3
323E+0	606.5228E+0	2.967E+3
324E+0	606.6455E+0	2.912E+3
325E+0	606.7682E+0	2.74E+3
326E+0	606.8909E+0	2.87E+3
327E+0	607.0136E+0	2.956E+3
328E+0	607.1363E+0	2.836E+3
329E+0	607.259E+0	2.916E+3
330E+0	607.3817E+0	2.863E+3
331E+0	607.5044E+0	2.939E+3
332E+0	607.6271E+0	2.919E+3
333E+0	607.7498E+0	2.837E+3
334E+0	607.8725E+0	2.988E+3
335E+0	607.9952E+0	2.907E+3
336E+0	608.1179E+0	2.861E+3
337E+0	608.2406E+0	2.912E+3
338E+0	608.3633E+0	2.874E+3
339E+0	608.486E+0	2.837E+3
340E+0	608.6087E+0	2.883E+3
341E+0	608.7315E+0	2.865E+3
342E+0	608.8542E+0	2.977E+3
343E+0	608.9769E+0	2.923E+3
344E+0	609.0996E+0	2.835E+3
345E+0	609.2223E+0	2.847E+3
346E+0	609.345E+0	2.978E+3
347E+0	609.4677E+0	2.876E+3
348E+0	609.5905E+0	2.969E+3
349E+0	609.7132E+0	2.86E+3
350E+0	609.8359E+0	2.823E+3
351E+0	609.9586E+0	2.925E+3
352E+0	610.0813E+0	2.913E+3
353E+0	610.204E+0	2.939E+3
354E+0	610.3268E+0	2.876E+3
355E+0	610.4495E+0	2.877E+3
356E+0	610.5722E+0	2.933E+3
357E+0	610.6949E+0	3.023E+3
358E+0	610.8177E+0	2.894E+3
359E+0	610.9404E+0	2.897E+3
360E+0	611.0631E+0	2.908E+3
361E+0	611.1858E+0	2.923E+3
362E+0	611.3086E+0	2.904E+3
363E+0	611.4313E+0	3.002E+3
364E+0	611.554E+0	2.881E+3
365E+0	611.6768E+0	2.886E+3
366E+0	611.7995E+0	2.804E+3
367E+0	611.9222E+0	3.002E+3
368E+0	612.0449E+0	2.833E+3
369E+0	612.1677E+0	2.88E+3
370E+0	612.2904E+0	2.891E+3
371E+0	612.4131E+0	2.909E+3
372E+0	612.5359E+0	2.959E+3
373E+0	612.6586E+0	2.993E+3
374E+0	612.7814E+0	2.989E+3
375E+0	612.9041E+0	2.951E+3
376E+0	613.0268E+0	2.859E+3
377E+0	613.1496E+0	2.845E+3
378E+0	613.2723E+0	2.981E+3
379E+0	613.3951E+0	3.008E+3
380E+0	613.5178E+0	2.898E+3
381E+0	613.6405E+0	2.949E+3
382E+0	613.7633E+0	2.919E+3
383E+0	613.886E+0	2.865E+3
384E+0	614.0088E+0	2.94E+3
385E+0	614.1315E+0	2.902E+3
386E+0	614.2543E+0	2.879E+3
387E+0	614.377E+0	2.953E+3
388E+0	614.4998E+0	2.981E+3
389E+0	614.6225E+0	3.013E+3
390E+0	614.7453E+0	2.939E+3
391E+0	614.868E+0	2.959E+3
392E+0	614.9908E+0	2.896E+3
393E+0	615.1135E+0	2.923E+3
394E+0	615.2363E+0	2.882E+3
395E+0	615.359E+0	2.946E+3
396E+0	615.4818E+0	2.947E+3
397E+0	615.6045E+0	2.935E+3
398E+0	615.7273E+0	2.916E+3
399E+0	615.85E+0	2.951E+3
400E+0	615.9728E+0	2.906E+3
401E+0	616.0956E+0	3.007E+3
402E+0	616.2183E+0	2.891E+3
403E+0	616.3411E+0	2.931E+3
404E+0	616.4638E+0	2.868E+3
405E+0	616.5866E+0	2.961E+3
406E+0	616.7093E+0	2.931E+3
407E+0	616.8321E+0	2.925E+3
408E+0	616.9549E+0	2.96E+3
409E+0	617.0776E+0	3.011E+3
410E+0	617.2004E+0	2.926E+3
411E+0	617.3232E+0	2.879E+3
412E+0	617.4459E+0	3.008E+3
413E+0	617.5687E+0	2.947E+3
414E+0	617.6915E+0	2.975E+3
415E+0	617.8142E+0	2.899E+3
416E+0	617.937E+0	2.998E+3
417E+0	618.0598E+0	2.853E+3
418E+0	618.1825E+0	2.974E+3
419E+0	618.3053E+0	2.994E+3
420E+0	618.4281E+0	2.985E+3
421E+0	618.5509E+0	3.065E+3
422E+0	618.6736E+0	3.012E+3
423E+0	618.7964E+0	3.025E+3
424E+0	618.9192E+0	2.933E+3
425E+0	619.0419E+0	2.892E+3
426E+0	619.1647E+0	2.912E+3
427E+0	619.2875E+0	3.026E+3
428E+0	619.4103E+0	2.972E+3
429E+0	619.533E+0	2.988E+3
430E+0	619.6558E+0	2.936E+3
431E+0	619.7786E+0	3.027E+3
432E+0	619.9014E+0	3.005E+3
433E+0	620.0242E+0	3.027E+3
434E+0	620.1469E+0	3.046E+3
435E+0	620.2697E+0	3.015E+3
436E+0	620.3925E+0	2.911E+3
437E+0	620.5153E+0	2.935E+3
438E+0	620.6381E+0	3.001E+3
439E+0	620.7608E+0	3.082E+3
440E+0	620.8836E+0	2.989E+3
441E+0	621.0064E+0	3.033E+3
442E+0	621.1292E+0	3.06E+3
443E+0	621.252E+0	2.921E+3
444E+0	621.3748E+0	2.986E+3
445E+0	621.4976E+0	2.878E+3
446E+0	621.6203E+0	2.973E+3
447E+0	621.7431E+0	2.973E+3
448E+0	621.8659E+0	2.984E+3
449E+0	621.9887E+0	2.989E+3
450E+0	622.1115E+0	2.904E+3
451E+0	622.2343E+0	2.926E+3
452E+0	622.3571E+0	2.985E+3
453E+0	622.4799E+0	3.032E+3
454E+0	622.6027E+0	3.009E+3
455E+0	622.7255E+0	2.977E+3
456E+0	622.8483E+0	2.912E+3
457E+0	622.9711E+0	2.922E+3
458E+0	623.0938E+0	2.991E+3
459E+0	623.2166E+0	2.987E+3
460E+0	623.3394E+0	2.946E+3
461E+0	623.4622E+0	2.96E+3
462E+0	623.585E+0	3.031E+3
463E+0	623.7078E+0	2.933E+3
464E+0	623.8306E+0	2.929E+3
465E+0	623.9534E+0	3.044E+3
466E+0	624.0762E+0	2.938E+3
467E+0	624.199E+0	2.927E+3
468E+0	624.3218E+0	2.987E+3
469E+0	624.4446E+0	2.972E+3
470E+0	624.5674E+0	2.997E+3
471E+0	624.6902E+0	3.04E+3
472E+0	624.813E+0	2.923E+3
473E+0	624.9358E+0	2.841E+3
474E+0	625.0586E+0	2.938E+3
475E+0	625.1814E+0	3.049E+3
476E+0	625.3042E+0	3.045E+3
477E+0	625.4271E+0	2.965E+3
478E+0	625.5499E+0	3.05E+3
479E+0	625.6727E+0	2.953E+3
480E+0	625.7955E+0	2.888E+3
481E+0	625.9183E+0	2.998E+3
482E+0	626.0411E+0	2.982E+3
483E+0	626.1639E+0	2.942E+3
484E+0	626.2867E+0	2.983E+3
485E+0	626.4095E+0	2.999E+3
486E+0	626.5323E+0	2.993E+3
487E+0	626.6551E+0	2.955E+3
488E+0	626.7779E+0	2.975E+3
489E+0	626.9008E+0	3.085E+3
490E+0	627.0236E+0	3.07E+3
491E+0	627.1464E+0	2.941E+3
492E+0	627.2692E+0	3.021E+3
493E+0	627.392E+0	3.109E+3
494E+0	627.5148E+0	2.994E+3
495E+0	627.6376E+0	3.069E+3
496E+0	627.7605E+0	2.853E+3
497E+0	627.8833E+0	2.96E+3
498E+0	628.0061E+0	3.06E+3
499E+0	628.1289E+0	2.994E+3
500E+0	628.2517E+0	3.046E+3
501E+0	628.3745E+0	2.998E+3
502E+0	628.4974E+0	3.012E+3
503E+0	628.6202E+0	2.982E+3
504E+0	628.743E+0	2.972E+3
505E+0	628.8658E+0	2.971E+3
506E+0	628.9886E+0	3.023E+3
507E+0	629.1114E+0	3.019E+3
508E+0	629.2343E+0	2.901E+3
509E+0	629.3571E+0	2.89E+3
510E+0	629.4799E+0	3.066E+3
511E+0	629.6027E+0	3.067E+3
512E+0	629.7256E+0	3.013E+3
513E+0	629.8484E+0	2.946E+3
514E+0	629.9712E+0	3.023E+3
515E+0	630.094E+0	3.024E+3
516E+0	630.2168E+0	3.002E+3
517E+0	630.3397E+0	3.021E+3
518E+0	630.4625E+0	3.006E+3
519E+0	630.5853E+0	3.059E+3
520E+0	630.7081E+0	2.907E+3
521E+0	630.831E+0	2.937E+3
522E+0	630.9538E+0	3.182E+3
523E+0	631.0766E+0	3.024E+3
524E+0	631.1995E+0	2.882E+3
525E+0	631.3223E+0	2.986E+3
526E+0	631.4451E+0	3.01E+3
527E+0	631.5679E+0	2.986E+3
528E+0	631.6908E+0	3.024E+3
529E+0	631.8136E+0	3.089E+3
530E+0	631.9364E+0	3.107E+3
531E+0	632.0593E+0	2.963E+3
532E+0	632.1821E+0	3.011E+3
533E+0	632.3049E+0	2.976E+3
534E+0	632.4278E+0	3.123E+3
535E+0	632.5506E+0	3.042E+3
536E+0	632.6734E+0	2.955E+3
537E+0	632.7963E+0	2.983E+3
538E+0	632.9191E+0	3.001E+3
539E+0	633.0419E+0	2.998E+3
540E+0	633.1648E+0	3.037E+3
541E+0	633.2876E+0	3.092E+3
542E+0	633.4104E+0	3.117E+3
543E+0	633.5333E+0	3.121E+3
544E+0	633.6561E+0	3.036E+3
545E+0	633.7789E+0	3.046E+3
546E+0	633.9018E+0	3.081E+3
547E+0	634.0246E+0	3.007E+3
548E+0	634.1474E+0	3.011E+3
549E+0	634.2703E+0	2.973E+3
550E+0	634.3931E+0	3.081E+3
551E+0	634.5159E+0	3.113E+3
552E+0	634.6388E+0	2.985E+3
553E+0	634.7616E+0	3.08E+3
554E+0	634.8845E+0	3.048E+3
555E+0	635.0073E+0	3.013E+3
556E+0	635.1301E+0	3.055E+3
557E+0	635.253E+0	3.066E+3
558E+0	635.3758E+0	3.028E+3
559E+0	635.4987E+0	2.882E+3
560E+0	635.6215E+0	3.113E+3
561E+0	635.7443E+0	3.046E+3
562E+0	635.8672E+0	3.073E+3
563E+0	635.99E+0	3.097E+3
564E+0	636.1129E+0	2.989E+3
565E+0	636.2357E+0	3.092E+3
566E+0	636.3586E+0	3.08E+3
567E+0	636.4814E+0	3.131E+3
568E+0	636.6042E+0	3.197E+3
569E+0	636.7271E+0	3.124E+3
570E+0	636.8499E+0	3.148E+3
571E+0	636.9728E+0	3.075E+3
572E+0	637.0956E+0	3.135E+3
573E+0	637.2185E+0	3.051E+3
574E+0	637.3413E+0	2.979E+3
575E+0	637.4642E+0	3.106E+3
576E+0	637.587E+0	3.098E+3
577E+0	637.7098E+0	3.086E+3
578E+0	637.8327E+0	3.124E+3
579E+0	637.9555E+0	3.108E+3
580E+0	638.0784E+0	3.186E+3
581E+0	638.2012E+0	3.204E+3
582E+0	638.3241E+0	3.132E+3
583E+0	638.4469E+0	3.069E+3
584E+0	638.5698E+0	3.258E+3
585E+0	638.6926E+0	3.063E+3
