#2020-12-10
#13:42
#Balayage par: lalg1702
#ScanTask Size: 10000

#Instrument: DMM34410A@Agilent34410A.lvclass Function:Read Function (Arb); Parameters:*BeforeWait(ms):0*AfterWait(ms):0 DMM_Func: Voltage; DMM_Range: 10 V; Trig Source: Immediate; NPLC: 1.000000

#Tools.Time(s)                 	DMM34410A.AgilentDMM(Arb)     
3.690470627339E+9	-42.0821753E-6
3.690470627479E+9	-69.0499178E-6
3.690470627618E+9	-41.8009565E-6
3.690470627759E+9	-45.6210065E-6
3.6904706279E+9	-62.6111406E-6
3.690470628041E+9	-36.5455601E-6
3.690470628179E+9	-73.4031521E-6
3.690470628319E+9	-44.6716496E-6
3.690470628458E+9	-38.3970791E-6
3.690470628599E+9	-68.2647677E-6
3.690470628739E+9	-37.3599633E-6
3.690470628879E+9	-82.0444841E-6
3.69047062902E+9	-23.2990281E-6
3.690470629159E+9	-51.9540829E-6
3.690470629299E+9	-62.0194502E-6
3.690470629439E+9	-25.209053E-6
3.690470629578E+9	-59.2072632E-6
3.690470629719E+9	-35.6141451E-6
3.690470629859E+9	-64.7438783E-6
3.690470629999E+9	-80.8318504E-6
3.690470630139E+9	-15.5126633E-6
3.690470630279E+9	-67.7023303E-6
3.69047063043E+9	-55.2409483E-6
3.690470630569E+9	-50.2960236E-6
3.690470630709E+9	-33.8975799E-6
3.690470630849E+9	-63.6482565E-6
3.690470630989E+9	-26.2754219E-6
3.690470631129E+9	-51.6143582E-6
3.69047063127E+9	-28.4959185E-6
3.690470631409E+9	-38.1451134E-6
3.69047063155E+9	-59.4299759E-6
3.690470631694E+9	-38.3678261E-6
3.690470631839E+9	-25.6072837E-6
3.69047063198E+9	-56.1431104E-6
3.690470632119E+9	-26.5566406E-6
3.69047063226E+9	-53.1082107E-6
3.690470632398E+9	-54.2623385E-6
3.69047063257E+9	-34.711983E-6
3.69047063271E+9	-44.1092121E-6
3.69047063285E+9	-38.2328724E-6
3.690470632989E+9	-33.6748671E-6
3.690470633129E+9	-76.478616E-6
3.690470633269E+9	-47.8707561E-6
3.690470633409E+9	-37.0494916E-6
3.690470633549E+9	-77.4572259E-6
3.69047063369E+9	-48.2689867E-6
3.690470633829E+9	-82.2671969E-6
3.690470633969E+9	-42.1991872E-6
3.690470634108E+9	-61.4570128E-6
3.69047063425E+9	-57.2094793E-6
3.690470634389E+9	-37.3307103E-6
3.69047063453E+9	-72.7642669E-6
3.690470634669E+9	-47.987768E-6
3.690470634809E+9	-24.3361439E-6
3.690470634949E+9	-71.5223802E-6
3.690470635089E+9	-25.8592494E-6
3.69047063523E+9	-74.3930732E-6
3.690470635379E+9	-64.2691998E-6
3.69047063552E+9	-15.7646291E-6
3.69047063566E+9	-53.8933608E-6
3.690470635799E+9	-98.5193757E-6
3.69047063594E+9	-16.2393075E-6
3.690470636079E+9	-65.025097E-6
3.690470636219E+9	-60.6426097E-6
3.690470636359E+9	-21.1077844E-6
3.690470636499E+9	-90.2875855E-6
3.69047063664E+9	-18.1785855E-6
3.69047063678E+9	-75.8869256E-6
3.690470636919E+9	-45.7087654E-6
3.690470637059E+9	-54.2330855E-6
3.690470637199E+9	-81.7632654E-6
3.690470637339E+9	-28.6129305E-6
3.690470637479E+9	-49.9855519E-6
3.69047063762E+9	-26.5273876E-6
3.690470637769E+9	-45.8257774E-6
3.690470637909E+9	-23.4339819E-6
3.690470638049E+9	-71.2996674E-6
3.690470638199E+9	-86.4562244E-6
3.690470638341E+9	8.73065112E-6
3.690470638479E+9	-79.1152852E-6
3.690470638622E+9	-13.0581428E-6
3.690470638769E+9	-35.1102136E-6
3.690470638913E+9	-66.8879271E-6
3.690470639059E+9	-24.1719372E-6
3.690470639199E+9	-74.7035449E-6
3.69047063934E+9	-9.49005863E-6
3.690470639481E+9	-87.0771678E-6
3.690470639619E+9	-53.9226138E-6
3.69047063976E+9	-35.1866614E-6
3.690470639901E+9	-76.0218794E-6
3.690470640041E+9	1.53597677E-6
3.69047064019E+9	-29.7085523E-6
3.69047064033E+9	-71.2704144E-6
3.69047064047E+9	-72.4830482E-6
3.69047064061E+9	-18.5183101E-6
3.690470640749E+9	-81.1130691E-6
3.6904706409E+9	-57.6954689E-6
3.690470641039E+9	-21.0492785E-6
3.690470641179E+9	-56.9867665E-6
3.690470641319E+9	-61.6504726E-6
3.69047064146E+9	-34.770489E-6
3.690470641599E+9	-78.359388E-6
3.690470641741E+9	-19.613932E-6
3.690470641891E+9	-4.70934067E-6
3.690470642032E+9	-72.0083698E-6
3.690470642179E+9	-64.5211656E-6
3.690470642319E+9	-41.2385191E-6
3.69047064246E+9	-38.7075508E-6
3.690470642599E+9	-78.330135E-6
3.69047064274E+9	-23.6387528E-6
3.690470642881E+9	-61.9901972E-6
3.690470643019E+9	-55.2702013E-6
3.690470643159E+9	-23.2697751E-6
3.6904706433E+9	-85.2435907E-6
3.690470643439E+9	-21.9806935E-6
3.69047064358E+9	-64.3569588E-6
3.69047064372E+9	-45.175581E-6
3.690470643859E+9	-32.0460609E-6
3.690470644E+9	-84.6047054E-6
3.690470644139E+9	-24.1719372E-6
3.690470644279E+9	-59.4884819E-6
3.690470644419E+9	-49.3061026E-6
3.690470644559E+9	-33.1124297E-6
3.6904706447E+9	-65.2006149E-6
3.690470644841E+9	-21.2134852E-6
3.690470644979E+9	-38.4263321E-6
3.69047064512E+9	-50.4894834E-6
3.69047064526E+9	-37.582676E-6
3.690470645399E+9	-48.1519748E-6
3.690470645541E+9	-25.296812E-6
3.69047064568E+9	-60.9530814E-6
3.69047064582E+9	-53.0789577E-6
3.690470645959E+9	-32.3272796E-6
3.690470646099E+9	-61.1172881E-6
3.69047064624E+9	-30.3002427E-6
3.69047064638E+9	-51.3331395E-6
3.690470646519E+9	-47.0856059E-6
3.690470646661E+9	-46.9506522E-6
3.6904706468E+9	-69.5831022E-6
3.690470646939E+9	-27.8277803E-6
3.69047064708E+9	-65.1128559E-6
3.690470647219E+9	-50.829208E-6
3.69047064736E+9	-45.4567997E-6
3.690470647499E+9	-77.0589953E-6
3.69047064764E+9	-33.0067289E-6
3.690470647779E+9	-51.1104267E-6
3.690470647919E+9	-46.9506522E-6
3.69047064806E+9	-52.1475426E-6
3.690470648199E+9	-52.4872673E-6
3.690470648341E+9	-50.6064953E-6
3.690470648489E+9	-35.8661108E-6
3.690470648629E+9	-40.7345877E-6
3.690470648768E+9	-51.2746335E-6
3.690470648909E+9	-37.3599633E-6
3.690470649051E+9	-59.3242751E-6
3.690470649189E+9	-37.2722043E-6
3.690470649329E+9	-42.9258314E-6
3.690470649469E+9	-48.9663779E-6
3.690470649609E+9	-37.8053887E-6
3.69047064976E+9	-59.7697006E-6
3.6904706499E+9	-70.1162866E-6
3.690470650039E+9	-40.3363571E-6
3.690470650178E+9	-51.8663239E-6
3.69047065032E+9	-56.8112486E-6
3.690470650459E+9	-30.4644495E-6
3.690470650599E+9	-56.7055478E-6
3.690470650739E+9	-44.0507062E-6
3.690470650879E+9	-69.2726305E-6
3.690470651018E+9	-55.697685E-6
3.690470651159E+9	-38.3970791E-6
3.690470651299E+9	-46.3004558E-6
3.69047065144E+9	-65.1713619E-6
3.690470651579E+9	-44.6716496E-6
3.690470651719E+9	-47.7650553E-6
3.690470651859E+9	-45.9899841E-6
3.690470651999E+9	-47.3375717E-6
3.69047065214E+9	-61.1172881E-6
3.69047065228E+9	-41.2092662E-6
3.690470652419E+9	-38.7368038E-6
3.69047065256E+9	-46.0484901E-6
3.690470652699E+9	-45.204834E-6
3.69047065284E+9	-47.1441119E-6
3.690470652989E+9	-50.5187364E-6
3.69047065313E+9	-54.7662699E-6
3.69047065327E+9	-51.5558522E-6
3.690470653409E+9	-52.3702553E-6
3.690470653551E+9	-38.4263321E-6
3.69047065369E+9	-61.4862658E-6
3.690470653829E+9	-38.1158604E-6
3.690470653969E+9	-48.3274927E-6
3.690470654109E+9	-53.2724174E-6
3.690470654249E+9	-45.7087654E-6
3.690470654389E+9	-59.0138034E-6
3.690470654529E+9	-40.9573004E-6
3.69047065467E+9	-47.3960776E-6
3.690470654811E+9	-36.9617326E-6
3.690470654949E+9	-44.1092121E-6
3.69047065509E+9	-49.1418958E-6
3.69047065523E+9	-34.4307643E-6
3.69047065537E+9	-47.2318709E-6
3.690470655509E+9	-56.3950761E-6
3.690470655649E+9	-50.4894834E-6
3.690470655789E+9	-50.4602304E-6
3.690470655929E+9	-33.6163612E-6
3.690470656069E+9	-60.1094253E-6
3.690470656212E+9	-27.5173086E-6
3.69047065636E+9	-34.2373045E-6
3.6904706565E+9	-53.8933608E-6
3.69047065664E+9	-40.9280475E-6
3.690470656779E+9	-30.07753E-6
3.690470656919E+9	-50.0440579E-6
3.69047065706E+9	-34.5477762E-6
3.690470657199E+9	-50.1497587E-6
3.690470657339E+9	-39.1822293E-6
3.690470657479E+9	-22.6488317E-6
3.690470657621E+9	-59.5177349E-6
3.690470657761E+9	-45.6795124E-6
3.690470657899E+9	-56.7640538E-6
