#2019-06-04
#16:13
#Balayage par: lalg1702
#ScanTask Size: 6,3,4

#Sweep Count: 3

#Tools.Indice de points(Points)	Tools.Time(ms)                	Tools.SweepNumber(Sweep)      	Tools.ScanPar(Arb)            	Tools.Random Number(Arb)      	Tools.Temps Abs(ms)           	Tools.Crb 1 Dat(Arb)          	Calc.Avg(Tools.Crb 1 Dat(Arb))
3E+0	3.642524015244E+9	2E+0	0E+0	298.8638209911E-3	3.642524015329E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524015332E+9	2E+0	0E+0	198.3174631431E-3	3.642524015338E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524015341E+9	2E+0	0E+0	909.1444242034E-3	3.642524015416E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642524015419E+9	3E+0	1E+0	646.0962210772E-3	3.642524015425E+9	0E+0	0E+0
1E+0	3.642524015428E+9	3E+0	1E+0	728.5955914894E-3	3.642524015507E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524015511E+9	3E+0	1E+0	403.6269550927E-3	3.642524015588E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524015591E+9	3E+0	1E+0	147.3863281394E-3	3.642524015596E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524015599E+9	3E+0	1E+0	746.7023665845E-3	3.642524015669E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524015672E+9	3E+0	1E+0	955.3785868438E-3	3.642524015679E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642524015682E+9	4E+0	1E+0	420.3635999875E-3	3.642524015808E+9	0E+0	0E+0
1E+0	3.642524015811E+9	4E+0	1E+0	627.1488797212E-3	3.642524015886E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524015889E+9	4E+0	1E+0	741.0195925937E-3	3.642524015894E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524015896E+9	4E+0	1E+0	203.5054579985E-3	3.642524015938E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524015941E+9	4E+0	1E+0	162.1594475932E-3	3.642524015945E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524015948E+9	4E+0	1E+0	885.7620218903E-3	3.642524016026E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.64252401603E+9	5E+0	1E+0	875.066429631E-3	3.642524016109E+9	0E+0	0E+0
1E+0	3.642524016112E+9	5E+0	1E+0	817.3378149291E-3	3.642524016121E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524016124E+9	5E+0	1E+0	256.8914376398E-3	3.642524016233E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524016236E+9	5E+0	1E+0	428.3183863524E-3	3.642524016242E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524016245E+9	5E+0	1E+0	464.7978133348E-3	3.642524016348E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524016351E+9	5E+0	1E+0	959.6471216656E-3	3.642524016358E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.64252401636E+9	0E+0	2E+0	369.6897249079E-3	3.642524016443E+9	0E+0	0E+0
1E+0	3.642524016447E+9	0E+0	2E+0	144.60846014E-3	3.642524016452E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524016455E+9	0E+0	2E+0	256.3047429221E-3	3.642524016524E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524016527E+9	0E+0	2E+0	553.1213979871E-3	3.642524016602E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524016606E+9	0E+0	2E+0	271.6568339726E-3	3.642524016611E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524016614E+9	0E+0	2E+0	411.4818638368E-3	3.642524016707E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642524016711E+9	1E+0	2E+0	924.1978145853E-3	3.642524016746E+9	0E+0	0E+0
1E+0	3.642524016748E+9	1E+0	2E+0	137.5559683706E-3	3.642524016756E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524016759E+9	1E+0	2E+0	863.9794105942E-3	3.64252401681E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524016814E+9	1E+0	2E+0	577.6191227769E-3	3.642524016891E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524016895E+9	1E+0	2E+0	660.8456738603E-3	3.642524016902E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524016905E+9	1E+0	2E+0	721.289995402E-3	3.642524016958E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642524016962E+9	2E+0	2E+0	36.21464315031E-3	3.64252401699E+9	0E+0	0E+0
1E+0	3.642524016993E+9	2E+0	2E+0	380.2639867149E-3	3.642524017028E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524017031E+9	2E+0	2E+0	83.10845798588E-3	3.642524017117E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.64252401712E+9	2E+0	2E+0	781.5336226786E-3	3.642524017126E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524017129E+9	2E+0	2E+0	630.7308102847E-3	3.642524017161E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524017165E+9	2E+0	2E+0	486.7247600447E-3	3.642524017213E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642524017215E+9	0E+0	3E+0	96.39990122792E-3	3.642524017245E+9	0E+0	0E+0
1E+0	3.642524017249E+9	0E+0	3E+0	264.404832975E-3	3.642524017317E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.64252401732E+9	0E+0	3E+0	516.7576701323E-3	3.642524017347E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.64252401735E+9	0E+0	3E+0	338.0621746965E-3	3.642524017358E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524017361E+9	0E+0	3E+0	150.624612969E-3	3.642524017407E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524017409E+9	0E+0	3E+0	801.3059432043E-3	3.642524017487E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.64252401749E+9	1E+0	3E+0	373.6196839209E-3	3.642524017496E+9	0E+0	0E+0
1E+0	3.642524017499E+9	1E+0	3E+0	596.7778001523E-3	3.642524017528E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524017531E+9	1E+0	3E+0	249.3579948183E-3	3.642524017537E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.64252401754E+9	1E+0	3E+0	742.8582457143E-3	3.642524017569E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524017572E+9	1E+0	3E+0	776.1323338428E-3	3.642524017579E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524017582E+9	1E+0	3E+0	93.26782958202E-3	3.642524017631E+9	450.2664240777E-3	450.2664240777E-3
0E+0	3.642524017634E+9	2E+0	3E+0	908.7085335674E-3	3.642524017707E+9	0E+0	0E+0
1E+0	3.642524017711E+9	2E+0	3E+0	241.4385371563E-3	3.642524017743E+9	93.76145385975E-3	93.76145385975E-3
2E+0	3.642524017746E+9	2E+0	3E+0	6.611224357273E-3	3.642524017754E+9	186.5860742659E-3	186.5860742659E-3
3E+0	3.642524017757E+9	2E+0	3E+0	936.3800409557E-3	3.642524017808E+9	277.5463882952E-3	277.5463882952E-3
4E+0	3.642524017812E+9	2E+0	3E+0	756.46117008E-3	3.642524017891E+9	365.7335505573E-3	365.7335505573E-3
5E+0	3.642524017894E+9	2E+0	3E+0	320.8628796274E-3	3.642524017924E+9	450.2664240777E-3	450.2664240777E-3
