#2018-10-15
#15:35
#Balayage par: glaliber
#ScanTask Size: 101,3


#Tools.Ind Point(Point)        	Tools.ScanPar(Arb)            	Tools.Temps Abs(ms)           	Tools.Random Number(Arb)      	Tools.Crb 1 Dat(Arb)          
45E+0	0E+0	3.6224769154580097E+9	736.58978529075347E-3	-484.89419868427469E-3
46E+0	0E+0	3.6224769154620099E+9	119.78291333465663E-3	-492.91064719061545E-3
47E+0	0E+0	3.6224769154680095E+9	745.30610968984856E-3	-496.00209544482482E-3
48E+0	0E+0	3.6224769154750099E+9	135.35590630181349E-3	-494.13765471784377E-3
49E+0	0E+0	3.6224769154810095E+9	53.015535938170322E-3	-487.33595388511403E-3
50E+0	0E+0	3.6224769154870095E+9	866.85095903108689E-3	-475.66495329301295E-3
51E+0	0E+0	3.6224769154910097E+9	11.443733555298596E-3	-459.24126572153701E-3
52E+0	0E+0	3.6224769154960098E+9	771.1194783785118E-3	-438.22899122795073E-3
53E+0	0E+0	3.6224769155020099E+9	186.29126579179434E-3	-412.83807751326002E-3
54E+0	0E+0	3.6224769155070095E+9	550.06286658955816E-3	-383.32222219418133E-3
55E+0	0E+0	3.6224769155130095E+9	576.50446615921647E-3	-349.97633794041894E-3
56E+0	0E+0	3.6224769155180097E+9	912.61777325544857E-3	-313.1336058047523E-3
57E+0	0E+0	3.6224769155240097E+9	383.59971577948093E-3	-273.16214618809248E-3
58E+0	0E+0	3.6224769155310097E+9	521.32340887090378E-3	-230.46134070212218E-3
59E+0	0E+0	3.6224769155380096E+9	675.62931638575663E-3	-185.45784168024665E-3
60E+0	0E+0	3.6224769155420098E+9	988.65236814168922E-3	-138.60130920851438E-3
61E+0	0E+0	3.6224769155490098E+9	521.06373917758009E-3	-90.359918270672149E-3
62E+0	0E+0	3.6224769155540099E+9	349.76151139700073E-3	-41.215680898486734E-3
63E+0	0E+0	3.6224769155610099E+9	61.130382895909774E-3	8.3403699331431828E-3
64E+0	0E+0	3.6224769155660095E+9	119.02112541148435E-3	57.813086545361325E-3
65E+0	0E+0	3.6224769155730095E+9	125.83439937168839E-3	106.7081539072834E-3
66E+0	0E+0	3.6224769155770097E+9	141.57839642033876E-3	154.53702866838995E-3
67E+0	0E+0	3.6224769155850096E+9	572.43811885140405E-3	200.82182052219233E-3
68E+0	0E+0	3.6224769155920095E+9	150.89860267545463E-3	245.10006712820462E-3
69E+0	0E+0	3.6224769155990095E+9	639.55884022117404E-3	286.92935488278271E-3
70E+0	0E+0	3.6224769156070099E+9	458.24291133386374E-3	325.89173936960625E-3
71E+0	0E+0	3.6224769156120095E+9	747.35301260313913E-3	361.59792132213536E-3
72E+0	0E+0	3.6224769156190095E+9	190.8869148372605E-3	393.69113637319508E-3
73E+0	0E+0	3.6224769156290097E+9	510.40151102581999E-3	421.8507197266011E-3
74E+0	0E+0	3.6224769156350098E+9	811.16800105783082E-3	445.79531013380741E-3
75E+0	0E+0	3.6224769156430097E+9	897.49723152915539E-3	465.28566116249409E-3
76E+0	0E+0	3.6224769156490097E+9	107.88052019224192E-3	480.12703166783605E-3
77E+0	0E+0	3.6224769156550097E+9	542.57185462249136E-3	490.17113158164893E-3
78E+0	0E+0	3.6224769156630096E+9	901.90415508820188E-3	495.3176035777318E-3
79E+0	0E+0	3.6224769156690097E+9	104.782383657263E-3	495.51502580909718E-3
80E+0	0E+0	3.6224769156770096E+9	893.05681023513816E-3	490.76142569806858E-3
81E+0	0E+0	3.6224769156820097E+9	269.4916809333423E-3	481.10429964562396E-3
82E+0	0E+0	3.6224769156870098E+9	629.30653349292531E-3	466.64013846305796E-3
83E+0	0E+0	3.6224769156950097E+9	258.46494750027027E-3	447.51346326769043E-3
84E+0	0E+0	3.6224769157000098E+9	749.12094942861662E-3	423.9153814756359E-3
85E+0	0E+0	3.6224769157070098E+9	76.648404169928686E-3	396.08167731967153E-3
86E+0	0E+0	3.6224769157120099E+9	8.8048135119414006E-3	364.29045597112436E-3
87E+0	0E+0	3.6224769157170095E+9	477.53979654642997E-3	328.8593648049285E-3
88E+0	0E+0	3.6224769157240095E+9	688.85054435631854E-3	290.14241957205422E-3
89E+0	0E+0	3.6224769157300096E+9	54.048856038444892E-3	248.52646719114924E-3
90E+0	0E+0	3.6224769157350097E+9	463.93513437631539E-3	204.42732050199805E-3
91E+0	0E+0	3.6224769157400098E+9	777.89711255515925E-6	158.28560360107877E-3
92E+0	0E+0	3.6224769157450099E+9	523.34992581869555E-3	110.56234927124164E-3
93E+0	0E+0	3.6224769157520099E+9	469.10838908989461E-3	61.734392494539055E-3
94E+0	0E+0	3.6224769157570095E+9	867.08959528241092E-3	12.289606074708914E-3
95E+0	0E+0	3.6224769157620096E+9	253.94514648360955E-3	-37.277974026616055E-3
96E+0	0E+0	3.6224769157670097E+9	150.16781881100627E-3	-86.473084933926997E-3
97E+0	0E+0	3.6224769157720098E+9	119.94708110946162E-3	-134.80418536077965E-3
98E+0	0E+0	3.6224769157790098E+9	401.67477648328975E-3	-181.78836692784747E-3
99E+0	0E+0	3.6224769157840099E+9	162.07903447038885E-3	-226.95617922381617E-3
100E+0	0E+0	3.6224769157890096E+9	635.23256869450462E-3	0E+0
0E+0	1E+0	3.6224769157940097E+9	926.65343640210152E-3	0E+0
1E+0	1E+0	3.6224769157980099E+9	157.33517749311932E-3	0E+0
2E+0	1E+0	3.6224769158040099E+9	72.973259379969679E-3	0E+0
3E+0	1E+0	3.6224769158080096E+9	926.98997350043211E-3	0E+0
4E+0	1E+0	3.6224769158130097E+9	366.46977232103173E-3	0E+0
5E+0	1E+0	3.6224769158180099E+9	800.36801951557668E-3	0E+0
6E+0	1E+0	3.6224769158240099E+9	74.527566248717259E-3	0E+0
7E+0	1E+0	3.6224769158300099E+9	869.62959155982222E-3	0E+0
8E+0	1E+0	3.6224769158350096E+9	525.11266345608631E-3	0E+0
9E+0	1E+0	3.6224769158400097E+9	548.11177795165555E-3	0E+0
10E+0	1E+0	3.6224769158450098E+9	991.2611675126709E-3	0E+0
11E+0	1E+0	3.6224769158510098E+9	377.38042853367837E-3	0E+0
12E+0	1E+0	3.6224769158560095E+9	998.2526863768536E-3	0E+0
13E+0	1E+0	3.6224769158610096E+9	25.686334790365084E-3	0E+0
14E+0	1E+0	3.6224769158660097E+9	692.82093041898651E-3	0E+0
15E+0	1E+0	3.6224769158710098E+9	522.46854781105834E-3	0E+0
16E+0	1E+0	3.6224769158770099E+9	90.112028861708771E-3	0E+0
17E+0	1E+0	3.6224769158820095E+9	606.45187390545363E-3	0E+0
18E+0	1E+0	3.6224769158870096E+9	940.21271073198087E-3	0E+0
19E+0	1E+0	3.6224769158920097E+9	906.62756920913456E-3	0E+0
20E+0	1E+0	3.6224769158980098E+9	388.13439754115642E-3	0E+0
21E+0	1E+0	3.6224769159030099E+9	91.488108487286279E-3	0E+0
22E+0	1E+0	3.6224769159090099E+9	118.92698992476602E-3	0E+0
23E+0	1E+0	3.6224769159150095E+9	2.7747929039969588E-3	0E+0
24E+0	1E+0	3.6224769159210095E+9	112.01935033479105E-3	0E+0
25E+0	1E+0	3.6224769159270096E+9	762.24702392076216E-3	0E+0
26E+0	1E+0	3.6224769159330096E+9	546.78490321881834E-3	0E+0
27E+0	1E+0	3.6224769159400096E+9	899.6709434980481E-3	0E+0
28E+0	1E+0	3.6224769159450097E+9	75.398620395663141E-3	0E+0
29E+0	1E+0	3.6224769159500098E+9	132.47694705283775E-3	0E+0
30E+0	1E+0	3.6224769159550099E+9	547.22347028482332E-3	0E+0
31E+0	1E+0	3.6224769159600096E+9	700.81401868182502E-3	0E+0
32E+0	1E+0	3.6224769159650097E+9	14.673328677462294E-3	0E+0
33E+0	1E+0	3.6224769159700098E+9	960.43373228578854E-3	0E+0
34E+0	1E+0	3.6224769159750099E+9	654.73629035472025E-3	0E+0
35E+0	1E+0	3.6224769159800096E+9	942.17383686281964E-3	0E+0
36E+0	1E+0	3.6224769159840097E+9	637.09404781167955E-3	0E+0
37E+0	1E+0	3.6224769159900098E+9	97.154462267971642E-3	0E+0
38E+0	1E+0	3.6224769159970098E+9	547.44457954506598E-3	0E+0
39E+0	1E+0	3.6224769160030098E+9	978.15054545101621E-3	0E+0
40E+0	1E+0	3.6224769160100098E+9	55.341312548942145E-3	0E+0
41E+0	1E+0	3.6224769160150099E+9	863.45379480814111E-3	0E+0
42E+0	1E+0	3.6224769160220098E+9	154.4542165823366E-3	0E+0
43E+0	1E+0	3.6224769160280099E+9	117.62215994626612E-3	0E+0
44E+0	1E+0	3.6224769160350099E+9	819.57351456394134E-3	0E+0
45E+0	1E+0	3.6224769160420098E+9	651.17851159414464E-3	0E+0
46E+0	1E+0	3.6224769160480099E+9	931.34959736742084E-3	0E+0
47E+0	1E+0	3.6224769160530095E+9	456.70967690624464E-3	0E+0
48E+0	1E+0	3.6224769160580096E+9	47.79517471048722E-3	0E+0
49E+0	1E+0	3.6224769160630097E+9	273.46805537773866E-3	0E+0
50E+0	1E+0	3.6224769160680099E+9	253.7147543356344E-3	0E+0
51E+0	1E+0	3.6224769160730095E+9	776.27455297372117E-3	0E+0
52E+0	1E+0	3.6224769160790095E+9	78.77675193379563E-3	0E+0
53E+0	1E+0	3.6224769160840096E+9	976.40612603586563E-3	0E+0
54E+0	1E+0	3.6224769160910096E+9	257.96024464460743E-3	0E+0
55E+0	1E+0	3.6224769160960097E+9	946.15643980665731E-3	0E+0
56E+0	1E+0	3.6224769161020098E+9	276.09727606499113E-3	0E+0
57E+0	1E+0	3.6224769161080098E+9	444.32272440039422E-3	0E+0
58E+0	1E+0	3.6224769161130099E+9	177.59752259512318E-3	0E+0
59E+0	1E+0	3.6224769161200099E+9	653.71523833418077E-3	0E+0
60E+0	1E+0	3.6224769161250095E+9	540.9511229212578E-3	0E+0
61E+0	1E+0	3.6224769161300096E+9	16.665426788222248E-3	0E+0
62E+0	1E+0	3.6224769161350098E+9	575.23948095336053E-3	0E+0
63E+0	1E+0	3.6224769161400099E+9	425.93621835368722E-3	0E+0
64E+0	1E+0	3.6224769161450095E+9	148.0900072554745E-3	0E+0
65E+0	1E+0	3.6224769161490097E+9	407.57334039101245E-3	0E+0
66E+0	1E+0	3.6224769161540098E+9	462.72432556401855E-3	0E+0
67E+0	1E+0	3.6224769161590099E+9	188.89089656485858E-3	0E+0
68E+0	1E+0	3.6224769161640096E+9	802.6314882379928E-3	0E+0
69E+0	1E+0	3.6224769161680098E+9	999.51811748752462E-3	0E+0
70E+0	1E+0	3.6224769161740098E+9	351.84321259918927E-3	0E+0
71E+0	1E+0	3.6224769161790099E+9	313.71531595569468E-3	0E+0
72E+0	1E+0	3.6224769161840095E+9	113.82378149831718E-3	0E+0
73E+0	1E+0	3.6224769161890097E+9	793.37809373139234E-3	0E+0
74E+0	1E+0	3.6224769161940098E+9	281.59260053211943E-3	0E+0
75E+0	1E+0	3.6224769161980095E+9	204.30861330589223E-3	0E+0
76E+0	1E+0	3.6224769162030096E+9	147.99545769685229E-3	0E+0
77E+0	1E+0	3.6224769162080097E+9	827.85799609920851E-3	0E+0
78E+0	1E+0	3.6224769162130098E+9	472.48590908744048E-3	0E+0
79E+0	1E+0	3.6224769162180095E+9	234.4401162095204E-3	0E+0
80E+0	1E+0	3.6224769162220097E+9	953.67853368572275E-3	0E+0
81E+0	1E+0	3.6224769162270098E+9	126.08721508079856E-3	0E+0
82E+0	1E+0	3.6224769162320099E+9	53.061607882946893E-3	0E+0
83E+0	1E+0	3.6224769162370095E+9	413.49348685793208E-3	0E+0
84E+0	1E+0	3.6224769162410097E+9	570.68464585910239E-3	0E+0
85E+0	1E+0	3.6224769162460098E+9	447.4482241193356E-3	0E+0
86E+0	1E+0	3.6224769162510095E+9	916.46405559683786E-3	0E+0
87E+0	1E+0	3.6224769162560096E+9	149.6256706657364E-3	0E+0
88E+0	1E+0	3.6224769162610097E+9	716.60962681167617E-3	0E+0
89E+0	1E+0	3.6224769162650099E+9	94.202827636239661E-3	0E+0
90E+0	1E+0	3.6224769162700095E+9	234.72291181112803E-3	0E+0
91E+0	1E+0	3.6224769162750096E+9	550.85130566894547E-3	0E+0
92E+0	1E+0	3.6224769162800097E+9	129.74421473177111E-3	0E+0
93E+0	1E+0	3.6224769162840099E+9	728.51837849540813E-3	0E+0
94E+0	1E+0	3.6224769162890096E+9	870.32042064251069E-3	0E+0
95E+0	1E+0	3.6224769162940097E+9	648.60486042323284E-3	0E+0
96E+0	1E+0	3.6224769162990098E+9	519.5659748375907E-3	0E+0
97E+0	1E+0	3.6224769163040099E+9	537.80842368113557E-3	0E+0
98E+0	1E+0	3.6224769163090095E+9	775.58722627608301E-3	0E+0
99E+0	1E+0	3.6224769163140097E+9	902.5318700333218E-3	0E+0
100E+0	1E+0	3.6224769163190098E+9	566.9285616699522E-3	0E+0
0E+0	2E+0	3.6224769163230095E+9	88.518539134439855E-3	0E+0
1E+0	2E+0	3.6224769163280096E+9	754.16517466415811E-3	0E+0
2E+0	2E+0	3.6224769163330097E+9	348.93687892532288E-3	0E+0
3E+0	2E+0	3.6224769163380098E+9	363.58076349806323E-3	0E+0
4E+0	2E+0	3.6224769163430095E+9	115.96636418320139E-3	0E+0
5E+0	2E+0	3.6224769163490095E+9	811.11101955357134E-3	0E+0
6E+0	2E+0	3.6224769163550096E+9	659.27500834499175E-3	0E+0
7E+0	2E+0	3.6224769163600097E+9	386.79257606083306E-3	0E+0
8E+0	2E+0	3.6224769163680096E+9	44.518118596806211E-3	0E+0
9E+0	2E+0	3.6224769163740096E+9	32.162924248361424E-3	0E+0
10E+0	2E+0	3.6224769163790097E+9	633.18779822386473E-3	0E+0
11E+0	2E+0	3.6224769163840098E+9	803.00834927735598E-3	0E+0
12E+0	2E+0	3.6224769163890095E+9	351.00616243364735E-3	0E+0
13E+0	2E+0	3.6224769163940096E+9	886.37727252736886E-3	0E+0
14E+0	2E+0	3.6224769163990097E+9	615.68055309962899E-3	0E+0
15E+0	2E+0	3.6224769164040098E+9	909.43782807252194E-3	0E+0
16E+0	2E+0	3.6224769164090099E+9	629.85454089330872E-3	0E+0
17E+0	2E+0	3.6224769164140096E+9	802.94556900192338E-3	0E+0
18E+0	2E+0	3.6224769164190097E+9	328.91638764554609E-3	0E+0
19E+0	2E+0	3.6224769164240098E+9	641.55105447880234E-3	0E+0
20E+0	2E+0	3.6224769164280095E+9	875.16628168181443E-3	0E+0
21E+0	2E+0	3.6224769164330096E+9	913.58474894643415E-3	0E+0
22E+0	2E+0	3.6224769164380097E+9	266.85070835753932E-3	0E+0
23E+0	2E+0	3.6224769164430099E+9	828.12664708695771E-3	0E+0
24E+0	2E+0	3.6224769164470096E+9	439.25354417857632E-3	0E+0
25E+0	2E+0	3.6224769164520097E+9	627.1484320238212E-3	0E+0
26E+0	2E+0	3.6224769164570098E+9	888.24386723578386E-3	0E+0
27E+0	2E+0	3.6224769164620099E+9	245.38454695803735E-3	0E+0
28E+0	2E+0	3.6224769164670095E+9	599.8073189024713E-3	0E+0
29E+0	2E+0	3.6224769164710097E+9	943.85995249914534E-3	0E+0
30E+0	2E+0	3.6224769164760098E+9	452.69893412302359E-3	0E+0
31E+0	2E+0	3.6224769164810095E+9	538.60518729641549E-3	0E+0
32E+0	2E+0	3.6224769164860096E+9	165.45576943869733E-3	0E+0
33E+0	2E+0	3.6224769164910097E+9	133.14218874249772E-3	0E+0
34E+0	2E+0	3.6224769164950099E+9	671.62569250495885E-3	0E+0
35E+0	2E+0	3.6224769165000095E+9	510.32364978979094E-3	0E+0
36E+0	2E+0	3.6224769165050096E+9	716.43446058830929E-3	0E+0
37E+0	2E+0	3.6224769165100098E+9	247.22391542704125E-3	0E+0
38E+0	2E+0	3.6224769165150099E+9	424.01183266825293E-3	0E+0
39E+0	2E+0	3.6224769165190096E+9	502.08103773192403E-3	0E+0
40E+0	2E+0	3.6224769165240097E+9	867.67885576962078E-3	0E+0
41E+0	2E+0	3.6224769165290098E+9	690.27566100506599E-3	0E+0
42E+0	2E+0	3.6224769165340099E+9	858.72940217657168E-3	0E+0
43E+0	2E+0	3.6224769165390096E+9	152.65096482220075E-3	0E+0
44E+0	2E+0	3.6224769165430098E+9	765.37899055028724E-3	0E+0
45E+0	2E+0	3.6224769165480099E+9	151.54496406408535E-3	0E+0
46E+0	2E+0	3.6224769165530095E+9	96.90710882216047E-3	0E+0
47E+0	2E+0	3.6224769165580096E+9	453.92025350026999E-3	0E+0
48E+0	2E+0	3.6224769165630097E+9	857.80893746546749E-3	0E+0
49E+0	2E+0	3.6224769165670099E+9	683.90252292112064E-3	0E+0
50E+0	2E+0	3.6224769165720096E+9	550.69340234153896E-3	0E+0
51E+0	2E+0	3.6224769165770097E+9	208.28455047823047E-3	0E+0
52E+0	2E+0	3.6224769165820098E+9	894.04071036714006E-3	0E+0
53E+0	2E+0	3.6224769165870099E+9	544.99115517583618E-3	0E+0
54E+0	2E+0	3.6224769165910096E+9	625.04094972881452E-3	0E+0
55E+0	2E+0	3.6224769165960097E+9	245.35699106414111E-3	0E+0
56E+0	2E+0	3.6224769166010098E+9	601.46969232822989E-3	0E+0
57E+0	2E+0	3.6224769166060095E+9	98.264096710868554E-3	0E+0
58E+0	2E+0	3.6224769166110096E+9	54.731544161432444E-3	0E+0
59E+0	2E+0	3.6224769166160097E+9	674.61932660571056E-3	0E+0
60E+0	2E+0	3.6224769166210098E+9	333.31583074276727E-3	0E+0
61E+0	2E+0	3.6224769166250095E+9	944.52159342744779E-3	0E+0
62E+0	2E+0	3.6224769166300096E+9	26.074627680222395E-3	0E+0
63E+0	2E+0	3.6224769166350098E+9	539.41242327044303E-3	0E+0
64E+0	2E+0	3.6224769166400099E+9	148.08474952012762E-3	0E+0
65E+0	2E+0	3.6224769166450095E+9	812.268593319877E-3	0E+0
66E+0	2E+0	3.6224769166500096E+9	96.240114263295595E-3	0E+0
67E+0	2E+0	3.6224769166550097E+9	216.62603007500381E-3	0E+0
68E+0	2E+0	3.6224769166600099E+9	211.19314072675177E-3	0E+0
69E+0	2E+0	3.6224769166640096E+9	894.39200195263702E-3	0E+0
70E+0	2E+0	3.6224769166690097E+9	353.8223908441831E-3	0E+0
71E+0	2E+0	3.6224769166740098E+9	807.05060102652593E-3	0E+0
72E+0	2E+0	3.6224769166790099E+9	794.63195611647108E-3	0E+0
73E+0	2E+0	3.6224769166840095E+9	660.48678764267099E-3	0E+0
74E+0	2E+0	3.6224769166880097E+9	412.42428172265799E-3	0E+0
75E+0	2E+0	3.6224769166930099E+9	917.53153334456516E-3	0E+0
76E+0	2E+0	3.6224769166980095E+9	368.52019088351096E-3	0E+0
77E+0	2E+0	3.6224769167030096E+9	255.2744299290659E-3	0E+0
78E+0	2E+0	3.6224769167080097E+9	995.58202965062148E-3	0E+0
79E+0	2E+0	3.6224769167130098E+9	245.26416233287662E-3	0E+0
80E+0	2E+0	3.6224769167180095E+9	734.33279189371925E-3	0E+0
81E+0	2E+0	3.6224769167230096E+9	621.40836961519774E-3	0E+0
82E+0	2E+0	3.6224769167280097E+9	263.5539879685509E-3	0E+0
83E+0	2E+0	3.6224769167330098E+9	350.97671481192716E-3	0E+0
84E+0	2E+0	3.6224769167380099E+9	272.53289375006595E-3	0E+0
85E+0	2E+0	3.6224769167430096E+9	912.00003490245951E-3	0E+0
86E+0	2E+0	3.6224769167480097E+9	338.64058898046112E-3	0E+0
87E+0	2E+0	3.6224769167530098E+9	625.62651160440108E-3	0E+0
88E+0	2E+0	3.6224769167580099E+9	371.16760230645474E-3	0E+0
89E+0	2E+0	3.6224769167630095E+9	690.65488604109437E-3	0E+0
90E+0	2E+0	3.6224769167670097E+9	324.62948125158908E-3	0E+0
91E+0	2E+0	3.6224769167720098E+9	765.24695101317342E-3	0E+0
92E+0	2E+0	3.6224769167770095E+9	480.73243078223293E-3	0E+0
93E+0	2E+0	3.6224769167820096E+9	14.137408767444848E-3	0E+0
94E+0	2E+0	3.6224769167870097E+9	807.14152590537513E-3	0E+0
95E+0	2E+0	3.6224769167920098E+9	285.03928712097215E-3	0E+0
96E+0	2E+0	3.6224769167970095E+9	765.55239692121246E-3	0E+0
97E+0	2E+0	3.6224769168010097E+9	427.22270639241433E-3	0E+0
98E+0	2E+0	3.6224769168060098E+9	215.06200117963425E-3	0E+0
99E+0	2E+0	3.6224769168110099E+9	103.25838877240923E-3	0E+0
100E+0	2E+0	3.6224769168160095E+9	923.55628801007805E-3	0E+0
