#2021-02-10
#15:19
#Balayage par: lalg1702
#ScanTask Size: 101


#Ind Point(Point)              	Temps Abs(ms)                 	Random Number(Arb)            	Crb 1 Dat(Arb)                
27E+0	3.695833154005E+9	556.6054111347E-3	211.997585358E-3
28E+0	3.695833154021E+9	369.0376098099E-3	166.1675765311E-3
29E+0	3.695833154027E+9	895.2292335789E-3	118.6772762072E-3
30E+0	3.695833154044E+9	855.2792650966E-3	70.00119176886E-3
31E+0	3.69583315405E+9	269.9889609689E-3	20.62567856171E-3
32E+0	3.695833154064E+9	673.7079134863E-3	-28.95591960768E-3
33E+0	3.695833154071E+9	177.179267591E-3	-78.24819979991E-3
34E+0	3.695833154086E+9	491.7802878363E-3	-126.7586498451E-3
35E+0	3.695833154093E+9	279.3242375626E-3	-174.002569362E-3
36E+0	3.69583315411E+9	768.0497461977E-3	-219.5079127233E-3
37E+0	3.695833154118E+9	239.1455479187E-3	-262.8200055804E-3
38E+0	3.695833154138E+9	182.6128195027E-3	-303.5060878185E-3
39E+0	3.695833154143E+9	807.6002528002E-3	-341.1596375529E-3
40E+0	3.695833154159E+9	442.5929325715E-3	-375.4044329612E-3
41E+0	3.695833154164E+9	142.824409303E-3	-405.8983113676E-3
42E+0	3.695833154178E+9	699.7020377972E-3	-432.336588019E-3
43E+0	3.695833154184E+9	470.8875226563E-3	-454.4551003943E-3
44E+0	3.695833154188E+9	62.6309626737E-3	-472.0328476294E-3
45E+0	3.695833154204E+9	111.4890991815E-3	-484.8941986843E-3
46E+0	3.69583315423E+9	529.3825236143E-3	-492.9106471906E-3
47E+0	3.695833154236E+9	845.0832432102E-3	-496.0020954448E-3
48E+0	3.695833154239E+9	989.438918529E-3	-494.1376547178E-3
49E+0	3.695833154266E+9	983.2768607894E-3	-487.3359538851E-3
50E+0	3.695833154272E+9	879.599018965E-3	-475.664953293E-3
51E+0	3.695833154287E+9	391.7161292558E-3	-459.2412657215E-3
52E+0	3.695833154293E+9	400.2540860777E-3	-438.228991228E-3
53E+0	3.69583315431E+9	486.841249656E-3	-412.8380775133E-3
54E+0	3.695833154317E+9	975.5461393407E-3	-383.3222221942E-3
55E+0	3.69583315433E+9	207.6191956679E-3	-349.9763379404E-3
56E+0	3.695833154338E+9	372.1423529137E-3	-313.1336058048E-3
57E+0	3.695833154357E+9	856.493854999E-3	-273.1621461881E-3
58E+0	3.695833154363E+9	592.9727665169E-3	-230.4613407021E-3
59E+0	3.695833154382E+9	491.343677254E-3	-185.4578416802E-3
60E+0	3.695833154387E+9	837.0313585041E-3	-138.6013092085E-3
61E+0	3.695833154391E+9	298.5261468658E-3	-90.35991827067E-3
62E+0	3.695833154412E+9	119.099518493E-3	-41.21568089849E-3
63E+0	3.695833154421E+9	61.17238072666E-3	8.340369933143E-3
64E+0	3.69583315445E+9	408.8450962948E-3	57.81308654536E-3
65E+0	3.695833154454E+9	930.3979245184E-3	106.7081539073E-3
66E+0	3.695833154467E+9	935.1266457587E-3	154.5370286684E-3
67E+0	3.695833154474E+9	188.5123371257E-3	200.8218205222E-3
68E+0	3.695833154488E+9	365.7186399735E-3	245.1000671282E-3
69E+0	3.695833154493E+9	568.2845306761E-3	286.9293548828E-3
70E+0	3.695833154505E+9	185.5507102048E-3	325.8917393696E-3
71E+0	3.695833154512E+9	960.5272318547E-3	361.5979213221E-3
72E+0	3.695833154542E+9	255.8309602693E-3	393.6911363732E-3
73E+0	3.695833154563E+9	844.5020436141E-3	421.8507197266E-3
74E+0	3.695833154569E+9	806.4141671667E-3	445.7953101338E-3
75E+0	3.695833154586E+9	316.7826239654E-3	465.2856611625E-3
76E+0	3.695833154592E+9	244.0660215676E-3	480.1270316678E-3
77E+0	3.695833154611E+9	492.9296953053E-3	490.1711315816E-3
78E+0	3.695833154639E+9	704.5215979217E-3	495.3176035777E-3
79E+0	3.69583315466E+9	511.326989978E-3	495.5150258091E-3
80E+0	3.695833154667E+9	460.8471024364E-3	490.7614256981E-3
81E+0	3.695833154681E+9	958.8210608794E-3	481.1042996456E-3
82E+0	3.695833154688E+9	848.6541469645E-3	466.6401384631E-3
83E+0	3.695833154701E+9	604.5407856122E-3	447.5134632677E-3
84E+0	3.695833154706E+9	147.5824800164E-3	423.9153814756E-3
85E+0	3.695833154712E+9	864.005326969E-3	396.0816773197E-3
86E+0	3.695833154738E+9	114.1132803157E-3	364.2904559711E-3
87E+0	3.695833154745E+9	568.201553143E-3	328.8593648049E-3
88E+0	3.695833154769E+9	437.2789210392E-3	290.1424195721E-3
89E+0	3.695833154773E+9	513.5515106498E-3	248.5264671911E-3
90E+0	3.695833154797E+9	964.1906042822E-3	204.427320502E-3
91E+0	3.695833154803E+9	960.5155459858E-3	158.2856036011E-3
92E+0	3.695833154807E+9	111.5955337753E-3	110.5623492712E-3
93E+0	3.695833154823E+9	492.8192494379E-3	61.73439249454E-3
94E+0	3.695833154827E+9	583.4117476739E-3	12.28960607471E-3
95E+0	3.695833154843E+9	332.7253154095E-3	-37.27797402662E-3
96E+0	3.69583315485E+9	602.7167760513E-3	-86.47308493393E-3
97E+0	3.695833154866E+9	938.4271434821E-3	-134.8041853608E-3
98E+0	3.69583315487E+9	778.1557102624E-3	-181.7883669278E-3
99E+0	3.695833154875E+9	476.9265973351E-3	-226.9561792238E-3
100E+0	3.69583315489E+9	542.6248353516E-3	0E+0
