#2020-11-27
#18:23
#Balayage par: Administrateur
#ScanTask Size: 10001

#Instrument: SR530@SR530.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):100*AfterWait(ms):0BandFilter: On; LineFilter1x: On; LineFilter2x: On; Expand Ch1: Off; Expand Ch2: Off; Sensitivity: 2 mV; Pre Time: 300 ms; Post Time: 1 s; Dynamic Res.: Low; Reference Trigger: Negative; Channels Settings: R, Teta; Frequency: 321.000000; 

#Tools.Indice de points(Points)	Tools.Time(ms)                	SR530.Mag(V)                  	SR530.Phase(°)                
84E+0	3.68936427244E+9	1.1125E-3	107.55E+0
85E+0	3.689364273305E+9	1.1095E-3	107.65E+0
86E+0	3.689364274171E+9	1.113E-3	107.6E+0
87E+0	3.689364275036E+9	1.109E-3	107.55E+0
88E+0	3.689364275899E+9	1.103E-3	107.6E+0
89E+0	3.689364276765E+9	1.0935E-3	107.65E+0
90E+0	3.689364277629E+9	1.0915E-3	107.7E+0
91E+0	3.689364278495E+9	1.093E-3	107.75E+0
92E+0	3.689364279359E+9	1.0925E-3	107.9E+0
93E+0	3.689364280225E+9	1.091E-3	108.4E+0
94E+0	3.68936428109E+9	1.0925E-3	109.2E+0
95E+0	3.689364281954E+9	1.0865E-3	109.8E+0
96E+0	3.689364282819E+9	1.0715E-3	110.05E+0
97E+0	3.689364283682E+9	1.05E-3	110.5E+0
98E+0	3.689364284549E+9	1.049E-3	110.45E+0
99E+0	3.689364285414E+9	1.059E-3	110.2E+0
100E+0	3.689364286279E+9	1.074E-3	109.85E+0
101E+0	3.689364287142E+9	1.0895E-3	109.25E+0
102E+0	3.689364288009E+9	1.097E-3	108.65E+0
103E+0	3.689364288877E+9	1.108E-3	107.95E+0
104E+0	3.689364289742E+9	1.119E-3	107.2E+0
105E+0	3.689364290605E+9	1.1245E-3	106.5E+0
106E+0	3.689364291471E+9	1.1255E-3	105.55E+0
107E+0	3.689364292336E+9	1.126E-3	104.5E+0
108E+0	3.689364293201E+9	1.1245E-3	103.75E+0
109E+0	3.689364294066E+9	1.126E-3	103.35E+0
110E+0	3.689364294929E+9	1.127E-3	103.3E+0
111E+0	3.689364295794E+9	1.128E-3	103.35E+0
112E+0	3.689364296661E+9	1.1325E-3	103.5E+0
113E+0	3.689364297529E+9	1.1275E-3	103.55E+0
114E+0	3.689364298394E+9	1.1275E-3	103.75E+0
115E+0	3.689364299259E+9	1.123E-3	104.05E+0
116E+0	3.689364300125E+9	1.1295E-3	104.1E+0
117E+0	3.68936430099E+9	1.1505E-3	104.1E+0
118E+0	3.689364301853E+9	1.164E-3	104.15E+0
119E+0	3.689364302718E+9	1.165E-3	104E+0
120E+0	3.689364303583E+9	1.1585E-3	104.05E+0
121E+0	3.689364304447E+9	1.148E-3	103.95E+0
122E+0	3.689364305314E+9	1.145E-3	103.9E+0
123E+0	3.689364306177E+9	1.1435E-3	103.85E+0
124E+0	3.689364307042E+9	1.1405E-3	103.95E+0
125E+0	3.689364307907E+9	1.141E-3	104E+0
126E+0	3.689364308771E+9	1.1365E-3	103.75E+0
127E+0	3.689364309637E+9	1.135E-3	103.55E+0
128E+0	3.689364310502E+9	1.138E-3	103.5E+0
129E+0	3.689364311366E+9	1.148E-3	103.5E+0
130E+0	3.689364312231E+9	1.142E-3	103.4E+0
131E+0	3.689364313096E+9	1.1375E-3	103.25E+0
132E+0	3.689364313961E+9	1.141E-3	103.25E+0
133E+0	3.689364314826E+9	1.1435E-3	103.4E+0
134E+0	3.689364315689E+9	1.1365E-3	103.5E+0
135E+0	3.689364316555E+9	1.1305E-3	103.7E+0
136E+0	3.689364317421E+9	1.1265E-3	103.7E+0
137E+0	3.689364318288E+9	1.1235E-3	103.75E+0
138E+0	3.689364319155E+9	1.1265E-3	103.7E+0
139E+0	3.689364320023E+9	1.128E-3	103.75E+0
140E+0	3.689364320887E+9	1.125E-3	103.6E+0
141E+0	3.689364321752E+9	1.127E-3	103.7E+0
142E+0	3.689364322617E+9	1.127E-3	103.75E+0
143E+0	3.689364323481E+9	1.135E-3	103.75E+0
144E+0	3.689364324346E+9	1.137E-3	103.8E+0
145E+0	3.689364325212E+9	1.1355E-3	103.9E+0
146E+0	3.689364326075E+9	1.136E-3	103.95E+0
147E+0	3.689364326941E+9	1.1395E-3	103.9E+0
148E+0	3.689364327806E+9	1.1395E-3	103.75E+0
149E+0	3.689364328672E+9	1.1435E-3	103.75E+0
150E+0	3.689364329535E+9	1.151E-3	103.75E+0
151E+0	3.689364330401E+9	1.152E-3	103.7E+0
152E+0	3.689364331265E+9	1.1475E-3	103.8E+0
153E+0	3.689364332132E+9	1.159E-3	103.65E+0
154E+0	3.689364332995E+9	1.175E-3	103.65E+0
155E+0	3.689364333861E+9	1.183E-3	103.35E+0
156E+0	3.68936433473E+9	1.1845E-3	102.95E+0
157E+0	3.689364335598E+9	1.175E-3	102.5E+0
158E+0	3.689364336464E+9	1.1545E-3	102.4E+0
159E+0	3.689364337328E+9	1.1375E-3	102.25E+0
160E+0	3.689364338192E+9	1.127E-3	102.2E+0
161E+0	3.689364339058E+9	1.119E-3	102.25E+0
162E+0	3.689364339922E+9	1.117E-3	102.2E+0
163E+0	3.689364340786E+9	1.12E-3	102.3E+0
164E+0	3.689364341653E+9	1.1185E-3	102.3E+0
165E+0	3.689364342518E+9	1.123E-3	102.25E+0
166E+0	3.689364343383E+9	1.119E-3	102.4E+0
167E+0	3.689364344246E+9	1.1115E-3	102.4E+0
168E+0	3.689364345112E+9	1.116E-3	102.5E+0
169E+0	3.689364345976E+9	1.1155E-3	102.25E+0
170E+0	3.68936434684E+9	1.1115E-3	102.25E+0
171E+0	3.689364347706E+9	1.114E-3	102.2E+0
172E+0	3.68936434857E+9	1.1175E-3	102.3E+0
173E+0	3.689364349436E+9	1.1205E-3	101.9E+0
174E+0	3.689364350299E+9	1.131E-3	101.85E+0
175E+0	3.689364351164E+9	1.1315E-3	102.05E+0
176E+0	3.689364352029E+9	1.1235E-3	102.3E+0
177E+0	3.689364352895E+9	1.125E-3	102.4E+0
178E+0	3.68936435376E+9	1.1395E-3	102.5E+0
179E+0	3.689364354625E+9	1.1485E-3	102.55E+0
180E+0	3.68936435549E+9	1.1465E-3	102.65E+0
181E+0	3.689364356353E+9	1.148E-3	102.65E+0
182E+0	3.689364357218E+9	1.1535E-3	102.6E+0
183E+0	3.689364358084E+9	1.1605E-3	102.6E+0
184E+0	3.689364358948E+9	1.1685E-3	102.7E+0
185E+0	3.689364359812E+9	1.173E-3	102.75E+0
186E+0	3.689364360678E+9	1.173E-3	102.85E+0
187E+0	3.689364361542E+9	1.176E-3	102.95E+0
188E+0	3.689364362407E+9	1.18E-3	103.05E+0
189E+0	3.689364363273E+9	1.1855E-3	103.1E+0
190E+0	3.689364364137E+9	1.186E-3	103.1E+0
191E+0	3.689364365001E+9	1.184E-3	103.25E+0
192E+0	3.689364365867E+9	1.1795E-3	103.3E+0
193E+0	3.689364366732E+9	1.1795E-3	103.35E+0
194E+0	3.689364367597E+9	1.1795E-3	103.35E+0
195E+0	3.689364368462E+9	1.181E-3	103.35E+0
196E+0	3.689364369326E+9	1.1805E-3	103.4E+0
197E+0	3.68936437019E+9	1.175E-3	103.5E+0
198E+0	3.689364371056E+9	1.1715E-3	103.45E+0
199E+0	3.689364371921E+9	1.167E-3	103.55E+0
200E+0	3.689364372786E+9	1.163E-3	103.15E+0
201E+0	3.68936437365E+9	1.1585E-3	103.15E+0
202E+0	3.689364374516E+9	1.1615E-3	103.2E+0
203E+0	3.689364375379E+9	1.1695E-3	103.1E+0
204E+0	3.689364376245E+9	1.175E-3	102.95E+0
205E+0	3.68936437711E+9	1.1745E-3	103.05E+0
206E+0	3.689364377975E+9	1.1605E-3	103.55E+0
207E+0	3.689364378839E+9	1.1405E-3	104.15E+0
208E+0	3.689364379704E+9	1.1215E-3	104.6E+0
209E+0	3.68936438057E+9	1.115E-3	104.75E+0
210E+0	3.689364381433E+9	1.203E-3	104.85E+0
211E+0	3.689364382299E+9	1.1995E-3	104.65E+0
212E+0	3.689364383163E+9	1.175E-3	104.3E+0
213E+0	3.689364384029E+9	1.168E-3	104.25E+0
214E+0	3.689364384894E+9	1.164E-3	104.5E+0
215E+0	3.689364385758E+9	1.158E-3	104.75E+0
216E+0	3.689364386622E+9	1.143E-3	105.2E+0
217E+0	3.689364387487E+9	1.1215E-3	105.65E+0
218E+0	3.689364388352E+9	1.101E-3	106.3E+0
219E+0	3.689364389216E+9	1.0745E-3	106.85E+0
220E+0	3.689364390081E+9	1.0665E-3	107.1E+0
221E+0	3.689364390947E+9	1.0625E-3	107.15E+0
222E+0	3.689364391812E+9	1.0595E-3	107.1E+0
223E+0	3.689364392675E+9	1.0645E-3	106.95E+0
224E+0	3.689364393542E+9	1.071E-3	106.75E+0
225E+0	3.689364394406E+9	1.075E-3	106.65E+0
226E+0	3.689364395273E+9	1.08E-3	106.65E+0
227E+0	3.689364396137E+9	1.0845E-3	106.55E+0
228E+0	3.689364397001E+9	1.088E-3	106.4E+0
229E+0	3.689364397866E+9	1.0895E-3	106.3E+0
230E+0	3.689364398729E+9	1.101E-3	106.05E+0
231E+0	3.689364399595E+9	1.111E-3	105.8E+0
232E+0	3.689364400461E+9	1.1195E-3	105.6E+0
233E+0	3.689364401323E+9	1.1295E-3	105.35E+0
234E+0	3.689364402188E+9	1.139E-3	104.95E+0
235E+0	3.689364403055E+9	1.1475E-3	104.45E+0
236E+0	3.689364403918E+9	1.158E-3	104E+0
237E+0	3.689364404784E+9	1.1755E-3	103.85E+0
238E+0	3.68936440565E+9	1.1845E-3	103.45E+0
239E+0	3.689364406519E+9	1.1805E-3	103.2E+0
240E+0	3.689364407383E+9	1.1825E-3	103.05E+0
241E+0	3.689364408247E+9	1.1795E-3	102.8E+0
242E+0	3.689364409113E+9	1.1715E-3	102.8E+0
243E+0	3.689364409977E+9	1.1705E-3	102.65E+0
244E+0	3.689364410843E+9	1.177E-3	102.7E+0
245E+0	3.689364411705E+9	1.1795E-3	102.65E+0
246E+0	3.689364412571E+9	1.1765E-3	102.65E+0
247E+0	3.689364413437E+9	1.1805E-3	102.55E+0
248E+0	3.689364414301E+9	1.183E-3	102.6E+0
249E+0	3.689364415167E+9	1.1825E-3	102.6E+0
250E+0	3.689364416035E+9	1.1855E-3	102.75E+0
251E+0	3.6893644169E+9	1.1795E-3	103.15E+0
252E+0	3.689364417764E+9	1.167E-3	103.55E+0
253E+0	3.689364418628E+9	1.1555E-3	104E+0
254E+0	3.689364419495E+9	1.1345E-3	104.55E+0
255E+0	3.689364420357E+9	1.122E-3	104.8E+0
256E+0	3.689364421224E+9	1.123E-3	104.75E+0
257E+0	3.68936442209E+9	1.1245E-3	104.75E+0
258E+0	3.689364422952E+9	1.128E-3	104.8E+0
259E+0	3.689364423818E+9	1.1365E-3	104.65E+0
260E+0	3.689364424684E+9	1.1505E-3	104.4E+0
261E+0	3.689364425547E+9	1.1525E-3	104.15E+0
262E+0	3.689364426413E+9	1.152E-3	104.05E+0
263E+0	3.689364427277E+9	1.1545E-3	104E+0
264E+0	3.689364428143E+9	1.17E-3	104E+0
265E+0	3.689364429008E+9	1.177E-3	103.85E+0
266E+0	3.689364429875E+9	1.1795E-3	103.8E+0
267E+0	3.689364430743E+9	1.184E-3	103.7E+0
268E+0	3.689364431609E+9	1.188E-3	103.65E+0
269E+0	3.689364432473E+9	1.1895E-3	103.6E+0
270E+0	3.689364433339E+9	1.189E-3	103.6E+0
271E+0	3.689364434206E+9	1.1875E-3	103.6E+0
272E+0	3.689364435069E+9	1.1845E-3	103.5E+0
273E+0	3.689364435935E+9	1.1745E-3	103.55E+0
274E+0	3.689364436799E+9	1.167E-3	103.55E+0
275E+0	3.689364437663E+9	1.167E-3	103.5E+0
276E+0	3.689364438528E+9	1.172E-3	103.5E+0
277E+0	3.689364439394E+9	1.172E-3	103.5E+0
278E+0	3.689364440259E+9	1.1755E-3	103.45E+0
279E+0	3.689364441127E+9	1.1765E-3	103.4E+0
280E+0	3.689364441993E+9	1.18E-3	103.35E+0
281E+0	3.689364442857E+9	1.1755E-3	103.45E+0
282E+0	3.689364443722E+9	1.178E-3	103.55E+0
283E+0	3.689364444585E+9	1.173E-3	103.6E+0
284E+0	3.68936444545E+9	1.174E-3	103.55E+0
285E+0	3.689364446316E+9	1.1715E-3	103.55E+0
286E+0	3.689364447181E+9	1.166E-3	103.65E+0
287E+0	3.689364448045E+9	1.1645E-3	103.6E+0
288E+0	3.68936444891E+9	1.1655E-3	103.8E+0
289E+0	3.689364449774E+9	1.166E-3	103.85E+0
290E+0	3.689364450639E+9	1.171E-3	103.85E+0
291E+0	3.689364451504E+9	1.1705E-3	103.85E+0
292E+0	3.689364452371E+9	1.1795E-3	103.8E+0
293E+0	3.689364453236E+9	1.1835E-3	103.75E+0
294E+0	3.689364454104E+9	1.188E-3	103.65E+0
295E+0	3.689364454972E+9	1.192E-3	103.55E+0
296E+0	3.689364455838E+9	1.1925E-3	103.55E+0
297E+0	3.689364456706E+9	1.185E-3	103.55E+0
298E+0	3.689364457571E+9	1.1795E-3	103.5E+0
299E+0	3.689364458435E+9	1.1775E-3	103.55E+0
300E+0	3.6893644593E+9	1.1795E-3	103.4E+0
301E+0	3.689364460166E+9	1.177E-3	103.6E+0
302E+0	3.689364461029E+9	1.176E-3	103.55E+0
303E+0	3.689364461894E+9	1.175E-3	103.65E+0
304E+0	3.689364462759E+9	1.1755E-3	103.65E+0
305E+0	3.689364463625E+9	1.1705E-3	103.8E+0
306E+0	3.68936446449E+9	1.174E-3	103.85E+0
307E+0	3.689364465355E+9	1.1755E-3	103.75E+0
308E+0	3.689364466219E+9	1.1755E-3	103.75E+0
309E+0	3.689364467083E+9	1.1765E-3	103.75E+0
310E+0	3.689364467949E+9	1.169E-3	103.65E+0
311E+0	3.689364468812E+9	1.1675E-3	103.6E+0
312E+0	3.689364469678E+9	1.166E-3	103.55E+0
313E+0	3.689364470544E+9	1.1645E-3	103.7E+0
314E+0	3.689364471409E+9	1.1575E-3	103.75E+0
315E+0	3.689364472274E+9	1.159E-3	103.75E+0
316E+0	3.689364473138E+9	1.1635E-3	103.85E+0
317E+0	3.689364474002E+9	1.171E-3	103.9E+0
318E+0	3.689364474866E+9	1.1715E-3	103.9E+0
319E+0	3.689364475733E+9	1.1755E-3	103.9E+0
320E+0	3.6893644766E+9	1.173E-3	103.8E+0
321E+0	3.689364477466E+9	1.1595E-3	103.7E+0
322E+0	3.689364478331E+9	1.158E-3	103.55E+0
323E+0	3.689364479195E+9	1.153E-3	103.65E+0
324E+0	3.689364480061E+9	1.146E-3	103.7E+0
325E+0	3.689364480925E+9	1.1455E-3	103.75E+0
326E+0	3.689364481789E+9	1.14E-3	103.75E+0
327E+0	3.689364482656E+9	1.1365E-3	103.75E+0
328E+0	3.68936448352E+9	1.139E-3	103.75E+0
329E+0	3.689364484385E+9	1.151E-3	103.75E+0
330E+0	3.689364485249E+9	1.1575E-3	103.85E+0
331E+0	3.689364486115E+9	1.1605E-3	103.75E+0
332E+0	3.689364486979E+9	1.1625E-3	103.8E+0
333E+0	3.689364487843E+9	1.1705E-3	103.75E+0
334E+0	3.689364488709E+9	1.1715E-3	103.9E+0
335E+0	3.689364489574E+9	1.173E-3	103.95E+0
336E+0	3.68936449044E+9	1.1745E-3	104.05E+0
337E+0	3.689364491302E+9	1.1755E-3	104.05E+0
338E+0	3.689364492169E+9	1.177E-3	104.1E+0
339E+0	3.689364493032E+9	1.182E-3	104E+0
340E+0	3.689364493898E+9	1.1875E-3	104.05E+0
341E+0	3.689364494762E+9	1.1905E-3	104.05E+0
342E+0	3.689364495627E+9	1.1825E-3	104.05E+0
343E+0	3.689364496491E+9	1.179E-3	104.1E+0
344E+0	3.689364497356E+9	1.1815E-3	104.25E+0
345E+0	3.689364498222E+9	1.1795E-3	104.3E+0
346E+0	3.689364499086E+9	1.1715E-3	104.3E+0
347E+0	3.68936449995E+9	1.1775E-3	104.2E+0
348E+0	3.689364500816E+9	1.183E-3	104.25E+0
349E+0	3.689364501681E+9	1.1825E-3	104.05E+0
350E+0	3.689364502546E+9	1.184E-3	103.85E+0
351E+0	3.689364503412E+9	1.18E-3	103.95E+0
352E+0	3.689364504275E+9	1.177E-3	103.9E+0
353E+0	3.689364505139E+9	1.178E-3	104.2E+0
354E+0	3.689364506006E+9	1.1785E-3	104.1E+0
355E+0	3.68936450687E+9	1.1785E-3	104.2E+0
356E+0	3.689364507733E+9	1.18E-3	104.1E+0
357E+0	3.6893645086E+9	1.1765E-3	104.1E+0
358E+0	3.689364509465E+9	1.1715E-3	104.1E+0
359E+0	3.68936451033E+9	1.175E-3	104.15E+0
360E+0	3.689364511195E+9	1.182E-3	104.05E+0
361E+0	3.689364512063E+9	1.1815E-3	104.05E+0
362E+0	3.689364512927E+9	1.1805E-3	104.05E+0
363E+0	3.689364513793E+9	1.178E-3	104E+0
364E+0	3.689364514657E+9	1.1795E-3	104.05E+0
365E+0	3.689364515521E+9	1.177E-3	104.15E+0
366E+0	3.689364516387E+9	1.178E-3	104E+0
367E+0	3.689364517252E+9	1.175E-3	104.15E+0
368E+0	3.689364518116E+9	1.172E-3	104.25E+0
369E+0	3.689364518981E+9	1.1775E-3	104.25E+0
370E+0	3.689364519846E+9	1.18E-3	104.25E+0
371E+0	3.689364520711E+9	1.182E-3	104.35E+0
372E+0	3.689364521576E+9	1.181E-3	104.3E+0
373E+0	3.68936452244E+9	1.1785E-3	104.4E+0
374E+0	3.689364523304E+9	1.1755E-3	104.35E+0
375E+0	3.689364524172E+9	1.169E-3	104.45E+0
376E+0	3.689364525036E+9	1.174E-3	104.5E+0
377E+0	3.6893645259E+9	1.1735E-3	104.55E+0
378E+0	3.689364526765E+9	1.173E-3	104.5E+0
379E+0	3.68936452763E+9	1.17E-3	104.55E+0
380E+0	3.689364528494E+9	1.1735E-3	104.5E+0
381E+0	3.689364529359E+9	1.1705E-3	104.5E+0
382E+0	3.689364530224E+9	1.1735E-3	104.5E+0
383E+0	3.689364531089E+9	1.179E-3	104.6E+0
384E+0	3.689364531953E+9	1.184E-3	104.5E+0
385E+0	3.689364532819E+9	1.1885E-3	104.35E+0
386E+0	3.689364533683E+9	1.188E-3	104.25E+0
387E+0	3.689364534548E+9	1.1845E-3	104.2E+0
388E+0	3.689364535414E+9	1.176E-3	104.35E+0
389E+0	3.689364536281E+9	1.1735E-3	104.55E+0
390E+0	3.689364537148E+9	1.1735E-3	104.55E+0
391E+0	3.689364538011E+9	1.1765E-3	104.45E+0
392E+0	3.689364538876E+9	1.18E-3	104.35E+0
393E+0	3.689364539741E+9	1.1815E-3	104.35E+0
394E+0	3.689364540607E+9	1.185E-3	104.25E+0
395E+0	3.68936454147E+9	1.185E-3	104.3E+0
396E+0	3.689364542336E+9	1.184E-3	104.5E+0
397E+0	3.689364543201E+9	1.186E-3	104.45E+0
398E+0	3.689364544065E+9	1.1805E-3	104.35E+0
399E+0	3.689364544929E+9	1.183E-3	104.05E+0
400E+0	3.689364545794E+9	1.184E-3	104.1E+0
401E+0	3.68936454666E+9	1.183E-3	104.2E+0
402E+0	3.689364547524E+9	1.1815E-3	104.25E+0
403E+0	3.689364548389E+9	1.1855E-3	104.25E+0
404E+0	3.689364549254E+9	1.187E-3	104.25E+0
405E+0	3.689364550118E+9	1.185E-3	104.25E+0
406E+0	3.689364550985E+9	1.1895E-3	104.1E+0
407E+0	3.689364551849E+9	1.1775E-3	104.15E+0
408E+0	3.689364552713E+9	1.1725E-3	104.25E+0
409E+0	3.689364553579E+9	1.1715E-3	104.4E+0
410E+0	3.689364554443E+9	1.1775E-3	104.45E+0
411E+0	3.689364555309E+9	1.184E-3	104.5E+0
412E+0	3.689364556173E+9	1.183E-3	104.6E+0
413E+0	3.689364557037E+9	1.1825E-3	104.5E+0
414E+0	3.689364557902E+9	1.1735E-3	104.65E+0
415E+0	3.689364558768E+9	1.1655E-3	104.45E+0
416E+0	3.689364559632E+9	1.16E-3	104.55E+0
417E+0	3.689364560498E+9	1.1655E-3	104.3E+0
418E+0	3.689364561362E+9	1.163E-3	104.4E+0
419E+0	3.689364562226E+9	1.1825E-3	104.25E+0
420E+0	3.68936456309E+9	1.224E-3	104.45E+0
421E+0	3.689364563956E+9	1.279E-3	104.25E+0
422E+0	3.689364564823E+9	1.2875E-3	104.5E+0
423E+0	3.689364565686E+9	1.275E-3	104.45E+0
424E+0	3.689364566551E+9	1.2605E-3	104.55E+0
425E+0	3.689364567417E+9	1.2525E-3	104.55E+0
426E+0	3.689364568281E+9	1.245E-3	104.55E+0
427E+0	3.689364569149E+9	1.2395E-3	104.55E+0
428E+0	3.689364570013E+9	1.236E-3	104.55E+0
429E+0	3.689364570879E+9	1.229E-3	104.55E+0
430E+0	3.689364571745E+9	1.221E-3	104.55E+0
431E+0	3.689364572614E+9	1.203E-3	104.55E+0
432E+0	3.689364573477E+9	1.201E-3	104.55E+0
433E+0	3.689364574343E+9	1.209E-3	104.5E+0
434E+0	3.689364575208E+9	1.2055E-3	104.65E+0
435E+0	3.689364576073E+9	1.203E-3	104.75E+0
436E+0	3.689364576937E+9	1.2015E-3	104.75E+0
437E+0	3.689364577801E+9	1.2E-3	104.75E+0
438E+0	3.689364578668E+9	1.1895E-3	104.7E+0
439E+0	3.689364579531E+9	1.187E-3	104.65E+0
440E+0	3.689364580395E+9	1.174E-3	104.55E+0
441E+0	3.689364581261E+9	1.167E-3	104.45E+0
442E+0	3.689364582127E+9	1.1725E-3	104.55E+0
443E+0	3.689364582992E+9	1.178E-3	104.55E+0
444E+0	3.689364583856E+9	1.192E-3	104.65E+0
445E+0	3.689364584725E+9	1.191E-3	104.55E+0
446E+0	3.689364585589E+9	1.1835E-3	104.75E+0
447E+0	3.689364586455E+9	1.185E-3	104.65E+0
448E+0	3.68936458732E+9	1.1845E-3	104.85E+0
449E+0	3.689364588185E+9	1.184E-3	104.7E+0
450E+0	3.689364589053E+9	1.1785E-3	104.35E+0
451E+0	3.689364589919E+9	1.1775E-3	104.2E+0
452E+0	3.689364590783E+9	1.175E-3	104.15E+0
453E+0	3.689364591648E+9	1.176E-3	104.4E+0
454E+0	3.689364592512E+9	1.187E-3	104.4E+0
455E+0	3.689364593377E+9	1.1875E-3	104.3E+0
456E+0	3.68936459424E+9	1.1855E-3	104.15E+0
457E+0	3.689364595107E+9	1.193E-3	104E+0
