#2018-10-15
#15:25
#Balayage par: glaliber
#ScanTask Size: 101,101


#Tools.Ind Point(Point)        	Tools.ScanPar(Arb)            	Tools.Temps Abs(ms)           	Tools.Random Number(Arb)      	Tools.Crb 1 Dat(Arb)          
35E+0	0E+0	3.6224763296920099E+9	758.39825819093876E-3	-174.00256936197608E-3
36E+0	0E+0	3.6224763297360096E+9	156.19833716923326E-3	-219.50791272334114E-3
37E+0	0E+0	3.6224763297770095E+9	92.1003400008642E-3	-262.82000558044349E-3
38E+0	0E+0	3.6224763298180099E+9	843.82628207002919E-3	-303.50608781852911E-3
39E+0	0E+0	3.6224763298600097E+9	590.63679940633351E-3	-341.15963755290624E-3
40E+0	0E+0	3.6224763298980098E+9	251.58026867329619E-3	-375.40443296123738E-3
41E+0	0E+0	3.6224763299350095E+9	382.7617354813091E-3	-405.89831136762683E-3
42E+0	0E+0	3.6224763299690099E+9	854.94538629813954E-3	-432.3365880189744E-3
43E+0	0E+0	3.6224763300050096E+9	368.60050648803599E-3	-454.45510039431153E-3
44E+0	0E+0	3.6224763300410099E+9	560.75894757242062E-3	-472.03284762939246E-3
45E+0	0E+0	3.6224763300770097E+9	425.01611003413675E-3	-484.89419868427469E-3
46E+0	0E+0	3.6224763301210098E+9	413.32593895401049E-3	-492.91064719061545E-3
47E+0	0E+0	3.6224763301670098E+9	941.22227411331916E-3	-496.00209544482482E-3
48E+0	0E+0	3.6224763302050099E+9	619.82478177207034E-3	-494.13765471784377E-3
49E+0	0E+0	3.6224763302420096E+9	297.59089089903057E-3	-487.33595388511403E-3
50E+0	0E+0	3.6224763302820096E+9	414.07798175803734E-3	-475.66495329301295E-3
51E+0	0E+0	3.6224763303180099E+9	855.72481925240784E-3	-459.24126572153701E-3
52E+0	0E+0	3.6224763303540096E+9	596.24728614147693E-3	-438.22899122795073E-3
53E+0	0E+0	3.6224763303930097E+9	454.17278769970082E-3	-412.83807751326002E-3
54E+0	0E+0	3.6224763304290099E+9	311.45999653918688E-3	-383.32222219418133E-3
55E+0	0E+0	3.6224763304680095E+9	114.29446156201029E-3	-349.97633794041894E-3
56E+0	0E+0	3.6224763305060096E+9	844.65238189291858E-3	-313.1336058047523E-3
57E+0	0E+0	3.6224763305450096E+9	609.01056432811007E-3	-273.16214618809248E-3
58E+0	0E+0	3.6224763305850096E+9	705.76360347895384E-3	-230.46134070212218E-3
59E+0	0E+0	3.6224763306410098E+9	127.56446239638008E-3	-185.45784168024665E-3
60E+0	0E+0	3.6224763306800098E+9	627.80795137513046E-3	-138.60130920851438E-3
61E+0	0E+0	3.6224763307330098E+9	103.64762854378706E-3	-90.359918270672149E-3
62E+0	0E+0	3.6224763307720098E+9	16.683309905625832E-3	-41.215680898486734E-3
63E+0	0E+0	3.6224763308130097E+9	250.46057013908585E-3	8.3403699331431828E-3
64E+0	0E+0	3.6224763308530097E+9	281.58501709409633E-3	57.813086545361325E-3
65E+0	0E+0	3.6224763308940096E+9	767.84055366436421E-3	106.7081539072834E-3
66E+0	0E+0	3.6224763309340095E+9	570.45273568509103E-3	154.53702866838995E-3
67E+0	0E+0	3.6224763309760098E+9	482.07602650121206E-3	200.82182052219233E-3
68E+0	0E+0	3.6224763310720096E+9	532.06579442516766E-3	245.10006712820462E-3
69E+0	0E+0	3.6224763311250095E+9	773.09068312977547E-3	286.92935488278271E-3
70E+0	0E+0	3.6224763311670098E+9	135.44900136623994E-3	325.89173936960625E-3
71E+0	0E+0	3.6224763312210097E+9	679.18980501709614E-3	361.59792132213536E-3
72E+0	0E+0	3.6224763312630095E+9	906.34832685063404E-3	393.69113637319508E-3
73E+0	0E+0	3.6224763313070097E+9	493.40721907596263E-3	421.8507197266011E-3
74E+0	0E+0	3.6224763313500099E+9	622.65307544509429E-3	445.79531013380741E-3
75E+0	0E+0	3.6224763313940096E+9	641.14216498944887E-3	465.28566116249409E-3
76E+0	0E+0	3.6224763314370098E+9	364.51502038054162E-3	480.12703166783605E-3
77E+0	0E+0	3.6224763314790096E+9	6.5567395836314546E-3	490.17113158164893E-3
78E+0	0E+0	3.6224763315250096E+9	847.62342796007339E-3	495.3176035777318E-3
79E+0	0E+0	3.6224763315680099E+9	343.01231077183303E-3	495.51502580909718E-3
80E+0	0E+0	3.6224763316140099E+9	703.15565375100719E-3	490.76142569806858E-3
81E+0	0E+0	3.6224763316650095E+9	37.662332837032686E-3	481.10429964562396E-3
82E+0	0E+0	3.6224763317090096E+9	374.86999580581881E-3	466.64013846305796E-3
83E+0	0E+0	3.6224763317690096E+9	888.1279040310267E-3	447.51346326769043E-3
84E+0	0E+0	3.6224763318150096E+9	434.5211668256852E-3	423.9153814756359E-3
85E+0	0E+0	3.6224763318630099E+9	527.1900984600808E-3	396.08167731967153E-3
86E+0	0E+0	3.6224763319090099E+9	427.99552182287526E-3	364.29045597112436E-3
87E+0	0E+0	3.6224763319570098E+9	606.86067900934737E-3	328.8593648049285E-3
88E+0	0E+0	3.6224763320150099E+9	276.2673272398759E-3	290.14241957205422E-3
89E+0	0E+0	3.6224763320680099E+9	421.59006456599868E-3	248.52646719114924E-3
90E+0	0E+0	3.6224763321350098E+9	222.69688272016985E-3	204.42732050199805E-3
91E+0	0E+0	3.6224763321880097E+9	206.74944608889967E-3	158.28560360107877E-3
92E+0	0E+0	3.6224763322350097E+9	832.95244084364928E-3	110.56234927124164E-3
93E+0	0E+0	3.6224763322920098E+9	151.16850066947876E-3	61.734392494539055E-3
94E+0	0E+0	3.6224763323400097E+9	795.8474988360682E-3	12.289606074708914E-3
95E+0	0E+0	3.6224763323890095E+9	988.86705419361232E-3	-37.277974026616055E-3
96E+0	0E+0	3.6224763324380097E+9	504.59332432903303E-3	-86.473084933926997E-3
97E+0	0E+0	3.6224763324880099E+9	788.72770318401209E-3	-134.80418536077965E-3
98E+0	0E+0	3.6224763325380096E+9	507.36517123920555E-3	-181.78836692784747E-3
99E+0	0E+0	3.6224763325860095E+9	312.132276142703E-3	-226.95617922381617E-3
100E+0	0E+0	3.6224763326350098E+9	101.33440289844953E-3	0E+0
0E+0	1E+0	3.6224763326880097E+9	267.82377415359182E-3	0E+0
1E+0	1E+0	3.6224763327370095E+9	3.1096438114717184E-3	0E+0
2E+0	1E+0	3.6224763327860098E+9	625.9993377637949E-3	0E+0
3E+0	1E+0	3.6224763328340096E+9	937.20476828988009E-3	0E+0
4E+0	1E+0	3.6224763328820095E+9	215.58192821401234E-3	0E+0
5E+0	1E+0	3.6224763329310098E+9	845.63773348228821E-3	0E+0
6E+0	1E+0	3.6224763329790096E+9	863.8906180765642E-3	0E+0
7E+0	1E+0	3.6224763330280099E+9	406.97773019062478E-3	0E+0
8E+0	1E+0	3.6224763330770097E+9	59.697456066035937E-3	0E+0
9E+0	1E+0	3.6224763331260095E+9	370.35472286697263E-3	0E+0
10E+0	1E+0	3.6224763331780095E+9	141.79413750318481E-3	0E+0
11E+0	1E+0	3.6224763332260098E+9	151.62162419521197E-3	0E+0
12E+0	1E+0	3.6224763332750096E+9	745.08693555876571E-3	0E+0
13E+0	1E+0	3.6224763333240099E+9	36.761712829122217E-3	0E+0
14E+0	1E+0	3.6224763333730097E+9	528.43862304412847E-3	0E+0
15E+0	1E+0	3.6224763334220095E+9	759.31207536862122E-3	0E+0
16E+0	1E+0	3.6224763334710097E+9	868.81811131415332E-3	0E+0
17E+0	1E+0	3.6224763335200095E+9	582.58118196722464E-3	0E+0
18E+0	1E+0	3.6224763335690098E+9	151.11176976120322E-3	0E+0
19E+0	1E+0	3.6224763336180096E+9	643.18857778460892E-3	0E+0
20E+0	1E+0	3.6224763336760097E+9	342.15681253644314E-3	0E+0
21E+0	1E+0	3.6224763337390099E+9	631.30121660009797E-3	0E+0
22E+0	1E+0	3.6224763337890096E+9	794.08094947600705E-3	0E+0
23E+0	1E+0	3.6224763338390098E+9	107.1592046918739E-3	0E+0
24E+0	1E+0	3.6224763338910098E+9	938.67122594617447E-3	0E+0
25E+0	1E+0	3.6224763339410095E+9	829.20294308432729E-3	0E+0
26E+0	1E+0	3.6224763339920096E+9	573.6549098349879E-3	0E+0
27E+0	1E+0	3.6224763340430098E+9	620.9754112737853E-3	0E+0
28E+0	1E+0	3.6224763340940099E+9	287.92479772764401E-3	0E+0
29E+0	1E+0	3.6224763341470098E+9	995.76480768813824E-3	0E+0
30E+0	1E+0	3.6224763341970096E+9	383.62545687030103E-3	0E+0
31E+0	1E+0	3.6224763342470098E+9	825.02948482045391E-3	0E+0
32E+0	1E+0	3.6224763342980099E+9	716.83113527276365E-3	0E+0
33E+0	1E+0	3.6224763343490095E+9	127.27475486062745E-3	0E+0
34E+0	1E+0	3.6224763344010096E+9	856.38250828710194E-3	0E+0
35E+0	1E+0	3.6224763344520097E+9	877.79009677210495E-3	0E+0
36E+0	1E+0	3.6224763345030098E+9	585.22101411593863E-3	0E+0
37E+0	1E+0	3.6224763345540099E+9	512.24703918086978E-3	0E+0
38E+0	1E+0	3.6224763346050096E+9	620.39521673082976E-3	0E+0
39E+0	1E+0	3.6224763346570096E+9	407.39541605720647E-3	0E+0
40E+0	1E+0	3.6224763347180095E+9	370.43229178856274E-3	0E+0
41E+0	1E+0	3.6224763347710099E+9	390.5411353584296E-3	0E+0
42E+0	1E+0	3.6224763348230095E+9	662.20483730746515E-3	0E+0
43E+0	1E+0	3.6224763348740096E+9	937.84011209235518E-3	0E+0
44E+0	1E+0	3.6224763349250097E+9	477.67678018421433E-3	0E+0
45E+0	1E+0	3.6224763349770098E+9	512.60608643701833E-3	0E+0
46E+0	1E+0	3.6224763350280099E+9	278.47728188336385E-3	0E+0
47E+0	1E+0	3.6224763350800099E+9	35.723456804705123E-3	0E+0
48E+0	1E+0	3.6224763351350098E+9	678.44051730749499E-3	0E+0
49E+0	1E+0	3.6224763351870098E+9	855.41564947407966E-3	0E+0
50E+0	1E+0	3.6224763352380099E+9	382.13073033949918E-3	0E+0
51E+0	1E+0	3.6224763352900095E+9	985.61966609695295E-3	0E+0
52E+0	1E+0	3.6224763353420095E+9	814.95824303822983E-3	0E+0
53E+0	1E+0	3.6224763353930097E+9	482.15603101143323E-3	0E+0
54E+0	1E+0	3.6224763354450097E+9	334.3195173734046E-3	0E+0
55E+0	1E+0	3.6224763354980097E+9	628.08089791749455E-3	0E+0
56E+0	1E+0	3.6224763355520096E+9	470.09600773510174E-3	0E+0
57E+0	1E+0	3.6224763356060095E+9	606.37256703583064E-3	0E+0
58E+0	1E+0	3.6224763356610098E+9	919.95974025477611E-3	0E+0
59E+0	1E+0	3.6224763357210097E+9	567.53705087855777E-3	0E+0
60E+0	1E+0	3.6224763357730098E+9	528.25430549148566E-3	0E+0
61E+0	1E+0	3.6224763358280096E+9	8.9450381603830564E-3	0E+0
62E+0	1E+0	3.6224763358800096E+9	20.493075869461697E-3	0E+0
63E+0	1E+0	3.6224763359330096E+9	493.94006322593675E-3	0E+0
64E+0	1E+0	3.6224763359850097E+9	246.25445529190748E-3	0E+0
65E+0	1E+0	3.6224763360370097E+9	117.379602033723E-3	0E+0
66E+0	1E+0	3.6224763360910096E+9	356.14093848277006E-3	0E+0
67E+0	1E+0	3.6224763361440096E+9	53.48958794586034E-3	0E+0
68E+0	1E+0	3.6224763362000098E+9	750.10572725242897E-3	0E+0
69E+0	1E+0	3.6224763362530098E+9	528.65568184493195E-3	0E+0
70E+0	1E+0	3.6224763363070097E+9	505.07156724944346E-3	0E+0
71E+0	1E+0	3.6224763363600097E+9	8.4824327386825438E-3	0E+0
72E+0	1E+0	3.6224763364130096E+9	18.91767285855428E-3	0E+0
73E+0	1E+0	3.6224763364680095E+9	647.91138035578799E-3	0E+0
74E+0	1E+0	3.6224763365230098E+9	385.43034680083454E-3	0E+0
75E+0	1E+0	3.6224763365780096E+9	764.66002355569285E-3	0E+0
76E+0	1E+0	3.6224763366310096E+9	367.94417567989091E-3	0E+0
77E+0	1E+0	3.6224763366840095E+9	399.99381602941275E-3	0E+0
78E+0	1E+0	3.6224763367440095E+9	102.02803818813955E-3	0E+0
79E+0	1E+0	3.6224763368000097E+9	679.02033957058916E-3	0E+0
80E+0	1E+0	3.6224763368530097E+9	313.76796415748731E-3	0E+0
81E+0	1E+0	3.6224763369070096E+9	212.80002605892845E-3	0E+0
82E+0	1E+0	3.6224763369600096E+9	671.7280734574933E-3	0E+0
83E+0	1E+0	3.6224763370140095E+9	724.12174554383246E-3	0E+0
84E+0	1E+0	3.6224763370680099E+9	786.69130955279476E-3	0E+0
85E+0	1E+0	3.6224763371220098E+9	401.28960911713674E-3	0E+0
86E+0	1E+0	3.6224763371770096E+9	419.10187068166582E-3	0E+0
87E+0	1E+0	3.6224763372310095E+9	87.585042557813519E-3	0E+0
88E+0	1E+0	3.6224763373460097E+9	573.99694315864391E-3	0E+0
89E+0	1E+0	3.6224763374590096E+9	442.81173905259941E-3	0E+0
90E+0	1E+0	3.6224763375850096E+9	718.76514109194578E-3	0E+0
91E+0	1E+0	3.6224763377010097E+9	70.815153815088294E-3	0E+0
92E+0	1E+0	3.6224763377770095E+9	220.19959831932701E-3	0E+0
93E+0	1E+0	3.6224763378340096E+9	371.53634296702709E-3	0E+0
94E+0	1E+0	3.6224763379000096E+9	850.66176788138126E-3	0E+0
95E+0	1E+0	3.6224763379610095E+9	277.98973605155597E-3	0E+0
96E+0	1E+0	3.6224763380160098E+9	433.42135853867214E-3	0E+0
97E+0	1E+0	3.6224763380710096E+9	395.40863679297544E-3	0E+0
98E+0	1E+0	3.6224763381270099E+9	56.06416706790851E-3	0E+0
99E+0	1E+0	3.6224763381820097E+9	854.0286546407122E-3	0E+0
100E+0	1E+0	3.6224763382370095E+9	56.146648099298257E-3	0E+0
0E+0	2E+0	3.6224763382920098E+9	779.49430777897111E-3	0E+0
1E+0	2E+0	3.6224763383470097E+9	18.665070237931403E-3	0E+0
2E+0	2E+0	3.6224763384020095E+9	261.87645993042419E-3	0E+0
3E+0	2E+0	3.6224763384640098E+9	723.99969846371826E-3	0E+0
4E+0	2E+0	3.6224763385240097E+9	182.8197614231768E-3	0E+0
5E+0	2E+0	3.6224763385800099E+9	859.69949424411074E-3	0E+0
6E+0	2E+0	3.6224763386350098E+9	163.03551308790487E-3	0E+0
7E+0	2E+0	3.6224763386910095E+9	198.09047323944329E-3	0E+0
8E+0	2E+0	3.6224763387480097E+9	678.33399715494802E-3	0E+0
9E+0	2E+0	3.6224763388660097E+9	179.70707810328035E-3	0E+0
10E+0	2E+0	3.6224763389220095E+9	664.64878683126127E-3	0E+0
11E+0	2E+0	3.6224763389770098E+9	819.65689438650835E-3	0E+0
12E+0	2E+0	3.6224763390330095E+9	741.90793367917562E-3	0E+0
13E+0	2E+0	3.6224763390900097E+9	176.78838333502078E-3	0E+0
14E+0	2E+0	3.6224763391460099E+9	302.89076299015827E-3	0E+0
15E+0	2E+0	3.6224763392030096E+9	497.11172446381302E-3	0E+0
16E+0	2E+0	3.6224763392590098E+9	823.01406436403246E-3	0E+0
17E+0	2E+0	3.6224763393150096E+9	502.10291512824501E-3	0E+0
18E+0	2E+0	3.6224763393710098E+9	645.82936249866796E-3	0E+0
19E+0	2E+0	3.6224763394270096E+9	80.924817961105955E-3	0E+0
20E+0	2E+0	3.6224763394940095E+9	730.8523359654242E-3	0E+0
21E+0	2E+0	3.6224763395500097E+9	686.03500496192815E-3	0E+0
22E+0	2E+0	3.6224763396070099E+9	434.14023422151282E-3	0E+0
23E+0	2E+0	3.6224763396640096E+9	265.15544447948924E-3	0E+0
24E+0	2E+0	3.6224763397200098E+9	841.32647746865263E-3	0E+0
25E+0	2E+0	3.6224763397810097E+9	171.29924393138007E-3	0E+0
26E+0	2E+0	3.6224763398380098E+9	863.87085661464547E-3	0E+0
27E+0	2E+0	3.6224763398940096E+9	493.87565593979033E-3	0E+0
28E+0	2E+0	3.6224763399510097E+9	950.55420451643613E-3	0E+0
29E+0	2E+0	3.6224763400080099E+9	711.92405853812613E-3	0E+0
30E+0	2E+0	3.6224763400640097E+9	735.8386284481373E-3	0E+0
31E+0	2E+0	3.6224763401220098E+9	127.70367367519464E-3	0E+0
32E+0	2E+0	3.6224763401830096E+9	45.472840061507203E-3	0E+0
33E+0	2E+0	3.6224763402400098E+9	481.69063984910832E-3	0E+0
34E+0	2E+0	3.6224763402970095E+9	615.3452875383798E-3	0E+0
35E+0	2E+0	3.6224763403530097E+9	825.04480153250603E-3	0E+0
36E+0	2E+0	3.6224763404100099E+9	395.5408787137551E-3	0E+0
37E+0	2E+0	3.6224763404670095E+9	383.8941460508789E-3	0E+0
38E+0	2E+0	3.6224763405250096E+9	310.18898703901931E-3	0E+0
39E+0	2E+0	3.6224763405830097E+9	379.87439978856541E-3	0E+0
40E+0	2E+0	3.6224763406400099E+9	563.26629026485286E-3	0E+0
41E+0	2E+0	3.6224763406990099E+9	956.2632316483326E-3	0E+0
42E+0	2E+0	3.6224763407570095E+9	911.44204012416696E-3	0E+0
43E+0	2E+0	3.6224763408850098E+9	228.53580363022918E-3	0E+0
44E+0	2E+0	3.6224763409450097E+9	128.99441905331255E-3	0E+0
45E+0	2E+0	3.6224763410020099E+9	214.67336258934738E-3	0E+0
46E+0	2E+0	3.6224763410600095E+9	638.59010485069767E-3	0E+0
47E+0	2E+0	3.6224763411180096E+9	275.05404904120834E-3	0E+0
48E+0	2E+0	3.6224763411790099E+9	101.43068568859603E-3	0E+0
49E+0	2E+0	3.6224763412360096E+9	810.50944737272479E-3	0E+0
50E+0	2E+0	3.6224763412940097E+9	336.10453012851615E-3	0E+0
51E+0	2E+0	3.6224763413520098E+9	397.55193267837097E-3	0E+0
52E+0	2E+0	3.6224763414110098E+9	839.79104861781351E-3	0E+0
53E+0	2E+0	3.6224763414690099E+9	856.99331477280061E-3	0E+0
54E+0	2E+0	3.6224763415270095E+9	52.672788301884932E-3	0E+0
55E+0	2E+0	3.6224763415860095E+9	688.31291124606286E-3	0E+0
56E+0	2E+0	3.6224763416440096E+9	395.78464516408762E-3	0E+0
57E+0	2E+0	3.6224763417030096E+9	900.7435971575678E-3	0E+0
58E+0	2E+0	3.6224763417620096E+9	149.56902221968527E-3	0E+0
59E+0	2E+0	3.6224763418260097E+9	756.28478651381503E-3	0E+0
60E+0	2E+0	3.6224763418850098E+9	495.8600516475089E-3	0E+0
61E+0	2E+0	3.6224763419430099E+9	656.02324506215326E-3	0E+0
62E+0	2E+0	3.6224763420020099E+9	888.4346296735619E-3	0E+0
63E+0	2E+0	3.6224763420610099E+9	188.50129041921293E-3	0E+0
64E+0	2E+0	3.6224763421200099E+9	904.81832877022406E-3	0E+0
65E+0	2E+0	3.6224763421790099E+9	147.35750072257625E-3	0E+0
66E+0	2E+0	3.6224763422390099E+9	113.10917053041525E-3	0E+0
67E+0	2E+0	3.6224763422980099E+9	366.91036655325715E-3	0E+0
68E+0	2E+0	3.6224763423570099E+9	460.27368268120838E-3	0E+0
69E+0	2E+0	3.6224763424160099E+9	386.24332831599184E-3	0E+0
70E+0	2E+0	3.6224763424760098E+9	524.01621244321772E-3	0E+0
71E+0	2E+0	3.6224763425360098E+9	607.42379737300278E-3	0E+0
72E+0	2E+0	3.6224763425960097E+9	949.53319972098338E-3	0E+0
73E+0	2E+0	3.6224763426550097E+9	703.04288816883731E-3	0E+0
74E+0	2E+0	3.6224763427150097E+9	993.47261535146569E-3	0E+0
75E+0	2E+0	3.6224763427750096E+9	303.14863404408299E-3	0E+0
76E+0	2E+0	3.6224763428430095E+9	673.04511604685302E-3	0E+0
77E+0	2E+0	3.6224763429030099E+9	283.33085881582254E-3	0E+0
78E+0	2E+0	3.6224763429620099E+9	781.22648672656148E-3	0E+0
79E+0	2E+0	3.6224763430210099E+9	921.62955610094865E-3	0E+0
80E+0	2E+0	3.6224763430810099E+9	673.40711689417976E-3	0E+0
81E+0	2E+0	3.6224763431410098E+9	952.62295539546415E-3	0E+0
82E+0	2E+0	3.6224763432020097E+9	722.15491345699756E-3	0E+0
83E+0	2E+0	3.6224763432620096E+9	995.3329761640628E-3	0E+0
84E+0	2E+0	3.6224763433220096E+9	614.39403401103165E-3	0E+0
85E+0	2E+0	3.6224763433820095E+9	38.285909057457879E-3	0E+0
86E+0	2E+0	3.6224763434420099E+9	461.35919119664659E-3	0E+0
87E+0	2E+0	3.6224763435030098E+9	906.56726357991446E-3	0E+0
88E+0	2E+0	3.6224763435640097E+9	794.75971580483629E-3	0E+0
89E+0	2E+0	3.6224763436240096E+9	228.58933125024738E-3	0E+0
90E+0	2E+0	3.6224763436840095E+9	935.12721516221753E-3	0E+0
91E+0	2E+0	3.6224763437450099E+9	776.35825693738303E-3	0E+0
92E+0	2E+0	3.6224763438070097E+9	842.04183523737375E-3	0E+0
93E+0	2E+0	3.6224763438720098E+9	749.34610937905477E-3	0E+0
94E+0	2E+0	3.6224763439330096E+9	159.70061138294489E-3	0E+0
95E+0	2E+0	3.6224763439940095E+9	644.86696754600037E-3	0E+0
96E+0	2E+0	3.6224763440550098E+9	80.462265479088968E-3	0E+0
97E+0	2E+0	3.6224763441160097E+9	701.95430018740934E-3	0E+0
98E+0	2E+0	3.6224763441780095E+9	424.11234309025492E-3	0E+0
99E+0	2E+0	3.6224763442390099E+9	280.39702891167995E-3	0E+0
100E+0	2E+0	3.6224763443000097E+9	439.82432227733348E-3	0E+0
0E+0	3E+0	3.6224763443620095E+9	321.65213631241696E-3	0E+0
1E+0	3E+0	3.6224763444230099E+9	98.786672613362159E-3	0E+0
2E+0	3E+0	3.6224763444840097E+9	913.22101075573703E-3	0E+0
3E+0	3E+0	3.6224763445450096E+9	265.53106542837424E-3	0E+0
4E+0	3E+0	3.6224763446070099E+9	958.46476461270691E-3	0E+0
5E+0	3E+0	3.6224763446690097E+9	358.92185340192739E-3	0E+0
6E+0	3E+0	3.6224763447310095E+9	629.21392710618851E-3	0E+0
7E+0	3E+0	3.6224763447930098E+9	605.57459977649875E-3	0E+0
8E+0	3E+0	3.6224763448570099E+9	379.53984932388574E-3	0E+0
9E+0	3E+0	3.6224763449190097E+9	292.98913603324817E-3	0E+0
10E+0	3E+0	3.6224763449810095E+9	530.63087903139672E-3	0E+0
11E+0	3E+0	3.6224763450430098E+9	48.863235929966109E-3	0E+0
12E+0	3E+0	3.6224763451060095E+9	464.60132165300849E-3	0E+0
13E+0	3E+0	3.6224763451680098E+9	580.0879045215992E-3	0E+0
14E+0	3E+0	3.6224763452300096E+9	962.13624076769133E-3	0E+0
15E+0	3E+0	3.6224763452930098E+9	297.04897813023257E-3	0E+0
16E+0	3E+0	3.6224763453550096E+9	596.93733373065605E-3	0E+0
17E+0	3E+0	3.6224763454180098E+9	187.68075070801871E-3	0E+0
18E+0	3E+0	3.6224763454800096E+9	516.04587987734307E-3	0E+0
19E+0	3E+0	3.6224763455430098E+9	546.86939725971206E-3	0E+0
20E+0	3E+0	3.6224763456050096E+9	228.09631505302752E-3	0E+0
21E+0	3E+0	3.6224763456680098E+9	577.36511635178278E-3	0E+0
22E+0	3E+0	3.6224763457310095E+9	984.43005713518672E-3	0E+0
23E+0	3E+0	3.6224763457940097E+9	89.000437663704357E-3	0E+0
24E+0	3E+0	3.6224763458580098E+9	160.11607611217382E-3	0E+0
25E+0	3E+0	3.6224763459230099E+9	506.03252863975956E-3	0E+0
26E+0	3E+0	3.6224763459860096E+9	640.59450890915004E-3	0E+0
27E+0	3E+0	3.6224763460490098E+9	224.70964596496512E-3	0E+0
28E+0	3E+0	3.6224763461120095E+9	929.0377947147096E-3	0E+0
29E+0	3E+0	3.6224763461790099E+9	785.1514561921672E-3	0E+0
30E+0	3E+0	3.6224763462440095E+9	947.4797270773615E-3	0E+0
31E+0	3E+0	3.6224763463080096E+9	136.14523801650691E-3	0E+0
32E+0	3E+0	3.6224763463710098E+9	712.90750551066107E-3	0E+0
33E+0	3E+0	3.6224763464350095E+9	323.5569334409516E-3	0E+0
34E+0	3E+0	3.6224763464980097E+9	948.40050449447133E-3	0E+0
35E+0	3E+0	3.6224763465630097E+9	511.99702426027627E-3	0E+0
36E+0	3E+0	3.6224763466260095E+9	674.9002764073968E-3	0E+0
37E+0	3E+0	3.6224763466910095E+9	279.37217330955244E-3	0E+0
38E+0	3E+0	3.6224763467550096E+9	317.06024939071442E-3	0E+0
39E+0	3E+0	3.6224763468190098E+9	944.16891658560087E-3	0E+0
40E+0	3E+0	3.6224763468840098E+9	240.89185054249329E-3	0E+0
41E+0	3E+0	3.6224763469480095E+9	121.18215349423522E-3	0E+0
