#2020-10-26
#16:26
#Balayage par: lalg1702
#ScanTask Size: 11,11

#Instrument: YokoGS200@YokoGS200.lvclass Function:SetVoltage (V); Parameters:*BeforeWait(ms):0*AfterWait(ms):0 Source Range: 10V; AutoRange: Off;
#Instrument: SR830@SR830.lvclass Function:Read Mag & Phase (V,°); Parameters:*BeforeWait(ms):0*AfterWait(ms):0Phase Shift: 0°; Reference Source: Internal; Reference Frequency: 149.03Hz; Reference Trigger: Sine Zero Crossing; Detection Harmonic: 1; Sine Amplitude: 0.004V; Input Configuration: A; Input Shield: Float; Input Coupling: DC; 1xLineFilter: Off; 2xLineFilter: Off; Sensitivity: 50 µV/pA; Dynamic Reserve: Low; Time Constant: 100 ms; Low Pass Filter: 24 dB/oct; Sync Filter: Off; Expand X: Off, Offset: 0%; Expand Y: Off, Offset: 0%; Expand R: Off, Offset: 0%; 

#Tools.Indice de points(Points)	Tools.Time(ms)                	YokoGS200.Volt(V)             	SR830.Mag(V)                  	SR830.Phase(°)                	Tools.Temps Abs(ms)           
6E+0	3.686588838604E+9	3E+0	970.445E-9	105.324E+0	3.686588838641E+9
7E+0	3.686588838642E+9	3E+0	901.524E-9	105.216E+0	3.686588838684E+9
8E+0	3.686588838684E+9	3E+0	771.139E-9	102.234E+0	3.686588838721E+9
9E+0	3.686588838721E+9	3E+0	651.929E-9	97.614E+0	3.686588838756E+9
10E+0	3.686588838756E+9	3E+0	553.209E-9	89.658E+0	3.686588838793E+9
0E+0	3.686588838793E+9	4E+0	424.685E-9	58.614E+0	3.686588838912E+9
1E+0	3.686588838913E+9	4E+0	385.569E-9	51.996E+0	3.686588838951E+9
2E+0	3.686588838953E+9	4E+0	339.003E-9	45.594E+0	3.686588838989E+9
3E+0	3.68658883899E+9	4E+0	294.3E-9	41.796E+0	3.686588839027E+9
4E+0	3.686588839027E+9	4E+0	249.596E-9	41.76E+0	3.686588839066E+9
5E+0	3.686588839067E+9	4E+0	216.068E-9	42.186E+0	3.686588839104E+9
6E+0	3.686588839105E+9	4E+0	199.304E-9	42.978E+0	3.686588839144E+9
7E+0	3.686588839144E+9	4E+0	201.167E-9	43.998E+0	3.686588839182E+9
8E+0	3.686588839183E+9	4E+0	199.304E-9	43.65E+0	3.686588839218E+9
9E+0	3.686588839219E+9	4E+0	201.167E-9	35.922E+0	3.686588839262E+9
10E+0	3.686588839263E+9	4E+0	208.617E-9	17.136E+0	3.6865888393E+9
0E+0	3.6865888393E+9	5E+0	247.734E-9	-13.572E+0	3.686588839426E+9
1E+0	3.686588839427E+9	5E+0	221.656E-9	-9.042E+0	3.686588839463E+9
2E+0	3.686588839464E+9	5E+0	180.677E-9	4.2E+0	3.686588839499E+9
3E+0	3.6865888395E+9	5E+0	158.326E-9	31.374E+0	3.686588839537E+9
4E+0	3.686588839538E+9	5E+0	188.128E-9	65.472E+0	3.686588839574E+9
5E+0	3.686588839575E+9	5E+0	284.987E-9	86.34E+0	3.686588839611E+9
6E+0	3.686588839612E+9	5E+0	419.097E-9	95.01E+0	3.686588839649E+9
7E+0	3.686588839649E+9	5E+0	549.484E-9	99.066E+0	3.686588839685E+9
8E+0	3.686588839686E+9	5E+0	651.929E-9	101.91E+0	3.686588839724E+9
9E+0	3.686588839724E+9	5E+0	724.573E-9	104.1E+0	3.686588839762E+9
10E+0	3.686588839762E+9	5E+0	758.1E-9	105.042E+0	3.686588839799E+9
0E+0	3.686588839799E+9	6E+0	711.534E-9	101.466E+0	3.686588839917E+9
1E+0	3.686588839918E+9	6E+0	663.105E-9	99.702E+0	3.686588839956E+9
2E+0	3.686588839957E+9	6E+0	607.226E-9	97.71E+0	3.686588839992E+9
3E+0	3.686588839993E+9	6E+0	556.935E-9	96.678E+0	3.68658884003E+9
4E+0	3.68658884003E+9	6E+0	521.544E-9	98.232E+0	3.686588840066E+9
5E+0	3.686588840066E+9	6E+0	510.368E-9	102.408E+0	3.686588840103E+9
6E+0	3.686588840103E+9	6E+0	532.72E-9	107.814E+0	3.686588840141E+9
7E+0	3.686588840141E+9	6E+0	568.11E-9	112.428E+0	3.686588840178E+9
8E+0	3.686588840178E+9	6E+0	584.874E-9	116.13E+0	3.686588840214E+9
9E+0	3.686588840215E+9	6E+0	583.012E-9	120.006E+0	3.68658884025E+9
10E+0	3.686588840251E+9	6E+0	549.484E-9	124.362E+0	3.686588840289E+9
0E+0	3.686588840289E+9	7E+0	292.437E-9	148.032E+0	3.686588840407E+9
1E+0	3.686588840408E+9	7E+0	221.656E-9	173.142E+0	3.686588840446E+9
2E+0	3.686588840447E+9	7E+0	229.106E-9	-152.322E+0	3.686588840486E+9
3E+0	3.686588840486E+9	7E+0	309.201E-9	-129.096E+0	3.686588840524E+9
4E+0	3.686588840524E+9	7E+0	420.96E-9	-119.1E+0	3.686588840562E+9
5E+0	3.686588840563E+9	7E+0	512.231E-9	-116.4E+0	3.686588840601E+9
6E+0	3.686588840602E+9	7E+0	568.11E-9	-116.49E+0	3.686588840638E+9
7E+0	3.686588840639E+9	7E+0	579.286E-9	-117.156E+0	3.686588840676E+9
8E+0	3.686588840676E+9	7E+0	568.11E-9	-118.746E+0	3.686588840715E+9
9E+0	3.686588840715E+9	7E+0	549.484E-9	-120.996E+0	3.686588840753E+9
10E+0	3.686588840753E+9	7E+0	534.583E-9	-123.198E+0	3.686588840792E+9
0E+0	3.686588840792E+9	8E+0	581.149E-9	-143.034E+0	3.68658884091E+9
1E+0	3.686588840911E+9	8E+0	635.166E-9	-152.226E+0	3.686588840953E+9
2E+0	3.686588840954E+9	8E+0	661.243E-9	-158.598E+0	3.68658884099E+9
3E+0	3.686588840991E+9	8E+0	644.479E-9	-162.408E+0	3.686588841027E+9
4E+0	3.686588841028E+9	8E+0	584.874E-9	-163.002E+0	3.686588841066E+9
5E+0	3.686588841066E+9	8E+0	501.055E-9	-160.602E+0	3.686588841104E+9
6E+0	3.686588841105E+9	8E+0	393.02E-9	-154.41E+0	3.686588841143E+9
7E+0	3.686588841143E+9	8E+0	284.987E-9	-142.8E+0	3.686588841182E+9
8E+0	3.686588841182E+9	8E+0	217.93E-9	-127.566E+0	3.68658884122E+9
9E+0	3.68658884122E+9	8E+0	184.403E-9	-116.106E+0	3.686588841257E+9
10E+0	3.686588841258E+9	8E+0	154.6E-9	-120.432E+0	3.686588841296E+9
0E+0	3.686588841297E+9	9E+0	169.502E-9	159.246E+0	3.686588841415E+9
1E+0	3.686588841415E+9	9E+0	199.304E-9	151.734E+0	3.686588841452E+9
2E+0	3.686588841453E+9	9E+0	238.42E-9	154.86E+0	3.686588841495E+9
3E+0	3.686588841495E+9	9E+0	296.162E-9	161.364E+0	3.686588841534E+9
4E+0	3.686588841534E+9	9E+0	348.316E-9	164.508E+0	3.686588841573E+9
5E+0	3.686588841573E+9	9E+0	379.981E-9	164.808E+0	3.686588841612E+9
6E+0	3.686588841613E+9	9E+0	389.295E-9	163.884E+0	3.686588841651E+9
7E+0	3.686588841651E+9	9E+0	376.256E-9	161.964E+0	3.68658884169E+9
8E+0	3.686588841691E+9	9E+0	344.591E-9	159.024E+0	3.68658884173E+9
9E+0	3.68658884173E+9	9E+0	288.712E-9	153.438E+0	3.686588841767E+9
10E+0	3.686588841767E+9	9E+0	223.518E-9	145.842E+0	3.686588841803E+9
0E+0	3.686588841803E+9	10E+0	96.858E-9	125.31E+0	3.686588841917E+9
1E+0	3.686588841918E+9	10E+0	78.2316E-9	144.606E+0	3.686588841956E+9
2E+0	3.686588841957E+9	10E+0	85.6821E-9	176.7E+0	3.686588841995E+9
3E+0	3.686588841995E+9	10E+0	124.798E-9	-153.78E+0	3.686588842034E+9
4E+0	3.686588842034E+9	10E+0	195.579E-9	-127.452E+0	3.686588842079E+9
5E+0	3.686588842079E+9	10E+0	284.987E-9	-111.924E+0	3.686588842118E+9
6E+0	3.686588842118E+9	10E+0	385.569E-9	-102.42E+0	3.686588842154E+9
7E+0	3.686588842154E+9	10E+0	480.566E-9	-96.162E+0	3.686588842193E+9
8E+0	3.686588842193E+9	10E+0	543.896E-9	-91.752E+0	3.686588842231E+9
9E+0	3.686588842232E+9	10E+0	568.11E-9	-89.496E+0	3.686588842269E+9
10E+0	3.68658884227E+9	10E+0	551.347E-9	-90E+0	3.686588842306E+9
